RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,King,Andy,Unattached,M,00:32:10
2,James,Caleb,Unattached,M,00:33:26
3,Cockerell,Matthew,Unattached,M,00:35:15
4,Cornwell,David,Metro Aberdeen,M40,00:37:31
5,Perry,Ross,Stonehaven Running Club,M,00:38:37
6,Doidge-Harrison,Steve,Fitness Space,M40,00:39:18
7,MacGillivray,Mark,Stonehaven Running Club,M50,00:39:48
8,MacKinnon,Martin,Unattached,M50,00:39:49
9,Watters,Dee,Stonehaven Running Club,F,00:40:34
10,Sell,Scott,Stonehaven Running Club,M,00:40:50
11,Brindley,Gary,Newtonhill Pipeband,M50,00:41:05
12,Muir,Amy,Stonehaven Running Club,F,00:41:25
13,Edward,Duncan,Dundee Road Runners,M,00:42:00
14,Forte,Phil,Dundee Hawkhill Harriers,M60,00:42:51
15,Rhind,Nicola,Stonehaven Running Club,F40,00:43:20
16,Yuill,Andre,Trail Tribe,M,00:45:49
17,Barnard,Douglas,Unattached,M50,00:47:05
18,Williams,Rupert,Cosmics,M50,00:47:28
19,Hirh,Martin,Garioch Road Runners,M60,00:47:40
20,Thom,Josephine,Stonehaven Running Club,F50,00:48:50
21,Kennedy,Hannah,Cosmics,F50,00:52:30
22,Fraser,Ronald,Dundee Road Runners,M50,00:53:02
23,Davidson,Stewart,Fife AC,M60,00:56:40
24,Homer,Karen,Turriff Road Runners,F50,01:00:40
25,Kirk,Helen,Garioch Road Runners,F50,01:02:02
26,Watt,Andrea,Unattached,F40,01:02:34
