RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Hart,Al,Hunters Bog Trotters,MS,0:29:02
2,Anthony,Alasdair,Ochil Hill Runners,MS,0:29:31
3,Cairns,Stevie,Hunters Bog Trotters,MS,0:29:54
4,Ward,Ray,Hunters Bog Trotters,MS,0:30:26
5,Kitchin,Andy,Lothian,MS,0:30:49
6,Mcmullan,James,Euh&h,MS,0:30:57
7,Reeve,Quentin,Fife AC,MJ,0:31:04
8,Smith,Bruce,Standard Life Athletic Club,MS,0:31:06
9,Macinnes,Garry,Carnethy Hill Racers,MS,0:31:17
10,Minto,Billy,Hunters Bog Trotters,MV40,0:31:24
11,Milne,Ross,Lothian,MS,0:32:01
12,Godfree,Dave,Lothian,MS,0:32:06
13,Johnston,Mark,Carnethy Hill Racers,MS,0:32:10
14,Glencorse,Colin,Perth Road Runners,MS,0:32:25
15,Durn,Chris,Standard Life Athletic Club,MV40,0:32:39
16,Wright,Dave,Hunters Bog Trotters,MS,0:32:51
17,Scott,Dominic,Norham RC,MS,0:32:59
18,Blair-Fish,John,Carnethy Hill Racers,MV50+,0:34:06
19,Richens,Trevor,Westerlands CCC,MS,0:34:19
20,Buchanan,Peter,Ochil Hill Runners,MV40,0:34:29
21,Mccraw,Ron,Ochil Hill Runners,MV40,0:34:47
22,Jarvis,James,Hunters Bog Trotters,MS,0:34:52
23,Spence,Crawford,Westerlands CCC,MS,0:34:55
24,Anderson,Jonathan,Euh&h,MJ,0:35:00
25,Patience,Andrew,Carnethy Hill Racers,MS,0:35:17
26,Rathjen,Jon,Hunters Bog Trotters,MS,0:35:29
27,Henry,Graham,Portobello,MS,0:35:32
28,Cruden,Nick,Hunters Bog Trotters,MS,0:35:34
29,Gibson,David,Harmeny Ac,MV40,0:35:35
30,Evans,Andrew,Fife AC,MU17,0:35:53
31,Gibson,Willie,Carnethy Hill Racers,MV40,0:35:55
32,Elder,Veronique,Norham RC,FV40,0:36:06
33,James,Mick,Carnethy Hill Racers,MS,0:36:09
34,Farquharson,Colin,Hunters Bog Trotters,MV40,0:36:12
35,Legge,Sarah,Carnegie Harriers,FS,0:36:23
36,Orr,Graeme,Standard Life Athletic Club,MS,0:36:28
37,Knox,Jim,Teviotdale Harriers,MV50+,0:36:33
38,Mckay,Neil,Hunters Bog Trotters,MS,0:36:36
39,Robertson,Alan,Euh&h,MS,0:36:39
40,Cameron,Gordon,Carnethy Hill Racers,MV40,0:36:41
41,Love,Craig,Dundee Hawkhill,MS,0:36:59
42,Campbell,Ian,Hunters Bog Trotters,MS,0:37:07
