RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Cole,Ben,EUH&H,M,00:29:05
2,Ward,Ray,HBT,M,00:29:41
3,Hart,Al,HBT,M,00:29:45
4,Sutherland,Matthew,EUH&H,M,00:30:16
5,McLennan,Ross,Ochil Hill Runners,M,00:30:44
6,Townsend,Will,HBT,M,00:30:47
7,Mattocks,Craig,Dark Peak,M,00:31:00
8,Reid,Michael,Moorfoot,M,00:32:08
9,O’Brien,Christopher,Corstorphine,M,00:32:13
10,Askham,John,U/A,M,00:32:14
11,Jones,Huw,HBT,M,00:32:22
12,Love,Craig,Dundee Hawkhill Harriers,M,00:32:30
13,Anderson,Moray,Corstorphine,M,00:32:43
14,Buchanan,Peter,Portobello,M,00:33:20
15,Fraser,Mitchell,Edinburgh Road Club,M,00:33:52
16,Murray,Doug,HBT,M,00:34:03
17,Hendry,Robert,U/A,M,00:34:03
18,Maxwell,Bill,Shettleston Harriers,M40,00:34:07
19,Clements,Dan,HBT,M,00:34:15
20,Cameron,Gordon,Carnethy,M40,00:34:18
21,Jenkins,Kate,HBT,F,00:34:26
22,Paton,Derek,Carnethy,M,00:34:27
23,Scullion,Gerry,Bellahouston,M,00:34:37
24,McClelland,Peter,HBT,M,00:35:06
25,Turnbull,Les,Norham,M40,00:35:36
26,Duffy,John,Shettleston Harriers,M,00:35:40
27,Fairlie,Danny,HBT,M,00:35:48
28,Hulme,Martin,Corstorphine,M60,00:35:51
29,McKechanie,Eilis,HBT,F,00:35:54
30,Mitchell,Dave,Dundee Hawhill Harriers,M,00:36:09
31,Hunter,Alan,Ochil Hill Runners,M,00:36:15
32,MacPherson,John,HBT,M,00:36:19
33,MacDonald,Gio,Carnethy,M,00:36:25
34,Tom Barr,Golden Trotter,HBT,M,00:36:31
35,McCracken,Morag,HBT,F,00:36:57
36,Moar,Jocelyn,Lothian RC,F,00:37:20
37,Duke,Alistair,U/A,M,00:37:36
38,McKechanie,Andrew,HBT,M,00:38:07
39,Wilson,Rob,Penicuik Harriers,M,00:38:17
40,Bailey,Will Hugh,HBT,M,00:38:30
41,Fulton,David,HBT,M,00:38:30
42,Ledlie,Colin,Carnethy,M,00:39:08
43,Wright,Megan,HBT,F,00:39:21
44,Reid,Brian,Lothain RC,M,00:39:35
45,Gamble,Lisa,HBT,F,00:40:00
46,Laird,Fraser,U/A,M,00:40:04
47,Heitlinger,Emanuel,LT Karlsruhe,M,00:40:19
48,Brown,Jamie,HBT,M,00:40:24
49,Ward,Claire,HBT,F,00:40:50
50,Eunson,Paul,Portobello,M40,00:40:57
51,Martin,Alec,U/A,M,00:41:15
52,Downie,Chris,Penicuik Harriers,M,00:41:18
53,Lieberman,Mike,Lothian RC,M40,00:41:30
54,Bowman,Angus,Beacon Runners,M40,00:41:35
55,Spenceley,Hilary,Carnethy,F40,00:41:51
55,Smith,Brian R,Fife AC,M40,00:41:51
57,Kitchin,Kate,Lothian RC,F,00:42:05
58,Headley,Phillipa,Carnethy,F,00:42:16
59,Lawrie,Lyndsey,Portobello,F,00:42:18
60,McKay,Michael,U/A,M,00:42:40
61,Orr,Graeme,Westies,M60,00:42:48
62,Hay,Jenny,HBT,F,00:42:49
62,Wilson,Andrea,Penicuik Harriers,F,00:42:50
64,Moir,Nick,HBT,M,00:42:51
65,Nicol,Keith,Ferranti,M40,00:42:52
66,Horsburgh,Jill,Lothian RC,F40,00:43:20
67,McAdam,Pauline,Westies,F40,00:43:34
68,Sinclair,Melanie,Carnegie,F,00:43:50
69,Maxwell,Susie,Penicuik Harriers,F,00:44:20
70,Fraser,Vivien,Kirkintilloch,F,00:44:38
71,Coltman,Alan,Teviotdale Harriers,M,00:44:56
72,Jack,Jim,U/A,M,00:45:04
73,McDonald,Eddie,Ferranti,M60,00:45:52
73,Jackson,Alex,Ferranti,M60,00:45:52
75,Nimmo,Elaine,Carnethy,F40,00:47:04
76,Stapley,Tony,Portobello,M60,00:47:46
77,Weston,Anna,HBT,F,00:47:49
78,Robertson,Natasha,HBT,F,00:47:50
79,Driver,Saartje,H.E.L.P.,F,00:48:32
80,Kilpatrick,Debbie,Carnethy,F,00:48:39
81,Bowman,Jean,Beacon Runners,F40,00:49:13
82,Marshall,Ian,HBT,M60,00:52:53
83,Forrest,Margaret,Carnethy,F,00:52:53
