RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Deason,Michael,Shettleston Harriers,M,00:26:18
2,Holmes,Harry,Unattached,M,00:27:25
3,Smith,Tom,Lochaber Athletic Club,M40,00:29:33
4,Hastings,Vincent,East Kilbride AC (National Club Addreditation Foundation Award),M,00:30:08
5,Fraser,Stuart,Perth Road Runners,M,00:32:07
6,Brown,Helen,Mynydd Du,F40,00:32:13
7,Linney,Ward,Wye Valley Runners,M,00:32:48
8,Wallace,Andrew,7 SCOTS,M,00:32:56
9,Reid,Stewart,Unattached,M,00:34:16
10,Beastall,Martin,Jura AC,M40,00:34:58
11,Halliday,William,Mid Argyll Jog Scotland,M50,00:35:16
12,Stewart,Roger,Dunoon Hill Runners,M40,00:35:18
13,Noakes,Lucie,Dunoon Hill Runners,F,00:35:18
14,Brown,Steven,7 SCOTS,M,00:35:23
15,McEvoy,Joanne,Calderglen Harriers,F,00:35:27
16,Lefebvre,Christophe,Unattached,M40,00:36:02
17,Quinn,Cameron,7 SCOTS,M,00:36:20
18,Potter,Louise,Unattached,F40,00:36:27
19,Hastings,Mark,Unattached,M50,00:37:16
20,Gorman,Cara,Unattached,FJ,00:37:53
21,Stokoe,David,Perth Road Runners,M40,00:37:58
22,Corner,Garret,Inveraray Jog Scotland,M50,00:38:04
23,O'Brien,Thomas,Unattached,M,00:38:04
24,Pickard,Anthony,Unattached,M40,00:38:36
25,Stokes,Harry,Unattached,M40,00:38:58
26,Owens,John,Unattached,M40,00:39:03
27,Danks,Emma,Unattached,F40,00:39:47
28,Richard,Jocelyn,Campbeltown Running Club,F50,00:40:05
29,Vare,Lindsay,Unattached,F,00:40:08
30,Bowman,Angus,Unattached,M50,00:40:23
31,Nelson,Paul,Unattached,M,00:40:25
32,Kennedy,Scott,7 SCOTS,M40,00:40:28
33,Stewart,George,Calderglen Harriers,M50,00:40:38
34,Smith,Jo,Unattached,F,00:40:43
35,Johnstone,Brian,Unattached,M50,00:40:57
36,Mccrae,Ailsa,Jog Scotland,F40,00:41:02
37,Houldsworth,Sandra,Kilbarchan Amateur Athletic Club,F,00:41:47
38,Sloan,Robin,Carnethy Hill Racing Club,M50,00:41:50
39,Laidler,Paula,Unattached,F,00:42:04
40,Honey,Paul,Inveraray Jog Scotland,M50,00:42:56
41,Mclean,Kevin,7 SCOTS,M40,00:43:11
42,MacPherson,Elisabeth,Buckley Runners,F,00:43:15
43,Hepburn,Rebecca,Unattached,F,00:43:17
44,Macdonald,Lorraine,Unattached,F40,00:43:20
45,Corner,Freya,Inveraray Jog Scotland,FJ,00:43:22
46,Semple,Robert,7 SCOTS,M40,00:43:31
47,Duff,Bill,Falkland Trail Runners,M50,00:43:42
48,Mair,Kathleen,Unattached,F40,00:43:57
49,Bowman,Jean,Unattached,F50,00:44:03
50,Brown,Joe,7 SCOTS,M,00:44:04
51,Bosomworth,Dinah,Ormsary Jog Scotland,F50,00:45:33
52,Sinclair,Margaret,Unattached,F50,00:46:44
53,Gorman,Heather,Unattached,F50,00:48:20
54,Halewood,Bridget,Jog Scotland,F50,00:48:46
55,Preece,Jacky,Unattached,F40,00:49:09
56,Riddoch,Janet,Inveraray Jog Scotland,F50,00:49:18
57,Aura,Florence,Inveraray Jog Scotland,F,00:50:50
58,Kemp,Jane,Unattached,F40,00:52:51
59,Stewart,Kristine,Dunoon Hill Runners,F40,00:53:36
60,McCrossan,Ali,Dunoon Hill Runners,F,00:54:08
61,McCreery,Jillian,Inveraray Jog Scotland,F50,00:54:25
62,Muir,Fiona,Perth Road Runners,F,00:54:33
63,Semple,Catrina,Unattached,M40,01:01:03
64,Harris,John,7 SCOTS,M,01:02:41
65,Cook,Gail,Inveraray Jog Scotland,F40,01:05:30
66,Reid,Stephané,Unattached,F,01:07:35
