RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Strain,Murray,HBT,M,00:27:53
2,Wilby,Andrew,Highland Hill Runners,M,00:29:51
3,Whiteside,Gavin,Highland Hill Runners,M,00:30:38
4,Groth,Erik,Sweden,M,00:31:01
5,MacDonald,Dougie,Highland Hill Runners,M,00:34:53
6,Thompson,Stuart,Nairn Road Runners,M,00:35:51
7,Bath,Simon,Highland Hill Runners,M,00:35:54
8,MacKenzie,Derek,Alness,M,00:36:06
9,Natanaelsson,Peter,Sweden,M,00:36:17
10,Bryan,David,East Sutherland,M,00:36:46
11,Wood,Sue,Highland Hill Runners,F,00:36:55
12,Omerovic,Amir,Sweden,M,00:36:58
13,Duncan,Eric,Highland Hill Runners,M,00:37:46
14,Gotvall,Svenne,Sweden,M,00:38:01
15,Rattray,Jamie,Edinburgh,M,00:38:15
16,Dent,Matt,Tain Runners,M,00:38:35
17,Duncan,David,Ochils,M,00:39:37
18,Nielsen,Carl,Sweden,M,00:40:59
19,Larsson,Robert,Sweden,M,00:42:12
20,Owen,Stephanie,Dundee University,F,00:42:23
21,Magnusson,Andreas,Sweden,M,00:42:47
22,Noran,Niklas,Sweden,M,00:43:49
23,Mann,Steve,Dornoch,M,00:49:24
24,England,Jan,Sweden,M,00:51:51
25,Lindens,Fredrik,Sweden,M,01:00:01
26,Morrell,Anna,Sweden,F,01:08:12
27,Riggers,Lisa,Sweden,F,01:08:13
