RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Holmes,Ian,Bingley Harriers,,2:56:03
2,Hartell,Mark,Macclesfield Harriers,MV40,2:56:40
3,Harris,Rod,Long Eaton AC,,3:03:42
4,Gallagher,Ronnie,Carnethy Hill Running Club,MV40,3:04:29
5,Barlow,Steve,Horwich RMI,MV40,3:14:17
6,Pyke,Stephen,Staffordshire Moorlands AC,MV40,3:15:16
7,Brunt,Tom,Holmfirth Harriers,,3:17:43
8,Robinson,Mike,Dark Peak,,3:21:20
8,Speight,Chris,Ambleside,MV40,3:21:20
10,Holt,Jack,Clayton Le Moors,MV50,3:24:18
11,Boyle,John,Dark Peak,,3:28:01
12,Woods,Roger,Dark Peak,,3:28:23
13,Laney,Tim,Clayton Le Moors,MV40,3:30:05
14,Upson,Chris,Westerlands CCC,MV40,3:31:09
15,Bulloss,Nicholas,Arran Runners,MV40,3:31:18
16,Ward,David,Cumberland Fell Runners,,3:32:00
17,Dulson,Colin,Cumberland Fell Runners,MV40,3:32:18
18,Cowie,Ian,Mercia,MV50,3:32:20
19,Spencer,Dan,Larne AC,,3:32:44
20,Taylor,Ken,Rossendale,MV50,3:34:09
21,Hutt,Colin,City of Edinburgh AC,,3:37:06
22,Barrie,Stewart,Carnethy Hill Running Club,,3:38:17
23,Makin,Dave,Achille Ratti,MV40,3:38:42
24,Davison,Robert,Dark Peak,,3:41:36
25,Underwood,John,Calder Valley,,3:43:46
26,Hawley,Tim,Dark Peak,MV40,3:44:22
27,Fielding,Frank,Pennine Fell Runners,MV50,3:44:55
28,Bell,Jim,Denby Dale Travellers,MV40,3:45:14
29,Hirst,Martin,Denby Dale Travellers,MV50,3:45:34
30,Spilman,Kevin,Cheltenham Harriers,MV40,3:45:39
31,Howie,Andy,Pennine Fell Runners,MV50,3:46:42
32,Browning,Peter,Clayton Le Moors,MV40,3:46:46
33,Sunter,Albert,Horwich RMI,MV40,3:46:48
34,Scottney,Richard,Pennine Fell Runners,MV50,3:46:48
35,Drake,Neil,Dark Peak,MV40,3:47:18
36,Mitchell,Bob,North York Moors AC,MV50,3:47:40
37,White,David,JW Kilmarnock Harriers,,3:47:50
38,Hulme,Martin,Corstorphine,MV50,3:48:00
39,Scott,David,Ochil Hill Runners,MV40,3:48:33
40,Taylor,Nat,Girvan Harriers,MV50,3:49:06
41,Brown,Jim,Belfast ARF,MV40,3:49:20
42,Scott,George,Pennine Fell Runners,MV50,3:51:13
42,Gorgas,Steffen,Westerlands CCC,,3:51:13
44,Macleod,Murdo,Westerlands CCC,MV50,3:51:40
45,Warhurst,Ian,Pennine Fell Runners,MV40,3:52:17
46,Crabtree,Stuart,Pennine Fell Runners,,3:52:24
47,Doyle,John,Pennine Fell Runners,,3:52:26
48,Woods,Duncan,North York Moors AC,MV40,3:52:52
49,Green,Ray,Saddleworth Runners,,3:53:08
50,Shaw,Mark,Jura AC,Jura,3:55:18
51,Hopkinson,Richard,Dark Peak,MV50,3:55:43
52,Urwin,Corey,Larne AC,,3:58:50
52,Howie,Peter,Larne AC,MV40,3:58:50
52,Mcmanus,Mark,Larne AC,,3:58:50
55,Mcalinden,Vincent,Belfast ARF,,3:59:16
56,Greenwood,Richard,Calder Valley,,4:02:02
57,Allen,David,Dark Peak,MV40,4:02:08
58,Brentnall,Alan,Pennine Fell Runners,MV50,4:02:50
59,Sutcliffe,Rod,Calder Valley,MV50,4:03:13
60,Fleet,Gary,Saddleworth Runners,MV40,4:03:45
61,Tunstall,Martin,Corstorphine,MV40,4:05:31
62,Reid,Martin,Jura AC,V40 Jura,4:06:53
63,Faulkner,Joe,Eden Runners,MV40,4:07:00
64,Begley,Tommy,Irvine RC,,4:07:56
65,Mitchell,Sue,Calder Valley,FV40,4:08:36
66,Sanderson,Paul,Dark Peak,MV40,4:09:00
67,Libby,Steve,North York Moors AC,MV40,4:09:08
68,Rigby,Philip,Helm Hill Runners,MV40,4:09:46
69,Thomas,Nigel,,,4:12:54
70,Ward,Sally,Dark Peak,FV40,4:13:55
70,Ward,Philip,,MV40,4:13:55
72,Rigby,Jayne,Helm Hill Runners,F,4:14:07
73,Graham,Mark,Cumberland Fell Runners,MV40,4:14:36
74,Walters,Philip,Long Eaton AC,,4:15:22
75,Glenn,Nathaniel,Larne AC,,4:15:40
76,Kennedy,Stephen,Larne AC,,4:16:51
77,Smith,Jane,Todmorden Harriers,FV40,4:17:58
78,Davies,Glen,Mercia,MV40,4:18:45
79,Robson,Benjamin,Hallamshire Harriers,MV40,4:19:29
79,Hindle,Neil,,MV50,4:19:29
81,Byers,Richard,Trafford AC,MV40,4:20:54
81,Booth,Vincent,Trafford AC,MV40,4:20:54
83,Westgate,Tom,Dark Peak,MV40,4:25:29
84,Near,Pilar,Eryri Harriers,F,4:29:13
85,Lockwood,Dave,Dark Peak,MV50,4:29:32
86,Cable,Nick,One 2 One,,4:30:10
87,Charlesworth,Ian,Penistone Footpath Runners,MV40,4:30:12
88,Storey,Stephen,Dark Peak,MV40,4:30:13
89,Leonard,Richard,Todmorden Harriers,MV40,4:30:14
89,Bibby,Andrew,Todmorden Harriers,MV50,4:30:14
91,Armstrong,Ian,Carnegie Harriers,,4:30:23
92,Parker,Paul,Bowline CC,MV50,4:32:00
93,Lucas,Dennis,Rochdale Harriers,MV60,4:32:19
93,Forrest,Anna,Ambleside,F,4:32:19
95,Priestley,Nigel,Annan & District AC,MV40,4:34:09
96,Kenny,Alan,Achille Ratti,MV50,4:34:25
97,Bovill,John,,,4:35:33
97,Mcculloch,John,,,4:35:33
99,Gibb,Polly,Mercia,FV40,4:35:57
100,Fulton,Jamie,Dark Peak,MV50,4:35:59
101,Campbell,Neil,Carnegie Harriers,MV40,4:36:44
102,Clarke,Richard,North York Moors AC,MV60,4:37:11
103,Corfe,Bernard,Trafford AC,,4:37:49
104,Hakes,Richard,Dark Peak,MV40,4:38:35
105,Goth,Mandy,Todmorden Harriers,FV40,4:39:22
106,Blakeley,Richard,Todmorden Harriers,MV60,4:40:16
107,O'Brien,Paul,Corstorphine,MV40,4:40:37
108,Wilson,Trevor,Belfast ARF,MV40,4:40:51
109,Owen,Derek,Shrewsbury AC,MV50,4:41:50
110,Bowie,Tom,Carnegie Harriers,MV50,4:43:40
111,Hearle,Andrew,,MV50,4:43:50
112,Frechette,Paul,Calder Valley,MV50,4:44:26
113,Smithurst,Robin,Black Combe Runners,MV40,4:44:46
114,Smith,Dale,Larne AC,,4:45:07
115,Clarkson,David,,MV50,4:45:57
116,Robinson,Mick,Notts AC,MV40,4:46:15
117,Scarf,Jackie,Calder Valley,FV40,4:46:29
118,Wright,Alison,Calder Valley,FV40,4:48:35
119,Wathall,Steve,Retford AC,MV40,4:50:26
120,Geddes,Carol,Retford AC,FV40,4:50:26
121,Varley,Tony,Horwich RMI,MV50,4:51:19
122,Dealtry,Eddie,Ochil Hill Runners,MV50,4:51:55
123,Armstrong,John,Rochdale Harriers,MV50,4:53:31
124,Howie,Brian,Carnethy Hill Running Club,MV50,4:56:01
125,Thompson,Liz,Totley AC,FV40,4:57:16
126,Ball,Peter,,MV50,4:57:16
127,Trevor,Gordon,Shrewsbury AC,MV50,4:58:36
128,Mcaleenan,Niall,Ochil Hill Runners,MV40,4:59:16
129,Targett,Michael,Clayton Le Moors,MV50,5:01:11
130,Phillips,Paul,Eryri Harriers,MV40,5:02:34
131,Sturgess,Peter,Long Eaton AC,MV40,5:04:10
132,Coleman,Paul,Holmfirth Harriers,MV50,5:04:34
133,Nuttall,John,Clayton Le Moors,MV60,5:04:39
134,Mcdonald,Karen,,F,5:05:07
135,Rankin,Denis,Belfast ARF,MV60,5:05:53
136,O'Keeffe,Steven,Cumberland Fell Runners,,5:07:59
136,Thomas,Phil,Rossendale,,5:07:59
138,Shaw,Darren,Holmfirth Harriers,MV40,5:08:10
139,Tait,Richard,Durham FR,MV50,5:08:52
140,Wade,Richard,Holmfirth Harriers,,5:09:25
