RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,McCall,Andrew,Greenock Glenpark,M,00:30:46
2,Smith,Alan,Deeside Runners,MV40,00:31:43
3,Crowe,Des,Shettleston,MV40,00:32:04
4,Simpson,Stuart,Ochil Hillrunners,M,00:32:23
5,McLoone,Michael,UA,MU20,00:33:09
6,Brash,Colin,Girvan,MV40,00:33:20
7,Glencourse,Colin,Kilmarnock,M,00:34:14
8,Roper,Mark,Giffnock North,MV40,00:34:17
9,Schmidt,Elke,Bellahouston RR,F,00:34:38
10,Williams,Fraser,Kilbarchan,M,00:35:26
11,Reid,Don,Westerlands,MV40,00:35:39
12,McKendrick,Scott,Westerlands,M,00:35:56
13,Taylor,Nat,Girvan,MV50,00:35:57
14,Dunn,Mick,Greenock Glenpark,MV50,00:36:01
15,Palmer,Helen,Bellahouston RR,F,00:36:16
16,Triger,Simon,Westerlands,M,00:36:24
17,Sullivan,Matthew,UA,M,00:36:40
18,Morrison,Andrew,Greenock Glenpark,M,00:37:08
19,McQuater,Rob,Westerlands,M,00:37:20
20,Duncan,David,Ochil Hillrunners,MV50,00:37:47
21,Wright,Nick,UA,MV40,00:38:51
22,Scott,Cameron,Carnethy,MV40,00:39:23
23,Moore,John,Irvine,MV40,00:39:24
24,Scott,Alan,Bellahouston RR,M,00:40:07
25,Pugh,Rod,Kilmarnock,MV50,00:40:13
26,Abram,Michael,Arran Runners,MV50,00:40:18
27,McNee,Ian,Troon Tortoises,MV40,00:40:44
28,Diver,Michael,Clydesdale Harriers,MV40,00:41:02
29,Begley,Tommy,Irvine,M,00:41:04
30,McLaughlin,Danny,Greenock Glenpark,MV40,00:41:19
31,Maclean,Andrew,Greenock Glenpark,M,00:41:36
32,Fraser,Iain,Irvine,MV40,00:42:29
33,Orr,Johnston,UA,M,00:43:20
34,Smith,Donald,Westerlands,MV60,00:43:52
35,Williams,Andy,Kilbarchan,MV40,00:44:17
36,Mott,Andrew,UA,M,00:46:02
37,Drain,Alex,Troon Tortoises,MV50,00:46:17
38,Laurie,Mark,UA,MV40,00:46:28
39,McManus,Ian,Irvine,MV65,00:47:45
40,Williams,Andrew,Kilbarchan,M,00:48:10
41,Taylor,Cameron,Bellahouston RR,M,00:48:28
42,MacGregor,Dougie,Bellahouston RR,MV40,00:49:39
43,Turnbull,Drew,Westerlands,MV65,00:50:13
44,Williams,S,Kilbarchan,MV40,00:50:46
45,McLaughlin,Patricia,Westerlands,FV55,00:52:21
46,Kirk,Katherine,Westerlands,F,00:54:07
47,Hamilton,Iain,Irvine,MV60,01:04:43
