RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Murphy,Ian,Clydesdale Harriers,M,0:44:23
2,Ward,Adam,Carnethy Hill Running Club,M,0:46:56
3,McInnes,Garry,Carnethy Hill Running Club,M,0:47:33
4,Clark,J,Ochil Hill Runners,M,0:47:44
5,Potts,Brian,Clydesdale Harriers,M,0:48:32
6,McLoone,Stephen,Greenock Glenpark Harriers,M,0:48:36
7,Gallacher,Ronnie,Westerlands CCC,M,0:50:28
8,Emeleus,John,U/A,M,0:50:57
9,Bonnyman,Brian,Westerlands CCC,M,0:51:24
10,Miller,Robert,Kilbarchan Athletic Club,M,0:51:50
11,Duncan,David,Ochil Hill Runners,MV,0:52:05
12,Wells,Steve,Westerlands CCC,M,0:52:13
13,Dickson,Brian,Westerlands CCC,M,0:52:20
14,Powell,Karen,Carnethy Hill Running Club,F,0:52:27
15,Wilson,Peter,Arran Runners,MV,0:52:32
16,Hoey,Trevor,Glasgow University Hare & Hounds,M,0:52:46
17,Collins,Trevor,U/A,MV,0:53:03
18,Wilson,Steve,Livingston,M,0:53:13
19,Reid,Don,Westerlands CCC,M,0:53:20
20,McInroy,Ross,Clydesdale Harriers,MV,0:53:22
21,Hall,Jim,Westerlands CCC,MV,0:54:21
22,Devlin,M,Kirkintilloch Olympians,M,0:55:26
23,Finbow,Malcolm,Shettleston Harriers,MV,0:55:52
24,Wright,Jim,Clydesdale Harriers,MV,0:56:00
25,Weir,John,U/A,M,0:56:28
26,Gallacher,Brian,Clydesdale Harriers,M,0:56:53
27,Baxter,Peter,Westerlands CCC,M,0:57:18
28,Wright,Graham,Carnethy Hill Running Club,M,0:57:29
29,Campbell,A,Westerlands CCC,MV,0:58:25
30,Scott,Elspeth,Westerlands CCC,F,0:59:06
31,Diver,Michael,Clydesdale Harriers,M,0:62:11
32,Moran,Thomas,Shettleston Harriers,M,0:62:20
33,Campbell,B,Livingston,MSV,0:62:37
34,Duffy,Kevin,Police - Scottish College,M,0:63:46
35,Campbell,Donna,Livingston,F,0:64:58
36,Turnbull,Drew,Westerlands CCC,M50,0:65:50
37,McPartlin,John,U/A,MV,0:69:46
38,McLaughlin,Patricia,Westerlands CCC,FV,0:71:18
39,Davidson,S,Penicuick Harriers,M,0:71:36
40,Slimon,Alec,U/A,MSV,0:74:20
