RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Hukins,Ben,Cambuslang,M,00:37:20
2,Anthony,Alasdair,Ochil HR,M40,00:38:26
3,Dobson,Jacob,Falmouth,M,00:40:42
4,Eiser,Dave,OchilHR,M40,00:40:59
5,Nash,Graham,Carnethy,M40,00:41:41
6,Mackie,Peter,Shettleston,M40,00:42:25
7,McInally,Ralph,Unattached,M,00:42:25
8,Park,Adam,Ochil HR,M,00:43:12
9,Jack,Ewan,OchilHR,M40,00:43:34
10,Brown,Graeme,Dundee Road Runners,M,00:44:42
11,Turnbull,Jonathan,Unattached,M,00:44:47
12,Davis,Adrian,Lomond,M50,00:44:57
13,Gilmore,Neil,Carnethy,M50,00:46:24
14,Bloodworth,Jack,Ochil HR,M,00:47:06
15,Bowers,William,OchilHR,M,00:47:35
16,Martin,Geoff,Unattached,M,00:48:02
17,Webley,Joe,Perth Tri Club,M,00:48:19
18,Watson,Dan,Lochtayside,M40,00:48:58
19,Renville,Alan,Carnethy,M40,00:49:01
20,Bass,Owen,Deeside,M50,00:49:10
21,Draye,Ben,Corstorphine AC,M,00:49:12
22,Shaw,Trevor,Lochtayside,M50,00:51:16
23,Williams,Alun,Pennine,M,00:51:29
24,McKiddie,Christopher,Westerlands,M,00:51:48
25,Weir,Jonathan,Unattached,M40,00:51:50
26,Maass,Digby,Carnethy,M60,00:51:57
27,Ferguson,Iain,Ayrodynamics,M40,00:52:07
28,Hetherington,Michelle,Carnethy,F50,00:52:15
29,Dillon,Stewart,Fife AC,M50,00:52:20
30,Ingram,Richard,Cosmic HillBashers,M40,00:52:38
31,Atkin,David,Westerlands,M60,00:52:53
32,Donnelly,John,Lomond,M50,00:53:33
33,Kelsall,Fiona,Ochil HR,F40,00:53:45
34,McCallum,Christopher,Wee County Harriers,M40,00:53:52
35,Bowman,Angus,Lomond,M60,00:53:32
36,MacBroom,Graham,Unattached,M40,00:54:35
37,Ritchie,Hilary,Fife AC,F50,00:54:44
38,Kelly,Graham,Westerlands,M40,00:55:02
39,Murray,Stuart,Unattached,M40,00:55:08
40,Smith,Kev,Lomond,M50,00:55:22
41,Rogers,David,Westerlands,M50,00:55:33
42,Stephenson,Graham,Tilly Run Buddies,M40,00:55:35
43,MacLeod,Murdo,Westerlands,M60,00:55:49
44,Hawkins,Ian,Fife AC,M50,00:55:52
45,McDonald,Lettie,Ochil HR,F,00:55:57
46,Wilson,Colin,Lomond,M50,00:56:25
47,Jones,Alwyn,Unattached,M,00:56:35
48,Quinn,John,Westerlands,M50,00:56:41
49,Wilson,Joan,Lomond,F50,00:56:48
50,Duncan,David,Ochil HR,M60,00:57:25
51,Wilson,Paul,Springburn Harriers,M,00:57:48
52,Roberts,Nigel,Stirling Tri Club,M50,00:58:01
53,Bowman,Jean,Lomond,F50,00:59:05
54,Brennan,Brian,Westerlands,M60,00:59:06
55,Pollock,Ron,Wee County Harriers,M40,00:59:20
56,Hamer,John,Westerlands,M50,00:59:23
57,Heath,Charlotte,Westerlands,F,00:59:42
58,Davidson,Jennifer,Wee County Harriers,F,00:59:59
59,Dobson,Judith,Kinross Road Runners,F60,01:00:06
60,Boyd,Kevin,Wee County Harriers,M,01:00:16
61,Hall,Katie,Unattached,F,01:00:40
62,Dobson,Stuart,Kinross Road Runners,M60,01:01:11
63,Killean,Liz,Fife AC,F50,01:01:50
64,Drysdale,David,Wee County Harriers,M50,01:03:23
65,Beedie,Iain,Lomond,M40,01:04:39
66,Fowler,Paul,Carron Valley Trail Runners,M40,01:05:20
67,Webley,Ella,Perth Road Runners,F,01:07:03
68,McKenzie,Robbie,Wee County Harriers,M50,01:07:47
69,Victoria,Stephenson,Tilly Run Buddies,F,01:11:38
70,Fraser,Ron,Dundee Hawkhill,M50,01:11:46
71,Davidson,Stewart,Fife AC,M60,01:12:10
72,Forster,Kate,Lochtayside,F40,01:13:59
73,Mallett,Carole,Lomond,F50,01:23:41
