RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Strain,Murray,HBT,M,00:40:28
2,Campbell,Ross,Edinburgh HH,M,00:40:35
3,Lennox,Gordon,Forres,M,00:41:19
4,Donnelly,Colin,Lochaber,M50,00:42:26
5,Trevelyan,Jack,North Highland Harriers,M,00:42:28
6,Tullie,James,Cairngorm,M,00:42:36
7,Wilby,Andrew,Highland Hill Runners,M,00:42:51
8,Keith,Alec,HBT,M40,00:42:57
9,Coupar,Alasdair,East Sutherland,M,00:43:53
10,Bannerman,Ross,Highland Hill Runners,M40,00:44:16
11,Nixon,Ross,Inverness Harriers,M40,00:44:27
12,Hill,Tessa,HBT,F,00:45:47
13,Macdonald,Dougie,Highland Hill Runners,M40,00:45:57
14,Forrest,Stuart,Highland Hill Runners,M,00:47:07
15,Steele,Kenny,Inverness Harriers,M40,00:47:27
16,Nicolson,William,COSMICS,M,00:47:33
17,Whiteside,Gavin,Highland Hill Runners,M,00:47:35
18,Meek,Ian,Highland Hill Runners,M40,00:47:47
19,Wilson,Stewart,Inverness Harriers,M40,00:47:54
20,Walker,Jason,UA,M40,00:47:56
21,Roberts,Dave,UA,M,00:48:22
22,Jervis,Graeme,HBT,M50,00:48:46
23,Tullie,Jessica,Cairngorm,F,00:49:48
24,Skinner,Billy,Inverness Harriers,M40,00:50:19
25,Blackburn,Iain,Nairn Road Runners,M,00:50:25
26,Strain,Kirsten,East Lothian Orienteers,F,00:50:43
27,Blackwood,Susan,UA,F40,00:50:43
28,Lyons,Karen,Highland Hill Runners,F40,00:51:52
29,MacDougall,Morina,Highland Hill Runners,F,00:52:14
30,Roberts,Richard,Highland Hill Runners,M50,00:52:46
31,Pott,Tim,Forres Harriers,M50,00:53:02
32,Bee,Megan,Highland Hill Runners,F,00:53:08
33,Wood,Sue,Highland Hill Runners,F40,00:53:11
34,Wilby,Raymond,Highland Hill Runners,M60,00:53:24
35,Forster,Damian,Lochaber,M40,00:53:39
36,McFall,Forbes,UA,M,00:53:56
37,Taylor,Gordie,Highland Hill Runners,M50,00:53:56
38,Setford,Steve,UA,M40,00:54:08
39,Maskrey,Ben,Highland Hill Runners,M,00:54:15
40,Moffat,John,Highland Hill Runners,M50,00:54:27
41,Grant,Rhona,Highland Hill Runners,F,00:54:30
42,Gilmor,Mairi,Ross County,F,00:54:52
43,Bradley,Ed,Highland Hill Runners,M40,00:55:05
44,Gilmor,Colin,Ross County,M50,00:55:17
45,Armitage,Hilary,Aberdeen AAC,F,00:55:25
46,Earnshaw,Colin,North Highland Harriers,M40,00:56:58
47,Watson,Alastair,Highland Hill Runners,M50,00:57:43
48,Forster,Nicola,Lochaber,F40,00:58:30
49,Murdoch,Ray,Lochaber,M60,00:59:26
50,McKay,Heather,UA,F,01:00:30
51,Arthur,Graham,Highland Hill Runners,M60,01:00:39
52,Crocknough,John,Girvan ACC,M,01:00:49
53,Claxton,Iain,Highland Hill Runners,M50,01:00:55
54,Macleod,John,Inverness Harriers,M40,01:01:20
55,Cotterill,Cathryn,UA,F40,01:01:28
56,Wallace,Mark,UA,M40,01:01:30
57,Gaff,Melanie,Wester Ross Athletics,F,01:02:04
58,Fraser,Graham,UA,M40,01:03:26
59,Fraser,Stephen,Nairn Road Runners,M40,01:04:29
60,Munro,Scott,Lochtayside,M,01:04:38
61,Ross,Iain,Inverness Harriers,M50,01:04:39
62,Hafiz,Edwin,UA,M40,01:05:10
63,Arnot,Derek,UA,M50,01:06:21
64,Robinson,Dana,Ross County,F40,01:06:52
65,Cook,Alan,Tain Runners,M50,01:07:05
66,Johnston,Emma,Tain Runners,F40,01:08:43
67,Oliver,Jane,Deeside Runners,F50,01:09:10
68,Hogg,Thomas,UA,M60,01:11:05
69,Cook,Caroline,Tain Runners,F40,01:11:10
70,Paul,Brenda,Westerlands,F,01:12:49
71,Johnston,Alison,HBT,F50,01:16:38
