RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Howie,Robin,Highland Hill Runners,M,00:34:34
2,Whiteside,Gavin,Highland Hill Runners,M40,00:39:08
3,Leigh,Helen,Highland Hill Runners,F,00:40:15
4,Andrews,Steven,Highland Hill Runners,M40,00:40:18
5,Duncan,Eric,Highland Hill Runners,M50,00:40:37
6,Sutherland,Michael,North Highland Harriers,M50,00:40:04
7,Sparks,Arron,Highland Hill Runners,M,00:40:45
8,Wilkinson,Chris,Highland Hill Runners,M,00:40:49
9,Swift,Frederick,Highland Hill Runners,M,00:41:47
10,Miller,Paul,Inverness Harriers,M50,00:43:03
11,Meek,Ian,Highland Hill Runners,M50,00:44:04
12,Bee,Megan,Highland Hill Runners,F,00:44:05
13,Evans,Siobhan,Forres Harriers,F50,00:44:39
14,Hastie,Neil,Unattached,M40,00:44:54
15,Beswick,Evan,Unattached,M,00:45:01
16,Campbell,Graeme,Unattached,M50,00:45:21
17,Green,Colin,Moray Road Runners,M50,00:45:43
18,Chatburn,Richard,Highland Hill Runners,M50,00:46:02
19,Anderson,Graeme,Deeside Runners,M50,00:46:38
20,Dobbs,Simon,Forres Harriers,M50,00:46:58
21,Murray,Chris,Unattached,M50,00:47:07
22,Shread,George,Unattached,M,00:47:41
23,Bainbridge,Simon,Unattached,M50,00:47:46
24,Kelman,James,North Highland Harriers,M50,00:48:04
25,Budge,John,North Highland Harriers,M50,00:48:38
26,Crawford,Karen,Ross County AC,F40,00:48:44
27,Ryder,Steve,Scottish Tri,M50,00:49:19
28,Walker,Ewan,Unattached,M40,00:49:48
29,McLeod,Rachel,Forres Harriers,F,00:50:21
30,Meehan,Jim,Highland Hill Runners,M60,00:51:08
31,Cameron,Kenneth,Highland Hill Runners,M50,00:51:29
32,Entwistle,Marie,Deeside Runners,F40,00:51:46
33,Richardson,Fiona,Highland Hill Runners,F40,00:51:55
34,Gilbertson,Toby,Unattached,M,00:52:05
35,Beck,Sharon,Highland Hill Runners,F50,00:53:51
36,Fagegaltier,Sebastien,Unattached,M50,00:55:36
37,Laird,Jacquie,Highland Hill Runners,F50,00:56:03
38,Simpson,Joanne,Unattached,F40,00:58:02
39,Sutherland,Eilidh,Unattached,F,00:59:02
40,Stokoe,David,Perth Road Runners,M50,00:59:11
41,Allsop-Vale,Bronte,Unattached,F,00:59:28
42,Black,Tara,Highland Hill Runners,F50,00:59:42
43,Simmonds,Fran,Highland Hill Runners,F,01:02:44
44,Campbell,Doreen,Unattached,F50,01:03:06
45,Thomson,Katy,Unattached,F,01:04:52
46,Stewart,Helen,Unattached,F,01:09:44
47,Pietersen,Justine,Highland Hill Runners,F40,01:13:26
48,Casabena,Alex,Highland Hill Runners,F40,01:13:26
