RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Rodgers,Richard,Hunters Bog Trotters,,0:29:12
2,Davis,A,Fife AC,,0:30:14
3,Crowe,D,Shettleston Harriers,,0:30:22
4,Hampshire,J,Hunters Bog Trotters,M,0:30:36
5,Kirkland,J,Dundee Hawkhill,,0:30:50
6,Gallacher,J,Ochil Hill Runners,,0:30:58
7,Morrison,Peter,Carnegie Harriers,M,0:31:01
8,Flynn,M,Caledon Park Harriers,,0:31:20
9,Hutchison,B,Anster Haddies,,0:31:23
10,Bowman,N,Lochaber AC,,0:31:32
11,Douglas,J,Carnegie Harriers,,0:31:33
12,Farquharson,C,Hunters Bog Trotters,,0:31:36
13,Sullivan,D,Dundee Hawkhill,,0:31:48
14,Martin,T,Fife AC,,0:31:56
15,Forrest,D,Carnegie Harriers,,0:31:59
16,McIntyre,N,Hunters Bog Trotters,,0:32:04
17,Hutchinson,H,Edinburgh Athletic College,,0:32:10
18,McCraw,Ron,Ochil Hill Runners,,0:32:24
19,Calder,David,Westerlands CCC,,0:32:39
20,Taylor,S,Pitreavie Athletic Club,,0:32:48
21,Worth,B,Ochil Hill Runners,,0:32:51
22,Holden,Joe,Fife AC,,0:33:00
23,Duthie,N,U/A,,0:33:13
24,Pryde,Gordon,Lomond Hill Runners,M,0:33:18
25,Hampshire,J,Hunters Bog Trotters,,0:33:21
26,Blissett,N,Hunters Bog Trotters,,0:33:28
27,Shaw,R,Anster Haddies,,0:33:31
28,Nicoll,R,Fife AC,,0:33:33
29,Kelly,F,Ochil Hill Runners,,0:33:34
30,Graham,A,Lomond Hill Runners,,0:33:55
31,Law,B,Teviotdale Harriers,,0:33:56
32,Buchanan,P,Ochil Hill Runners,,0:34:14
33,Hyslop,Scott,Livingston,,0:34:33
34,Wishart,A,U/A,,0:34:51
35,Billett,A,U/A,,0:34:55
36,Farquharson,D,Arbroath Footers,,0:35:02
37,Hornsby,I,Dundee Hawkhill,,0:35:04
38,McGuire,A,Fife AC,,0:35:09
39,Kettles,B,Lasswade Athletic Club,,0:35:16
40,Robertson,J,Ayr Seaforth,,0:35:27
41,Kirby,G,U/A,,0:35:40
42,Rodgers,M,Raf - Leuchars,,0:36:22
43,Robinson,T,Leuchars,,0:36:36
44,Holden,D,Fife AC,,0:36:44
45,Black,J,Livingston,,0:37:01
46,Mathieson,S,Ochil Hill Runners,,0:37:06
47,McGill,R,Drr,,0:37:12
48,Mallett,P,Lomond Hill Runners,,0:37:21
49,McBride,J,Barf,,0:37:40
50,Connolly,P,U/A,,0:37:52
51,Mitchell,M,Fife AC,,0:38:03
52,Maich,A,Fife AC,,0:38:09
53,Bennison,G,Fife AC,,0:38:22
54,Leitchman,G,Fife AC,,0:38:29
55,Herd,G,U/A,,0:38:44
56,Cation,F,Fife AC,,0:38:56
57,Martin,C,U/A,,0:38:56
58,Landles,B,U/A,,0:39:11
59,Lemondello,P,Fife AC,,0:39:20
60,Thorney,A,U/A,,0:39:52
61,Morrison,R,Fife AC,,0:39:56
62,Mills,P,Alval,,0:40:17
63,Leitchman,T,Fife AC,,0:40:26
64,Boulton,L,Alval,,0:40:42
65,Thomas,D,Alval,,0:40:42
66,Marshall,I,Hunters Bog Trotters,,0:40:59
67,MacGregor,K,Fife AC,,0:41:27
68,Hilditch,R,Fife AC,,0:41:39
69,Bias,F,East Kilbride Athletic Club,,0:41:47
70,Kidd,W,U/A,,0:41:48
71,Findlay,A,Anster Haddies,,0:41:54
72,Crichton,P,U/A,,0:44:44
73,Fairbrother,P,Alval,,0:46:15
74,Fleming,A,Alval,,0:46:35
75,Bennison,J,Fife AC,,0:46:41
76,Ryder,C,Alval,,0:46:45
77,Dunbar,B,Drr,,0:48:27
78,Noakes,W,Drr,,0:48:39
79,Carroll,J,Drr,,0:48:56
80,Westgate,S,Drr,,0:49:26
81,Fleming,N,Alval,,0:53:08
82,Ahollinger,R,Alval,,0:54:18
83,McDonald,S,U/A,,0:54:26
84,McDonald,I,U/A,,0:55:13
85,Harding,A,Alval,,0:56:07
86,McDonald,D,U/A,,0:56:53
87,Brown,R,U/A,,0:55:54
88,Rettig,G,Alval,,0:57:06
89,Hughes,C,Alval,,0:59:18
90,Scott,K,Alval,,0:65:21
