RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Vokes,Philip,Highland Hill Runners,M,00:34:30
2,Chebbout,Ryad,Shettleston Harriers,M,00:34:39
3,Pulham,Harry,Shettleston Harriers,M,00:35:31
4,Quinn,Adam,Westerlands CCC,M,00:39:05
5,Beresford,Will,Westerlands CCC,M,00:39:17
6,Cox,Andrew,Gala Harriers,M40,00:40:24
7,Hamlin,Robert,Westerlands CCC,M,00:41:14
8,Horne,Arran,Westerlands CCC,M,00:41:52
9,Marshall,Brian,Haddington HR,M50,00:42:58
10,Walker,Mark,Unattached,M,00:43:20
11,Blaikie,Robert,Westerlands CCC,M,00:43:26
12,Allsop,David,Kirkintilloch Olympians,M50,00:44:15
13,Campbell,Donald,Unattached,M40,00:45:00
14,Mackinnon,Gordon,Lochaber AC,M40,00:45:09
15,Harrison,Philip,Carnethy HRC,M,00:45:17
16,Dobson,Jacob,Unattached,M,00:46:14
17,O'Neill,Owen,Westerlands CCC,M40,00:46:15
18,Han,Andrew,Fulham RC,M40,00:46:24
19,Anderson,Mickey,Westerlands CCC,M60,00:46:27
20,Kenny,Conor,Westerlands CCC,M,00:46:34
21,Anderson,Ross,Westerlands CCC,M,00:47:27
22,Barber,Zoe,Shettleston Harriers,F,00:47:54
23,Gray,Andrew,Fulham RC,M40,00:47:57
24,Lorimer,Hayden,HBT,M50,00:48:04
25,Finch,Tom,Westerlands CCC,M,00:48:59
26,Black,Ali,Carnethy HRC,M40,00:49:08
27,Rountree,Helen,Ochil Hill Runners,F,00:49:10
28,Gilmore,Neil,Carnethy HRC,M60,00:49:12
29,Humble,Felton,Westerlands CCC,M40,00:49:37
30,Wilkinson,Owen,Carnethy HRC,M,00:51:53
31,Sweeney,Matthew,Ochil Hill Runners,M40,00:52:00
32,Horsfield,Fiona,Kinross RR,F40,00:52:28
33,Williamson,Max,Westerlands CCC,M,00:53:10
34,Foster,Paul,Westerlands CCC,M,00:53:50
35,Mills,Peter,Unattached,M,00:53:50
36,Webster,Billy,Kinross RR,M50,00:54:23
37,Johnson,Stephanie,Kinross RR,F,00:55:17
38,Hemingway,Ewan,Unattached,M,00:55:23
39,Pugh,Roderick,Kilmarnock Harriers,M60,00:57:01
40,Conaghan,Martin,Unattached,M,00:57:28
41,Furse,Chris,Westerlands CCC,M50,00:57:33
42,Wilson,Joan,Lomond Hill Runners,F60,00:57:53
43,Donnelly,John,Ochil Hill Runners,M50,00:58:00
44,Shepherd,Rozy,Carnethy HRC,F,00:58:24
45,Lindsay,Susan,Ochil Hill Runners,F50,00:59:15
46,Macbeth,Gaby,Westerlands CCC,F40,00:59:23
47,Quirke,Martin,Unattached,M40,00:59:23
48,Cooper,Michael,Todmordan Harriers,M,01:01:17
49,Peebles,Jenny,Westerlands CCC,F40,01:02:17
50,Fitzpatrick,Pat,Ochil Hill Runners,M70,01:02:18
51,Ward,Ausrine,Westerlands CCC,F40,01:03:03
52,Urquhart,William Murdo,Unattached,M60,01:05:46
53,Fitzgerald,Jacob,Unattached,M40,01:10:29
54,Clark,Jennifer,Kirkintilloch Olympians,F,01:15:58
55,Neil,Cornel,Kirkintilloch Olympians,M60,01:16:08
56,Mcadam,Pauline,Kinross RR,F60,01:19:56
