RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Hodkinson,Peter,HBT,M,00:25:43
2,Donnelly,Colin,Cambuslang Harriers,M40,00:26:01
3,Marshall,Brian,HELP,M40,00:27:04
4,Johnston,Fergus,Gala Harriers,M,00:27:17
5,McWhinnie,Iain,Fife AC,M,00:27:42
6,Knox,Jonny,Anster Haddies,M40,00:28:06
7,Morgan,Charlotte,Carnethy,F40,00:28:26
8,Gaffney,David,Moorfoot Runners,M,00:29:33
9,Williams,Colin,Moorfoot Runners,M40,00:29:55
10,Greens,Michael,Penicuik Harriers,M,00:31:06
11,Milligan,Ryan,Unattached,M,00:31:08
12,Johnson,Bob,Gala Harriers,M40,00:31:39
13,Reid,Don,Westerlands,M40,00:32:04
14,Scott,Darren,Galavanters,M40,00:32:12
15,Lee,Richard,Unattached,M,00:34:15
16,Knox,Lizzie,Anster Haddies,F,00:35:13
17,Hoare,Eoghan,Unattached,M40,00:36:46
18,Knox,Rosie,Anster Haddies,F,00:36:50
19,McWhinnie,Jim,Carnethy,M40,00:38:47
20,Lees,Rachel,Penicuik Harriers,F,00:39:14
21,Greens,Daniel,Penicuik Harriers,M,00:40:52
22,Kemp,Sadie,Penicuik Harriers,F40,00:42:56
23,Gilkison,Bruce,Unattached,M,00:43:24
24,Coltman,Alan,Teviotdale Harriers,M40,00:43:38
25,Gordan,Cameron,Unattached,M,00:47:31
26,Martins,Brian,Unattached,M40,00:47:31
27,Suright,Gareth,Unattached,M,00:50:39
28,Suright,Kelly,Unattached,F,00:52:04
29,Cowling,Anna,Unattached,M,00:52:13
30,Birch,Frank,Teviotdale Harriers,M40,00:55:31
