RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Fraser,Scott,HBT,M,00:24:45
2,Dunn,James,HBT,M,00:25:15
3,Donnelly,Colin,Cambuslang Harriers,M40,00:27:00
4,Cox,Andrew,Moorfoot Runners,M,00:27:17
5,Lai,Michael,Unattached,M,00:27:55
6,Chepelin,Oleg,HBT,M,00:28:21
7,Gaffney,David,Moorfoot Runners,M40,00:28:52
8,Scott,Vivian,Unattached,M,00:29:45
9,McGowan,Jamie,Gala Harriers,M40,00:29:52
10,Titmuss,Simon,Carnethy,M40,00:30:42
11,Murray,Keith,Teviotdale Harriers,M40,00:30:56
12,Short,Kenny,Teviotdale Harriers,M40,00:31:05
13,Andrew,Mike,Carnethy,M40,00:31:48
14,Williams,Colin,Moorfoot Runners,M40,00:32:12
15,Wilson,Rob,Penicuik Harriers,M40,00:32:14
16,Scott,Darren,Unattached,M40,00:32:16
17,Johnson,Bob,Gala Harriers,M40,00:32:24
18,Renville,Alan,Carnethy,M40,00:32:32
19,Henderson,Kathleen,Unattached,F,00:32:56
20,Cairns,Gillian,Penicuik Harriers,F40,00:34:16
21,Orr,Adam,Unattached,M,00:36:36
22,Duncan,David,Ochil Hill Runners,M40,00:37:01
23,Forrest,Ian,Penicuik Harriers,M40,00:38:37
24,Donoghue,Stephen,Unattached,M,00:41:33
25,Lockie,Paul,Teviotdale Harriers,M40,00:41:56
26,MacEwen,Alex,Edinburgh AC,M40,00:43:52
27,Coltman,Alan,Teviotdale Harriers,M40,00:44:41
28,Routley,Jenny,Unattached,F40,00:45:46
29,Daycalder,Mandy,Unattached,F40,00:48:18
30,Birch,Frank,Teviotdale Harriers,M40,00:52:45
