RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Naylor,Don,HBT,M,01:36:09
2,Marshall,Brian,HELP,M,01:39:15
3,Weir,Dave,Fife AC,M,01:40:21
4,Watson,Cameron,Pitreavie,M,01:40:41
5,Gorman,Manuel,Westerlands,M,01:43:54
6,Crowe,Des,Shettleston,M,01:44:30
7,Fallon,Steven,Carnethy,M,01:44:51
8,Smith,Bruce,Standard Life,M,01:48:10
9,Cunningham,Richie,Carnegie Harriers,M,01:48:57
10,Britton,James,Unattached,M,01:50:04
11,Scott,Tom,Fife AC,M40,01:50:27
12,Anderson,Laurie,Fife AC,M,01:50:44
13,Kay,John,Fife AC,M,01:50:49
14,Ottemoller,Lars,Carnethy,M,01:50:57
15,Fraser,Swaz,Westerlands,M,01:55:12
16,Hulme,Martin,Corstorphine AAC,M40,01:55:19
17,McCraw,Ron,Ochil Hill Runners,M,01:55:25
18,Blair-Fish,John,Carnethy,M40,01:55:31
19,Howett,Andrew,Fife AC,M,01:56:15
20,Sym,Digby,Strathearn Harriers,M,01:56:59
21,McDonald,Alasdair,Dundee Hawkhill,M,02:00:05
22,Donnelly,John,Westerlands,M,02:00:06
23,Laing,Martin,Fife AC,M40,02:01:14
24,Brierly,Andy,Fife AC,M,02:01:46
25,Buchanan,Peter,Ochil Hill Runners,M,02:02:33
26,Scholes,John,Unattached,M,02:03:17
27,McIlroy,Ross,Helensburgh AAC,M40,02:04:58
28,Law,William,Fife AC,M,02:04:59
29,Begley,Tommy,Irvine AC,M,02:05:52
30,Fowler,Nigel,Fife AC,M,02:05:59
31,Scott,Jocelyn,Fife AC,F40,02:06:03
32,Galloway,Michael,Dundee Hawkhill,M,02:06:58
33,Semple,Hamilton,Westerlands,M40,02:07:22
34,Murdoch,George,Carnegie Harriers,M,02:07:36
35,Kelly,Graham,Westerlands,M,02:08:16
36,Bartlett,Pat,Unattached,M,02:08:37
37,Blaikie,Andrew,Unattached,M,02:09:14
38,Bowie,Tom,Carnegie Harriers,M40,02:09:30
39,Mitchell,Mike,Fife AC,M,02:11:09
40,Love,Charlie,Dundee Hawkhill,M60,02:11:23
41,Munro,Niall,HBT,M,02:11:37
42,Love,Craig,Dundee Hawkhill,M,02:11:54
43,Kerr,Hugh,Central AC,M,02:12:12
44,Hutton,Paul,Carnegie Harriers,M,02:13:17
45,Robertson,Jane,Westerlands,F,02:13:25
46,Bowman,Angus,Beacon Runners,M,02:13:59
47,Brennan,Brian,Westerlands,M40,02:16:24
48,Thompson,Fabienne,Carnegie Harriers,F,02:18:03
49,Fitzpatrick,Kate,Fife AC,F,02:19:36
50,Miller,Catriona,Westerlands,F,02:20:08
51,Whittingham,Brian,Unattached,M,02:21:15
52,Campbell,Neil,Carnegie Harriers,M,02:21:33
53,Gambell,Lisa,Fife AC,F,02:21:44
54,Dowell,Finlay,Irvine AC,M,02:24:24
55,Littlewood,John,Carnethy,M60,02:24:59
56,Sabiston,Kevin,Bicycle Works,M,02:26:39
57,Kittel,Werner,Portobello,M,02:26:55
58,Reynolds,Colin,Carnegie Harriers,M,02:28:03
59,Anderson,Adam,Dumfries RC,M60,02:29:28
60,Robertson,Doug,Fife AC,M,02:30:35
61,Mcmanus,Ian,Irvine AC,M60,02:31:25
62,Nairns,William,Ochil Hill Runners,M,02:31:48
63,Smith,Rachael,Unattached,F,02:31:55
64,Schreiber,Jo,Pudsey & Bramley,F,02:32:05
65,Grainger,Moira,Fife AC,F,02:38:53
66,McAdam,Pauline,Westerlands,F40,02:39:27
67,Stakes,David,Unattached,M,02:42:02
68,Lemmoncello,Phylis,Fife AC,F40,02:44:09
69,Stapely,Tony,Portobello,M60,02:44:40
70,Ellison,Dave,Fife AC,M60,02:47:35
71,Turnbull,Drew,Westerlands,M60,02:52:09
72,Wright,Andrew,Fife AC,M60,03:09:40
