RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Naylor,Donald,HBT,MV40,01:27:39
2,McLeod,Alisdair,Shettleston,MS,01:27:47
3,Anthony,Alisdair,Ochils,MS,01:27:54
4,Harris,Mark,Lomond HR,MV40,01:28:55
5,Gilmore,Andrew,Carnethy,MS,01:29:12
6,Smith,Tom,Lochaber,MV40,01:29:22
7,Faulkner,Paul,Carnethy,MV40,01:29:41
8,Whitlie,Stewart,Carnethy,MV50,01:30:00
9,Gay,Dan,HBT,MS,01:30:27
10,Paterson,Robbie,Forres,MS,01:30:49
11,Reid,Michael,Carnethy,MS,01:31:45
12,Barrington,Andrew,Lochaber,MS,01:31:52
13,Eiser,Dave,Ochils,MS,01:32:21
14,Connaghan,John,Shettleston,MV40,01:32:39
15,Winter,Stephen,Shettleston,MS,01:33:20
16,Johnston,Fergus,Gala,MS,01:33:41
17,Normand,Andrew,Carnethy,MS,01:33:56
18,Paris,Jasmin,Carnethy,FS,01:34:22
19,Fulton,David,HBT,MS,01:35:34
20,Morgan,Charlotte,Carnethy,FS,01:35:47
21,Gorman,Manny,Westerlands,MV40,01:36:03
22,Knox,Jonny,Anster Haddies,MV40,01:36:36
23,Ashcroft,Jonny,Carnethy,MV40,01:37:05
24,Bossard,Michael,Lochaber,MS,01:38:12
25,MacKenzie,Donald,Lomond HR,MV40,01:38:17
26,Foster,George,Ambleside,MS,01:38:34
27,Whitehead,Clare,Deeside Runners,FS,01:38:39
28,O'Neill,Owen,Westerlands,MS,01:40:18
29,Baxter,Grant,Ochils,MV40,01:40:26
30,Burt,Cameron,Westerlands,MS,01:40:45
31,Best,Steve,Carnethy,MS,01:40:51
32,Morgan,Andrew,Forres,MS,01:41:03
33,Matthews,Steve,Dundee Hawkhill,MV40,01:41:06
34,Provan,Stephanie,Deeside Runners,FS,01:41:51
35,MacDonald,Steve,Lochaber,MS,01:42:11
36,Gilmore,Neil,Carnethy,MV50,01:44:01
37,Kerridge,Donald,Deeside Runners,MV40,01:44:31
38,Murray,Keith,Teviotdale,MV50,01:44:43
39,Watson,Dan,Lochtayside,MV40,01:45:04
40,Anderson,Adam,Carnethy,MV40,01:45:12
41,Simpson,Peter,Carnegie,MV50,01:46:49
42,McVey,Alex,Carnethy,MS,01:47:06
43,Martin,Timothy,Aberdeen Uni,MS,01:47:17
44,Kenyon,Oliver,HBT,MS,01:47:40
45,Watson,Chris,RAF,MS,01:47:43
46,Mardall,Nick,Deeside Runners,MV40,01:47:48
47,Pringle,Alastair,Shettleston,MV40,01:47:54
48,McKechnie,Eilis,HBT,FS,01:47:57
49,Darling,Chris,Lomond HR,MS,01:48:20
50,King,Steven,Carnegie,MV40,01:48:44
51,Cowie,Ross,U/A,MS,01:49:15
52,Roper,Marc,Westerlands,MV50,01:49:28
53,Pryde,Gordon,Lomond HR,MV50,01:50:35
54,Paterson,Euan,Moray,MV60,01:50:53
55,Wilson,Stewart,Inverness,MV40,01:50:54
56,Worsley,Steven,Inverness,MV50,01:51:28
57,McKenzie,Stuart,Anster Haddies,MS,01:51:34
58,Cowan,David,Fife AC,MV50,01:51:57
59,McLelland,Morag,HBT,FS,01:52:12
60,Tomlin,Chris,Cosmics,MV40,01:52:35
61,Mitchell,Dave,Dundee Hawkhill,MV50,01:52:51
62,Taylor,George,Highland,MV50,01:53:26
63,Pugh,Roderick,Kilmarnock,MV50,01:54:06
64,Hawkins,Ian,Fife AC,MV50,01:54:09
65,Wilkinson,Malcolm,HBT,MS,01:54:21
66,McDonald,Alistair,St Andrews Uni,MS,01:54:25
67,Davie,Kevin,Carnegie,MS,01:54:30
68,McKenzie,Sarah,Lochaber,FS,01:54:35
69,Oldham,Veronique,Cosmics,FV40,01:54:53
70,Hood,Alasdair,Fife AC,MV50,01:55:11
71,Peters,Steven,Dundee Road Runners,MS,01:55:52
72,Houston,Val,Westerlands,FV50,01:55:53
73,Scott,David,Ochils,MV50,01:56:10
74,Jumelle,Paddy,Corstorphine,MS,01:56:23
75,Crabbie,Colin,HBT,MV40,01:56:48
76,Henderson,Walter,Shettleston,MV40,01:56:51
77,Evans,Neah,Westerlands,FS,01:57:02
78,Anthony,Kenneth,Fife AC,MV50,01:57:13
79,Knox,Thomas,Anster Haddies,MS,01:58:23
80,Pendrich,Neil,U/A,MV40,01:58:31
81,Ferguson,Mark,Fife AC,MS,01:59:07
82,Bartlett,Pat,Interlopers,MV40,02:00:03
83,Hartree,Mark,Carnethy,MV50,02:00:09
84,Ingram,Richard,Garioch,MV40,02:00:16
85,Wier,Jonathon,U/A,MS,02:00:43
86,Turner,Dave,Lomond HR,MV40,02:00:49
87,MacLeod,Murdo,Westerlands,MV60,02:01:08
88,Adam,Sarah,Westerlands,FS,02:01:32
89,Kerridge,Ewan,Deeside Runners,MS,02:01:46
90,Duncan,David,Ochils,MV60,02:01:50
91,Normand,Ivor,HBT,MV40,02:02:09
92,Wright,Graham,HBT,MV50,02:02:29
93,Cummins,Mike,Fife AC,MS,02:02:40
94,Lomas,Paul,U/A,MV40,02:03:00
95,Wilson,Colin,Lomond HR,MV50,02:03:35
96,Rogers,James,HBT,MS,02:03:40
97,Jackson,Jane,Carnethy,FV40,02:03:46
98,Anderson,Joanne,Carnethy,FV40,02:03:46
99,Galbraith,Jim,Giffnock North,MV50,02:04:11
100,Barker,Gary,Fife AC,MV50,02:04:19
101,McCaffery,Gordon,Westerlands,MV60,02:04:23
102,Wilson,Robbie,Penicuik,MV40,02:04:25
103,Flett,Rob,HBT,MV40,02:05:10
104,Fisher,Catriona,Westerlands,FS,02:05:41
105,Rutherford,Kevin,U/A,MV40,02:05:44
106,McLure,Neil,U/A,MV40,02:06:42
107,Fulham,John,Carnegie,MV40,02:06:44
108,Beedie,Iain,Lomond HR,MV40,02:07:09
109,Ritche,Hilary,Fife AC,FV50,02:07:26
110,Bowman,Gus,Lomond HR,MV50,02:07:35
111,Vallance,Calum,Carnegie,MV40,02:08:03
112,Donnelly,John,Westerlands,MV50,02:08:34
113,Forte,Phil,Dundee Hawkhill,MV50,02:08:46
114,McKiddie,Christopher,Westerlands,MS,02:09:02
115,Edward,Iain,Lomond HR,MS,02:09:14
116,Rogan,Kirstie,Forres,FS,02:09:49
117,Waterhouse,Bob,Carnethy,MV60,02:10:04
118,Young,Fredelina,Reading RR,FS,02:10:43
119,Burnet,Isobel,Carnegie,FV40,02:11:48
120,MacNab,Graham,Lochaber,MV50,02:12:09
121,Parminter,John,Black Combe,MV40,02:12:19
122,Kerridge,Jane,Deeside Runners,FV60,02:12:52
123,Bryan-Jones,Gareth,Ochils,MV70,02:13:16
124,Brunton,Val,Westerlands,FV40,02:13:34
125,Nicol,Grahame,Tayside Orienteer,MV50,02:13:58
126,Drewette,David,Ochils,MV40,02:14:13
127,Best,Sally,Carnethy,FS,02:14:22
128,Sinclair,Melanie,Carnegie,FV40,02:14:39
129,Brennan,Brian,Westerlands,MV50,02:15:25
130,Knox,Lizzie,Anster Haddies,FS,02:16:01
131,Wilson,Joan,Carnethy,FV50,02:16:27
132,Blackley,Lisa,U/A,FS,02:17:01
133,McLean,Herbie,Lochtayside,MV60,02:17:11
134,Robson,John,Annan ADAL,MV50,02:17:32
135,Douglas,George,Westerlands,MV40,02:17:42
136,Thomson,Iain,Carnegie,MV60,02:18:01
137,Gayle,Vernon,U/A,MV40,02:18:11
138,Brodie,Stuart,Ochils,MS,02:18:19
139,Munro,Heather,Carnethy,FS,02:19:44
140,Davidson,Stewart,Fife AC,MV60,02:19:53
141,Killean,Liz,Fife AC,FV40,02:20:38
142,Duncan,Andy,Edin Running net,MV40,02:20:49
143,Kearney,Tony,Lochaber,MV40,02:21:00
144,Stewart,Graeme,U/A,MS,02:21:02
145,Brannigan,Alan,Carnegie,MV50,02:21:10
146,Cameron,Karen,U/A,FS,02:21:21
147,Murdoch,Ray,Lochaber,MV60,02:21:24
148,Wilson,Joanna,Carnegie,FS,02:21:38
149,Belsim,Adam,U/A,MS,02:21:46
150,Wise,Helen,Carnethy,FS,02:21:55
151,Rogers,Jennifer,U/A,FS,02:22:16
152,Coy,Vicky,U/A,FS,02:22:16
153,Gilfedder,James,Lomond HR,MV40,02:22:24
154,Hamer,John,Westerlands,MV50,02:22:26
155,Davies,Andy,U/A,MV40,02:22:41
156,Kahn,Mohammed,Dumfries,MS,02:23:25
157,McPherson,Hugh,Tinto,MV60,02:24:07
158,Reid,Colin,Cosmics,MV50,02:24:19
159,Craig,Carrie,HBT,FS,02:24:43
160,Fleming,Gibson,Westerlands,MV70,02:25:44
161,Stephen,Lynne,Fife AC,FV50,02:28:03
162,Downie,Chris,Penicuik,MV50,02:28:28
163,Evans,Ross,Westerlands,FV60,02:28:39
164,De La Jara,Julid,U/A,MS,02:29:31
165,Bowie,Tom,Carnegie,MV60,02:29:57
166,Taylor,Lucy,HBT,FS,02:32:45
167,Fleming,Morna,Carnegie,FV60,02:33:06
168,Mass,Digby,Carnethy,MV60,02:34:20
169,McAlpine,Roddy,U/A,MV50,02:34:40
170,Kemp,Sadie,Penicuik,FS,02:35:13
171,Tait,Richard,Swaledale,MV60,02:35:40
172,Campbell,Neil,Carnethy,MV50,02:36:40
173,Coventry,Alan,U/A,MS,02:36:51
174,Breslin,James,U/A,MV50,02:37:14
175,Kennedy,Nancy,Lochaber,FV50,02:37:52
176,Oliver,Chris,HBT,MV60,02:38:15
177,Lucendo,Balta,U/A,MS,02:38:21
178,Perez,Ana,U/A,FS,02:38:21
179,Smith,Janice,HBT,FS,02:38:46
180,Francis,David,Fife AC,MV60,02:39:20
181,Brown,Sharon,Anster Haddies,FS,02:42:39
182,Lumsden,Ewan,Anster Haddies,MS,02:42:39
183,Weston,Anna,HBT,FS,02:44:05
184,Kennedy,Alan,Dundee Hawkhill,MV50,02:44:06
185,Gunn-Russell,Kenny,Run 4 it,MV50,02:45:49
186,Jumelle,Jean,Carnethy,MV60,02:48:01
187,Miller,Jonathan,Carnegie,MS,02:49:17
188,Ingram,Cali,Carnethy,FV60,02:49:40
189,Damvelt,Penelope,Ochils,FS,02:54:10
190,Paul,Brenda,Westerlands,FS,02:55:15
191,Fairbairn,Gillian,Ochils,FS,02:57:15
192,Wright,Andrew,Fife AC,MV70,02:59:09
193,Love,Charlie,Dundee Hawkhill,MV70,03:15:38
194,Fraser,Ron,Dundee Road Runners,MV50,03:16:24
195,Taylor,Sharon,Westerlands,FV50,03:29:09
196,McLaughlin,Pat,Westerlands,FV60,03:29:41
197,Mallett,Carole,U/A,FV50,03:31:02
