RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Reid,Michael,Moorfoot Runners,M,01:10:32
2,Marshall,Brian,HELP,M40,01:10:48
3,Matlocks,Craig,HBT,M,01:12:12
4,Wiseman,Bob,Ochil Hill Runners,M,01:12:26
5,Dougal,Darin,Moorfoot Runners,M,01:12:37
6,Smith,Bruce,Carnethy,M40,01:13:33
7,Mudge,Angela,Carnethy,F40,01:13:48
8,Ascroft,Jon,Carnethy,M,01:14:21
9,Bolland,Brendan,Horwich Harriers,M40,01:14:43
10,Hobbs,Tom,Moorfoot Runners,M40,01:14:56
11,Britton,James,Moorfoot Runners,M,01:16:15
12,Hynd,Will,n/a,M40,01:16:15
13,Theaker,Damien,Helensburgh,M50,01:16:52
14,Ball,Duncan,Penicuik Harriers,M40,01:17:06
15,Mepham,Derek,n/a,M50,01:17:18
16,Buchanan,Peter,Portobello RC,M40,01:17:41
17,Simpson,Stuart,Ochil Hill Runners,M40,01:17:53
18,Dickson,David,Westerlands,M50,01:18:08
19,Darlow,Tim,n/a,M,01:19:19
20,Davis,Matt,Carnethy,M40,01:19:40
21,Cameron,Gordon,Carnethy,M50,01:19:57
22,Williams,Colin,Moorfoot Runners,M,01:20:04
23,Anderson,Russell,Moorfoot Runners,M50,01:20:26
24,Cassells,Derek,Carnegie Harriers,M,01:21:04
25,Kelly,Graham,Westerlands,M40,01:21:05
26,Clarke,Daniel,Mersey Tri,M,01:21:07
27,Welsh,Ali,Bowland FR,M40,01:21:41
28,Davidson,Kenneth,Moorfoot Runners,M40,01:22:01
29,Hubert,Jason,Carnethy,M40,01:22:01
30,Watson,Dan,Annan & District AC,M40,01:22:04
31,Jenkins,Kate,HBT,F,01:22:59
32,Henry,Graham,Portobello RC,M40,01:22:59
33,Martin,Neil,Fife AC,M40,01:23:20
34,Campbell,Alex,Moorfoot Runners,F,01:23:30
35,Gorgas,Steffen,Westerlands,M40,01:24:23
36,Eades,Colin,Lothian RC,M40,01:25:22
37,Mitchell,Dave,Dundee Hawkhill,M40,01:25:37
38,Geoghegan,Michael,Portobello RC,M,01:26:18
39,Baldock,Michael,Carnethy,M,01:26:35
40,Clough,Andrew,Chorley Harriers,M40,01:26:46
41,Begley,Tommy,Irvine Athletic,M40,01:26:57
42,Macdonald,Gio,Carnethy,M40,01:27:13
43,Milligan,Douglas,Solway,M60,01:27:16
44,Connor,Julia,Moorfoot Runners,F,01:27:21
45,Grundy,Lewis,NFR,M40,01:27:55
46,Hardie,James,Carnethy,M,01:28:43
47,Tait,Dougie,n/a,M50,01:29:35
48,Nisbet,Stephen,Selkirk,M40,01:30:29
49,Thomas,Ranjit,Annan & District AC,M40,01:30:33
50,Weir,Jonathon,n/a,M,01:30:44
51,Collins,Trevor,Carnethy,M50,01:30:51
52,Gibson,Willie,Carnethy,M50,01:30:52
53,Reynolds,Colin,Carnegie Harriers,M,01:31:16
54,Wilson,Rob,Penicuik Harriers,M,01:31:22
55,Smith,Rachael,Moorfoot Runners,F,01:32:20
56,Earle,Patrick,n/a,M50,01:33:15
57,Waterhouse,Bob,Carnethy,M50,01:33:25
58,Campbell,Neil,Carnegie Harriers,M40,01:33:39
59,Ritchie,Paul,Carnethy,M40,01:34:11
60,Eunson,Paul,Portobello RC,M50,01:34:36
61,Priestley,Nigel,Annan & District AC,M50,01:35:03
62,Paul,Alastair,NFR,M50,01:35:08
63,Duff,Bill,Carnegie Harriers,M60,01:35:33
64,Green,Phil,NFR,M40,01:35:43
65,Mackinnon,Fionna,Carnethy,F,01:36:25
66,Bowman,Angus,Beacon Runners,M50,01:37:08
67,Nisbet,Alan,n/a,M,01:37:18
68,Telfer,John,Northumberland FR,M40,01:37:56
69,Reid,Kenny,n/a,M50,01:38:03
70,Adams,Keith,Westerlands,M50,01:38:33
71,Nowicki,Michael,Portobello RC,M,01:39:30
72,Wilson,Alan,n/a,M40,01:39:39
73,Adam,Sarah,Maryhill Harriers,F,01:39:49
74,Moncrieff,Mark,n/a,M40,01:40:06
75,Hutton,Paul,Carnegie Harriers,M40,01:41:33
76,McPherson,Hugh,n/a,M60,01:41:37
77,Macdougall,Ken,Tinto Hill Runners,M,01:41:51
78,Oliver,Chris,HBT,M60,01:42:06
79,Nichol,Lesley,HELP,F40,01:42:10
80,Maass,Digby,Carnethy,M50,01:42:34
81,Hindle,Alistair,ESOC,M,01:43:39
82,Clements,Charlie,n/a,M40,01:43:26
83,Bonsor,Helen,Carnethy,F,01:43:42
84,Wilhelm,Andreas,Carnethy,M40,01:44:03
85,Stakes,David,Bellahouston Road Runners,M40,01:44:07
86,McCurrich,Eve,Tinto Hill Runners,F,01:44:07
87,Campbell,Gordon,Penicuik Harriers,M,01:45:30
88,Marynkz,Paul,Norham,M50,01:45:49
89,Hood,Brian,Moorfoot Runners,M40,01:47:21
90,Maxwell,Susie,Penicuik Harriers,F,01:47:23
91,Macdonald,R,HBT,M60,01:48:28
92,Dunn,Mike,Strathaven Striders,M50,01:51:55
93,Gilchrist,Derek,n/a,M,01:53:30
94,Stapley,Tony,Portobello RC,M60,01:54:54
95,McManus,Ian,Irvine Athletic,M60,01:55:14
96,Wilkinson,Michael,Carnethy,M40,01:56:07
97,Reid,Gillian,n/a,F40,01:56:18
98,Hodge,Margaret,n/a,F50,01:59:21
99,Ingham,Cali,Carnethy,F50,01:59:59
100,Daniels,Ken,Carnegie Harriers,M60,02:00:47
101,Drijver,Saartje,HELP,F40,02:01:29
102,Loudon,Kirsty,Penicuik Harriers,F40,02:01:47
103,Winning,Jim,Beacon Runners,M50,02:04:33
104,Wilkinson,Trevor,Carnethy,M,02:06:45
105,Robson,Jean,Annan & District AC,F50,02:13:25
106,Adcock,Miriam,Jog Peebles,F40,02:14:56
107,Hanley,Lynn,Portobello RC,F40,02:23:27
108,Kingston,Sue,Portobello RC,F50,02:23:27
109,Munro,Karen,Portobello RC,F40,02:23:27
110,Stirton,Janis,Portobello RC,F50,02:23:27
111,Webster,Cath,Portobello RC,F50,02:23:27
112,Laurie,Jenni,Portobello RC,F,02:23:27
113,Kay,Louise,Portobello RC,F50,02:27:55
114,Milne,Ellie,Portobello RC,F40,02:27:55
115,Melville,Chris,Portobello RC,M,02:27:59
