RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Rodger,David,Lochaber AC,M,0:51:27
2,Ward,Adam,Carnethy Hill Racers,MV,0:54:11
3,Davies,Adrian,Fife AC,MV,0:55:43
4,Cummins,Dave,Shettleston Harriers,M,0:56:17
5,Keith,Alec,Hunters Bog Trotters,M,0:57:10
6,Smith,Alan,Reindeer Hillbilly,MV,0:58:14
7,Greig,Kyle,Forres Harriers,MJ,0:58:50
8,Burns,Stephen,Lochaber AC,M,0:60:55
9,Shaw,Mark,Lochaber AC,M,0:60:57
10,Smith,Bruce,Standard Life Athletic Club,M,0:62:33
11,Harley,Tom,HELP,MV,0:62:45
12,Rumgay,Kenneth,Lochaber AC,M,0:64:08
13,Mykura,William,Carnethy Hill Racers,MV,0:64:27
14,Boswell,Roger,Unattached,MSV,0:64:33
15,Scott,Dawn,Lochaber AC,F,0:64:41
16,Poll,Bruce,Borrowdale Fell Runners,M,0:64:51
17,Tait,Jill,Carnethy Hill Racers,F,0:65:02
18,Shaw,Richard,Lochaber AC,M,0:65:25
19,Millen,Blair,Westerlands CCC,M,0:66:26
20,Kellet,Tom,Reindeer Hillbilly,M,0:64:41
21,Love,Charlie,Dundee Hawkhill,MSV,0:67:13
22,Wallace,Sandy,HELP,MSV,0:67:53
23,Dahl,Fiona,Inverness Harriers,F,0:68:21
24,Hunt,Dave,Carnethy Hill Racers,MSV,0:68:35
25,Duncan,David,Ochil Hill Runners,MV,0:69:40
26,Delop,Colin,Reindeer Hillbilly,M,0:70:40
27,Methold,Henry,Lochaber AC,MV,0:71:11
28,Hunter,Stuart,Cosmics,M,0:71:33
29,Bass,Owen,Unattached,M,0:71:44
30,Taylor,Colin,Cosmics,MV,0:71:56
31,Brown,Philip,Highland Hill Runners,MSV,0:72:27
32,Stewart,Jim,Lochaber AC,MSV,0:72:34
33,Nangham,Catherine,Cosmics,F,0:72:39
34,Burns,Keith,Carnethy Hill Racers,MSV,0:73:15
35,Corrigan,Paul,Navy - Royal Naval Athletic Club,M,0:74:37
36,Milmoe,Mike,Forres Harriers,MSV,0:74:48
37,Blackwall,Amanda,Lochaber AC,F,0:75:11
38,MacIver,Mandy,Inverness Harriers,FV,0:76:30
39,Haig,Jim,Fife AC,MV,0:77:10
40,McLachlan,Roy,Fife AC,MSV,0:77:45
41,Baxter,Peter,Westerlands CCC,MV,0:78:00
42,Cromar,Steve,Dundee Hawkhill,MSV,0:78:21
43,MacDonald,Nicky,Lochaber AC,F,0:79:01
44,Gatehouse,Richard,Lomond Hill Runners,MV,0:80:31
45,Heyer,Dagmar,Cosmics,F,0:80:40
46,West,Alison,Carnegie Harriers,FV,0:80:48
47,Smith,Alex,Reindeer Hillbilly,MJ,0:80:57
48,Stewart,Elaine,Cosmics,FV,0:81:07
49,Ross,Susan,Lochaber AC,F,0:81:18
50,Scott,Elspeth,Westerlands CCC,F,0:83:32
51,Frost,Ian,Carnethy Hill Racers,MSV,0:84:05
52,MacDonald,Mike,Northern Vets,MSV,0:84:31
53,Sneddon,Matthew,Carnethy Hill Racers,MV,0:85:06
54,Turnbull,Drew,Westerlands CCC,MSV,0:88:29
55,Kitson,Aileen,Lochaber AC,FV,0:89:47
56,Mallin,Gerda,Highland Hill Runners,FSV,0:91:34
57,McLachlan,Eliza,Fife AC,FV,0:93:55
58,West,Nick,Unattached,MV,0:96:32
59,Paull,Gillian,Highland Hill Runners,FSV,0:105:08
60,King,Shelagh,Clydesdale Harriers,FV,0:105:08
