RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Gilmore,Andrew,HHR,M,1:21:51
2,Beaven,Ali,HHR,M,1:22:51
3,Bartholomew,Doug,HHR,M,1:25:32
4,Nicholson,James,HHR,M,1:28:25
5,Killingbeck,Siobhan,,F,1:30:48
6,Fallon,Steve,Carnethy,M60,1:33:46
7,MacLennan,Iain,HHR,M50,1:41:09
8,Kwiczala,Tomasz,,M40,1:46:38
9,Greig,Matthew,Good Time Running Club,M,1:47:17
10,MacIntosh,Alistair,,M,2:02:06
11,Fraser,Calum,Cumberland Fell Runners,M,2:04:12
12,Moffat,John,HHR,M60,2:07:34
13,Myatt,Rona,HHR,F,2:08:28
14,Dearman,Michael,,M40,2:08:55
15,Burnside,Steve,HHR,M40,2:22:27
16,Mitchell,Emma,HHR,F50,2:22:29
17,Boocock,Katy,HHR,F60,2:22:58
18,Cochrane,Charlotte,Good Time Running Club,F,2:23:16
19,Cameron,Kenneth,HHR,M60,2:26:18
