RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Docwra,Ian,Westerlands CCC,M,01:21:09
2,Butler,Chris,Westerlands CCC,M,01:38:52
3,Anderson,Adam,Annan & District AC,M,01:39:19
4,Cuthbertson,Mark,Cairnsmore Mile Munchers,M40,01:42:35
5,McRobert,John,Hardrock Hoodlums,M40,01:45:04
6,O'Neill,Owen,Westerlands CCC,M,01:47:20
7,Irving,Roger,Annan & District AC,M50,01:53:34
8,Plummer,Kev,Annan & District AC,M50,01:57:04
9,Armstrong,Jock,Unattached,M40,01:58:29
10,Fileman,Megan,Westerlands CCC,F,01:58:50
11,Comrie,Fiona,North Ayrshire AC,F40,02:00:10
12,Goodenough,John,Galloway Harriers,M,02:00:58
13,Dean,Adrian,Unattached,M40,02:01:01
14,Fisher,Bill,Unattached,M50,02:04:46
15,McKay,Craig,Unattached,M50,02:05:55
16,Schreiber,Jo,Girvan AAC,F50,02:09:28
17,Brash,Colin,Girvan AAC,M50,02:09:30
18,Smith,Ally,Unattached,M,02:19:28
19,Stakes,David,Unattached,M50,02:22:59
20,Howie,Brian,Carnethy,M60,02:24:10
21,Ploum,Michel,Unattached,F40,02:26:36
22,Noble,Anne,Troon Tortoises,F50,02:43:08
