RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Knowles,Matt,Carnethy HRC,M,43:01
2,Abernethy,Rory,Ochil Hill Runners,M,44:50
3,Todd,Finlay,Carnethy HRC,M,45:23
4,Bunn,David,Carnethy HRC,M,46:18
5,Pulham,Harry,Shettleston Harriers,M,47:07
6,Balogh,Csoban,Carnethy HRC,M,47:29
7,Taylor,Luke,Highland Hill Runners,M,48:46
8,Alexander,Sam,Westerlands CCC,M,49:32
9,Battle,Hamish,Unattached,M,49:45
10,Gilmore,Andrew,Highland Hill Runners,M,49:57
11,Mcinally,Ralph,Strathearn Harriers,M,50:40
12,Turnbull,Jonathan,Strathearn Harriers,M40,53:27
13,Kirk,Lachlan,Stonehaven Running Club,M,54:02
14,Heger,Elena,Shettleston Harriers,F,55:07
15,Wiseman,Jack,Highland Hill Runners,M,55:07
16,Connaghan,John,Shettleston Harriers,M50,55:42
17,Freshwater,Craig,Deeside Runners,M40,55:53
18,Watters,Archie,Springburn Harriers,M20,56:08
19,Pender,Iain,Shettleston Harriers,M40,56:14
20,Dry,Dan,Shettleston Harriers,M,56:16
21,Gooch,Daniel,Deeside Runners,M50,56:17
22,Cruickshanks,Ross,Shettleston Harriers,M,56:47
23,Irvine,C-J,Deeside Runners,F,57:16
24,Whitlie,Stewart,Carnethy HRC,M60,57:40
25,Duncan,Eric,Highland Hill Runners,M50,57:42
26,Allsop,David,Kirkintilloch Olympians,M50,57:44
27,Crowe,Des,Penicuik Harriers,M60,57:55
28,Blaikie,Robert,Westerlands CCC,M,57:57
29,Downs,Ellen,Westerlands CCC,F,58:08
30,Hodgson,Sarah,Highland Hill Runners,F,58:57
31,Howorth,Charles,Stonehaven Running Club,M40,59:08
32,Wallis,Sally,Deeside Runners,F40,59:40
33,Anderson,Adam,Hartfell Hill Runners,M50,1:00:19
34,McInally,Hanna,Strathearn Harriers,F,1:00:36
35,Horne,Arran,Westerlands CCC,M,1:00:38
36,Watson,Ed,Westerlands CCC,M,1:00:37
37,Stevenson,George,Unattached,M,1:00:45
38,Wilson,Stewart,Highland Hill Runners,M50,1:00:48
39,Comber,Ayron,Deeside Runners,M50,1:00:54
40,Campbell,Iain,Cosmic Hillbashers,M,1:01:03
41,Sokolovskis,Jani,Unattached,M,1:01:07
42,Pringle,Alastair,Shettleston Harriers,M50,1:01:12
43,McDonald,Dennis,Cosmic Hillbashers,M60,1:01:17
44,Anderson,Ross,Westerlands CCC,M,1:01:28
45,Williams,Dominic,Dundee Road Runners,M,1:01:38
46,Donnelly,Colin,cambuslang harriers,M60,1:01:45
47,Smith,Alan,Deeside Runners,M60,1:02:09
48,Lorimer,Hayden,HBT,M50,1:02:13
49,Williamson,Jason,Cosmic Hillbashers,M50,1:02:58
50,Dickson,Stephen,Fife AC,M50,1:03:12
51,Kemp,Calum,Highland Hill Runners,M40,1:03:26
52,Smith,John,Lomond Hill Runners,M50,1:03:37
53,Provan,Stephanie,Deeside Runners,F40,1:03:40
54,Griffiths,Gemma,Shettleston Harriers,F,1:03:44
55,Sealy,Al,Deeside Runners,M60,1:03:47
56,McDonald,Fiona,Cosmic Hillbashers,F40,1:04:32
57,Mayers,James,Musselburgh and District Athletics Club,M60,1:04:45
58,Connolly,Nancy,Highland Hill Runners,F,1:04:53
59,Templeman,Simon,Ochil Hill Runners,M50,1:05:14
60,Williamson,Max,Westerlands CCC,M,1:05:33
61,Malcolmson,Craig,Hartfell Hill Runners,M60,1:06:00
62,Robertson,Sam,Gala Harriers,M20,1:06:11
63,Oldham,V?ronique,Cosmic hillbashers,F50,1:06:24
64,Little,Rachel,Deeside Runners,F40,1:06:26
65,Plummer,Kevin,Hartfell Hill Running,M60,1:06:32
66,Davis,Adrian,Lomond Hill Runners,M60,1:07:01
67,Crawford,Ross,Shettleston Harriers,M40,1:07:33
68,Lang,Patrick,Deeside Runners,M,1:07:40
69,Chambers,Andrew,Ochil Hill Runners,M40,1:08:30
70,Low,Matthew,Shettleston Harriers,M40,1:08:38
71,Macpherson,Rory,Cosmic Hillbashers,M40,1:09:30
72,Hope,Jamie,Unattached,M,1:11:02
73,Hughes,Dominic,Dundee Road Runners,M40,1:11:40
74,O'Neill,Owen,Westerlands CCC,M40,1:12:32
75,Laird,James,Highland Hill Runners,M50,1:13:17
76,Pryde,Gordon,Lomond Hill Runners,M60,1:13:42
77,Thompson,Fabienne,Lomond Hill Runners,F50,1:14:12
78,Dukes,Sean,Tri Team Wessex,M60,1:14:40
79,Dukes,Jim,Deeside Runners,M60,1:14:47
80,Ritchie,Hilary,Fife AC,F60,1:16:23
81,Larmour,Colin,Cosmic Hillbashers,M60,1:16:41
82,Heron,Ceana,Shettleston Harriers,F,1:16:57
83,Hamilton,Ian,Cosmic Hillbashers,M60,1:17:10
84,Brown,Donald,Lomond Hill Runners,M50,1:18:53
85,Whyte,Jo,Insch Trail Running Club,F50,1:23:21
86,Fitzpatrick,Pat,Ochil Hill Runners,M70,1:25:05
87,Currie,Jim,Cosmic Hillbashers,M60,1:27:58
88,Oliver,David,Deeside Runners,M60,1:28:27
89,Beveridge,Rebecca,Westerlands CCC,F,1:28:41
90,Ritchie,Charlie,Deeside Runners,M70,1:29:19
91,Gilligan,Amy,Dundee Road Runners,F,1:30:03
92,Khan,Mohammed,Dumfries Running Club,M40,1:31:15
93,Hamilton,Anita,Cosmic Hillbashers,F60,1:34:51
94,Oliver,Jane,Deeside Runners,F60,1:36:32
95,Lammers,Wiebke,Westerlands CCC,F40,1:39:01
96,Ferguson,Mark Robert Ian,Unattached,M,1:39:56
