RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Owens,Tom,Shettleston,M,02:07:52
2,Lennox,Jethro,Shettleston,M,02:09:26
3,Jebb,Rob,Bingley,M,02:10:18
4,Pearce,Graham,Pudsey & Bramley A.C,M,02:10:47
5,Bardsley,Ben,Borrowdale FR,M40,02:11:10
6,Hope,Rob,Pudsey & Bramley A.C,M35,02:11:39
7,Gray,Karl,Calder Valley Fell Runners,M40,02:12:06
8,Palmer,Mark,Mynydd Du,M45,02:12:22
9,Davies,Timothy,Mercia Fell Runners,M,02:12:53
10,Davies,Jim,Borrowdale FR,M40,02:13:01
11,Munsey,Ben,Calder Valley Fell Runners,M,02:13:40
12,Woods,Des,Murne Runners,M40,02:13:54
13,Richmond,Kenny,Bellahouston RR,M40,02:14:35
14,Roberts,Richard,Eryri Harriers,M,02:15:11
15,Mikkaelsen-Barrow,Michael,Borrowdale FR,M,02:15:30
16,Cale,Steve,Mercia Fell Runners,M,02:16:50
17,Findlay-Robinson,Rhys,Dark Peak Fell Runners,M,02:18:02
18,Addison,Tony,Helme Hill,M23,02:18:42
19,Fanning,Michael,Borrowdale FR,M40,02:19:26
20,Roberts,Mark,Borrowdale FR,M40,02:20:34
21,Birkinshaw,Steve,Borrowdale FR,M40,02:21:31
22,Pyke,Stephen,Stafford Moorland,M40,02:22:27
23,Steele,Chris,Borrowdale FR,M,02:22:47
24,Steede,Jonny,Ballymena Runners AC,M,02:22:55
25,Annett,Andrew,Murne Runners,MJ,02:23:57
26,Taylor,Dave,Dark Peak Fell Runners,M45,02:24:39
27,Bailey,Gary,Murne Runners,M,02:24:48
28,Scofield,Andrew,Borrowdale FR,M40,02:24:55
29,Ward,Alan,Dark Peak Fell Runners,M45,02:25:00
30,Robinson,Mike,Dark Peak Fell Runners,M40,02:25:27
31,Logue,James,Calder Valley Fell Runners,M40,02:26:56
32,Ridgway,Iain,Eryri Harriers,M,02:27:27
33,Kay,Darren,Pudsey & Bramley A.C,M40,02:28:00
34,Frtes,Matthew,Eryri Harriers,M,02:28:37
35,Stevens,Jason,Calder Valley Fell Runners,M40,02:28:59
36,Green,Michael,Horwich RMI,M45,02:29:05
37,Holroyd,Martin,Borrowdale FR,M40,02:29:24
38,Vale,Pete,Mercia Fell Runners,M35,02:29:43
39,Herron,Sam,Murne Runners,M,02:30:04
40,Sullivan,Matthew,Shettleston,M,02:30:41
41,Maddams,Pippa,u/a,F,02:31:20
42,Mathers,Dale,Newry City Runners AC,M45,02:32:59
43,Thorpe,Andy,Calder Valley Fell Runners,M40,02:35:00
44,Ashcroft,Neil,Ambleside AC,M40,02:35:01
45,Roberts,Matthew,Eryri Harriers,M,02:36:06
46,Hulley,Matthew,Dark Peak Fell Runners,M,02:36:17
47,Stenton,Mick,Dark Peak Fell Runners,M50,02:36:44
48,Gamble,Ed,Cheshire Hill racers,M45,02:36:57
49,Bailey,Clive,Murne Runners,M,02:38:03
50,Fines,Helen,Calder Valley Fell Runners,F35,02:38:11
51,Carty,Neil,North Belfast H,M40,02:38:56
52,Ward,Dave,Pennine Fell Runners,M,02:39:54
53,Werrett,Tim,Mercia Fell Runners,M35,02:40:18
54,Alexander,Mark,Ballymena Runners AC,M40,02:40:32
55,Ridgeway,Sarah,Eryri Harriers,F,02:40:37
56,Jenkinson,Paul,Eryri Harriers,M40,02:41:22
57,More,Jonathan,u/a,M40,02:41:23
58,Titmuss,James,Pudsey & Bramley A.C,M35,02:41:32
59,Jepson,Judith,Dark Peak Fell Runners,F40,02:41:43
60,O'Donnell,Rory,Eryri Harriers,M,02:41:54
61,Urwin,Corey,Larne AC,M40,02:41:59
62,Grant,Ben,Harrowgate,M60  ,02:42:12
63,Graham,Jonathan,Murne Runners,M23,02:43:40
64,Jones,Paul,Mercia Fell Runners,M40,02:46:32
65,Patterson,Jim,Newcastle & District AC,M60,02:47:22
66,Reeve,Simon,FERMO,M35,02:49:24
67,Pearce,Nick,Ilkley Harriers,M55,02:49:26
