RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Gilmore,Iain,Carnethy,M,00:05:12
2,Gilmore,Andrew,Carnethy,M,00:05:14
3,Fraser,Gary,Ochil Hill Runners,MV40,00:05:14
4,Elder,David,Lomond HR,MJ,00:05:28
5,Wiseman,Bob,Ochil Hill Runners,M,00:05:33
6,Harris,Tom,Unattached,MJ,00:05:35
7,Brodie,Stuart,Ochil Hill Runners,M,00:05:40
8,Fallon,Steven,Carnethy,MV50,00:05:43
9,Johnson,Mark,Carnethy,MV40,00:05:55
10,Reid,Don,Westerlands,MV50,00:06:18
11,Knox,Johnny,Anster Haddies,MV50,00:06:25
12,Mitchell,Neil,Fife AC,MV40,00:06:38
13,Davies,Duncan,Carnethy,MV40,00:06:38
14,Knox,Lizzie,Anster Haddies,F,00:06:39
15,Smith,Bruce,Carnethy,MV50,00:06:41
16,Bowden,James,HBT,M,00:06:45
17,Kelsall,Fiona,Ochil Hill Runners,FV40,00:06:51
18,Orr,Robin,Bellahouston Road Runners,MV50,00:06:52
19,Elder,Alan,Moorfoot,MV50,00:06:56
20,Weir,Jonathan,Unattached,M,00:07:00
21,Brown,Jamie,HBT,M,00:07:03
22,Anthony,Eilidh,HBT,F,00:07:15
23,Stephen,Jill,HBT,F,00:07:22
24,Sword,Lawrence,Unattached,MV40,00:07:31
25,Bowman,Angus,Lomond HR,MV50,00:07:38
26,Buchanan,Catriona,Ochil Hill Runners,F,00:07:40
27,Knox,Rosie,Anster Haddies,FJ,00:07:44
28,McDonald,Lettie,Ochil Hill Runners,F,00:07:53
29,Duncan,David,Ochil Hill Runners,MV60,00:07:59
30,Daly,Kevin,Carnegie,M,00:08:10
31,Blackley,Lisa,Unattached,F,00:08:18
32,McKechanie,Eilis,HBT,F,00:08:57
33,Conor,Julia,Unattached,FV40,00:09:16
34,O'Neil,Sarah,HBT,F,00:09:39
35,Bowman,Jean,Lomond HR,FV50,00:10:04
