RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Anthony,Alasdair,Ochil,MS,02:48:23
2,Richmond,Kenny,Bellahouston,MV,02:49:44
3,Owens,Thomas,Shettleston Harriers,MS,02:52:46
4,Symonds,Andrew,Carnegie,MS,02:52:48
5,Ascroft,Jon,Carnethy,MS,02:53:19
6,Keith,Alec,HBT,MV,02:55:38
7,Eiser,Dave,Ochil,MS,02:55:43
8,Fallas,Andrew,Carnethy,MS,02:55:58
9,Wiseman,Bob,Ochil,MS,03:01:33
10,Riach,David,Westies,MV,03:01:36
11,Whitlie,Stuart,Carnethy,MV,03:04:39
12,Johnston,Mark,Bellahouston,MS,03:04:43
13,Upson,Chris,Westies,MV,03:06:10
14,Robertson,Iona,Bellahouston,FS,03:06:51
15,Bradley,Scott,Carnegie,MV,03:10:58
16,Rogers,David,Westies,MV,03:18:20
17,Love,Craig,Dundee Hawkhill Harriers,MS,03:21:51
18,Rawlik,Konrad,Unattached,MS,03:22:22
19,Allan,Douglas,Ochil,MS,03:22:26
20,Nash,Graham,Unattached,MV,03:22:40
21,Roper,Mark,Giffnock North,MV,03:24:29
22,Kirby,Graham,Fife AC,MV,03:25:01
23,Walker,Ian,Helensburgh AAC,MS,03:27:02
24,Ritchie,Paul,Carnethy,MV,03:27:09
25,Johns,Andy,Kinross Road Runners,MS,03:27:22
26,Jack,Ewan,Ochil,MS,03:27:36
27,Darlow,Tim,Carnethy,MS,03:27:56
28,Murray,Alan,Ochil,MV,03:31:03
29,Threadgall,Kim,Edinburgh Athletics,FS,03:33:51
30,Dickson,David,Garscube Harriers,MSV,03:34:06
31,Gray,Andy,Ochil,MS,03:35:19
32,Pringle,Alastair,Unattached,MV,03:35:20
33,Parker,Gary,Calder Valley Fell Runners,MS,03:36:05
34,Larmour,Colin,Cosmic Hillbashers,MV,03:37:00
35,MacMillan,Susannah,Unattached,FV,03:37:48
36,Finlay,Alayne,Ochil,FS,03:38:05
37,Fagan,Rachel,Gala Harriers,FS,03:38:46
38,Coopland,Martin,Falkirk Bicycle Club,MV,03:39:03
39,Allison,Murray,Unattached,MV,03:39:43
40,Mitchell,Dave,Dundee Hawkhill Harriers,MV,03:40:02
41,O'Sullivan,Sean,Cosmic Hillbashers,MS,03:40:06
42,Fraser,Gary,Ochil,MS,03:40:12
43,Masson,Richard,Cosmic Hillbashers,MS,03:40:37
44,Bell,Stephen,Helensburgh AAC,MV,03:42:36
45,MacEwan,John,Ochil,MV,03:45:05
46,Brown,Craig,Ochil,MV,03:45:21
47,Higginbottom,Jacqui,Carnethy,FV,03:48:01
48,Robb,Stuart,Unattached,MV,03:50:00
49,Brydon,Derrick,Gala Harriers,MV,03:50:30
50,Craighead,Scott,Unattached,MS,03:50:38
51,McIntosh,Mairi,Ochil,FV,03:50:49
52,Begley,Tommy,Irvine AC,MS,03:50:54
53,Burt,Louise,Fife AC,FV,03:51:33
54,Finlay,Finlay,Unattached,MS,03:51:52
55,Turner,Judith,Carnegie,FS,03:52:57
56,Barrie,Stuart,HBT,MV,03:53:26
57,Mackie,Peter,Unattached,MS,03:56:32
58,Arthur,Graham,Ilkley Harriers,M60+,03:56:34
59,Heron,Gregor,Carnethy,MS,03:57:07
60,Templeman,Simon,Ochil,MS,03:57:55
61,Gutteridge,Gary,Cosmic Hillbashers,MSV,03:58:07
62,Scott,Cameron,Carnethy,MV,03:58:11
63,Painter,Andy,South Cheshire Harriers,MS,03:58:29
64,Hayden,Ian,Aurora Harriers,MS,03:59:09
