RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Whitlie,Stewart,Carnethy,M50,02:59:01
2,Bellamy,Gwyn,Westerlands CCC,M,03:01:07
3,Halsall,Steve,Westerlands CCC,M,03:06:21
4,Gilmore,Iain,Carnethy,M,03:07:22
5,Reid,Michael,Carnethy,M40,03:07:33
6,Mackie,Peter,Shettleston Harriers,M,03:08:28
7,Knox,Jonny,Anster Haddies,M50,03:18:52
8,Gilmore,Andrew,Carnethy,M,03:19:33
9,Walker,Iain,Westerlands CCC,M,03:20:30
10,Priestly,Andrea,Ochil,F40,03:21:28
11,Baxter,Grant,Ochil,M40,03:21:56
12,Gall,Finlay,VPHTHAC,M,03:21:59
13,Wallace,David,Ochil,M,03:24:07
14,Feltbower,Steve,Ochil,M,03:24:44
15,Braby,Liam,Carnethy,M,03:25:50
16,Connaghan,John,Shettleston Harriers,M40,03:27:19
17,Hensman,Will,Central A.C.,M,03:31:18
18,Cowie,Ross,Unattached,M,03:33:22
19,Simpson,Robert,Westerlands CCC,M,03:33:49
20,Ward,Dave,HBT,M,03:34:59
21,Davie,Kevin,Carnegie,M,03:35:16
22,Doig,Colin,HBT,M,03:37:07
23,Scott,David,Ochil,M50,03:38:13
24,Lines,Charles,Kilmarnock Harriers,M50,03:39:13
25,Knox,Cameron,Anster Haddies,M,03:40:01
26,Kirby,Graham,Fife AC,M40,03:41:09
27,Gilmore,Neil,Carnethy,M50,03:42:14
28,Johns,Andy,Kinross Road Runners,M40,03:43:19
29,Walsh,David,Dunoon Hill Runners,M40,03:48:23
30,Lund,Graham,Bowland Fell Runners,M,03:49:02
31,Brooks,Mike,Penicuik Harriers,M50,03:49:21
32,Urquhart,John,Spey Runners,M40,03:49:34
33,Henderson,Walter,Shettleston Harriers,M40,03:51:07
34,Oliphant,Drew,Aberystwyth AC,M,03:51:07
35,Anderson,Eck,Anster Haddies,M,03:51:44
36,Buchanan,Peter,Ochil,M50,03:51:49
37,Wilson,Rob,Penicuik Harriers,M,03:52:51
38,Fulton,David,HBT,M,03:53:46
39,Stockton,Mark,Cosmic Hillbashers,M,03:55:22
40,Prior-Palmer,George,Unattached,M,03:58:22
41,Thomas,Jamie,Dunbar,M,04:02:29
42,Allison,David,North York Moors AC,M40,04:02:40
43,Burt,Louise,Fife AC,F50,04:02:52
44,Hetherington,Michelle,Helensburgh AAC,F50,04:04:08
45,Marshall,Ian,Dunoon Hill Runners,M40,04:04:30
46,Cole,Catherine,Unattached,F,04:07:23
47,Leith,Clifford,Metro Aberdeen Running Club,M40,04:08:13
48,Gorgas,Steffen,Westerlands CCC,M40,04:11:07
49,Walkinshaw,Alick,Tinto Hill Runners,M50,04:11:24
50,Connor,Julia,Unattached,F40,04:12:53
51,Tuck,Ian,Unattached,M,04:12:57
52,Frydrych,Tomas,Unattached,M40,04:15:22
53,Dunn,Sandy,Wee County Harriers,M50,04:15:32
54,Millar,Jonathan,Carnegie,M,04:16:17
55,Rogers,David,Westerlands CCC,M50,04:21:29
56,Gall,Allan,Central A.C.,M50,04:21:52
57,Ingram,Richard,Cosmic Hillbashers,M40,04:22:20
58,Byrne,John,Unattached,M50,04:23:01
59,Baxter,Katy,Ochil,F40,04:27:31
60,Cox,Jonathan,Unattached,M,04:29:35
61,Jones,Matthew,Carnethy,M,04:32:37
62,Billy,Turnbull,Wee County Harriers,M50,04:33:31
63,Toller,Richard,Dundee Road Runners,M60,04:39:32
64,Fish,Derek,Wee County Harriers,M,04:40:15
65,Dennis,Mark,Unattached,M,04:41:00
66,Sword,Lawrence,Unattached,M40,04:46:45
67,Galloway,Trevor,Unattached,M40,04:50:28
68,Thomson,Iain,Carnegie,M60,04:50:46
69,Roberts,Nigel,Stirling Triathlon,M50,04:55:11
70,Lamont,Colin,Strathearn Harriers,M50,05:14:22
71,Reid,Graeme,Wee County Harriers,M40,05:14:23
72,McPherson,Hugh,Tinto Hill Runners,M60,05:25:48
73,Hunter,Ewan,Unattached,M50,05:32:51
74,Leask,Duncan,Stirling Triathlon,M40,05:33:05
75,Howie,Brian,Carnethy,M60,05:33:44
