RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Chepelin,Oleg,Dunbar Running Club,MS,00:27:31
2,Strang,Adam,Musselburgh and District Athletics Club,MS,00:28:09
3,Valters,Declan,Carnethy Hill Running Club,MS,00:28:16
4,Pietrzak,Slavomir,Portobello R,M40,00:28:44
5,Atkinson,Emily,Haddington Running Club,FJ,00:28:47
6,Risk,Alan,Portobello Running Club,MS,00:28:51
7,Finlay,Paul,Carnethy Hill Racing Club,M40,00:29:12
8,Thomas,Jamie,Dunbar Running Club,M40,00:29:33
9,Girdham,Oliver,Portobello Running Club,MS,00:30:14
10,Barlow,Christian,Portobello Running Club,M40,00:30:35
11,Mcmullan,George DoD,Haddington Running Club,M50,00:30:38
12,Tomlinson,Andrew,,MS,00:31:11
13,Slifer,Paul,Musselburgh & District AC,M50,00:31:27
14,Docherty,Paddy,Dunbar Running Club,M40,00:31:44
15,Polgreen,Elizabeth,Portobello Running Club,FS,00:31:59
16,Wariver,Debs,Portobello R,F50,00:32:10
17,Scott,Andy,Musselburgh,M40,00:32:39
18,Keast,Mark,Musselburgh and District Athletics Club,M50,00:32:55
19,Oswald,Julie,Musselburgh and District Athletics Club,F50,00:33:03
20,Wanless,Matthew,Dunbar Running Club,M40,00:33:14
21,Drysdale,Sean,Portobello Running Club,MS,00:33:21
22,Stewardson,Robert,Portobello Running Club,MS,00:33:25
23,Connolly-Gordon,Sarah,Portobello RC,FS,00:33:30
24,Renville,Alan,CHRC,M50,00:33:47
25,Rowland,Ian,Dunbar Running Club,M60,00:34:11
26,Anderson,Mike,CHRC,M60,00:34:12
27,Gray,David,Sports + Fitness HUB,M40,00:34:14
28,Stable,Charles,Musselburgh and District Athletics Club,M50,00:34:49
29,Mudarra,Miguel,Edinburgh Running Network,MS,00:34:49
30,Hand,Callum,,MS,00:35:05
31,Kyle-Playford,Sarah,Portobello R,F40,00:35:30
32,Henly,Kathy,Portobello R,F50,00:35:37
33,Sands,Stewart,Portobello Running Club,MS,00:36:07
34,Giamblanco,Marc,Portobello Running Club,M40,00:36:26
35,Peebles,Murray,Dunbar Running Club,M40,00:36:45
36,Paul,Eilidh,Portobello Running Club,FS,00:36:54
37,Beattie,Suzanne,Musselburgh and District Athletics Club,F50,00:36:56
38,MacDonald,Shona,Portobello Running Club,F40,00:36:59
39,Duncan,Andrew,Musselburgh and District Athletics Club,M50,00:37:21
40,Murphy,Gordon,,M60,00:37:45
41,Scott,Rosie,,FS,00:37:50
42,Carr,Hannah,,FS,00:39:11
43,Buxton,Helen,Portobello Running Club,F50,00:39:16
44,Atkinson,Jennifer,,F40,00:39:20
45,Malcolm-Smith,Mike,Musselburgh and District Athletics Club,M50,00:39:31
46,Henderson,Liz,,F40,00:39:40
47,Paul,Alastair,Portobello Running Club,M70,00:39:44
48,Godfrey,Kevin,Lothian Running Club,M50,00:39:56
49,Caldwell,Alison,Portobello Running Club,FS,00:40:11
50,Scott,Hannah,Musselburgh,FJ,00:40:38
51,Nelis,Patrick,Portobello Running Club,M60,00:40:53
52,Cowden,Lynne,Edinburgh Running Network,F40,00:41:15
53,Crichton,Vicky,Edinburgh Running Network,F40,00:41:17
54,Hood,Katie,,FS,00:41:23
55,Paldmino,Lindsay,,F50,00:42:43
56,,G.I.Jo,Musselburgh and District Athletics Club,FS,00:43:38
57,Brack,Kat,Musselburgh and District Athletics Club,F40,00:43:43
58,Keast,Karen,Portobello Running Club,F40,00:43:50
59,Warner,Tim,Moorfoot Runners,M70,00:44:17
60,Elias,Jo,,F40,00:44:28
61,Collins,Trevor,Carnethy HRC,M70,00:44:31
62,Kinlock,Shelley,,F40,00:44:57
63,Osborne,Catriona,,FS,00:44:57
64,Fish,Andrew,Moorfoot Runners,M60,00:45:09
65,Bartlett,Amy,Moorfoot Runners,F40,00:45:16
66,Green,Felicity,,F40,00:45:49
67,Mackenzie,Eleanor,Edinburgh Running Network,F50,00:46:33
68,Gorrie,Matthew,Edinburgh Running Network,M40,00:48:26
69,Mollinson,Nan,,F60,00:49:23
70,Dillon,Jessica,,FS,00:49:37
71,Gorrie,Siobhan,Edinburgh Running Network,F40,00:50:18
72,Riel,Camille,,MS,00:52:08
73,Talbot,Marie-Lyne,,F40,00:52:08
74,Dunn,Rown,,M40,00:52:15
