RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Welsh,Ali,Bowland Fellrunners,M50,00:39:22
2,Morgan,Charlotte,Carnethy,F,00:39:28
3,Murphy,Chrys,Wooler,M60,00:39:45
4,Short,Kenny,Teri Trailblaizers,M40,00:41:17
5,Watson,Mark,Unattached,M,00:42:07
6,Connor,Julia,Moorfoot,F,00:42:53
7,Henry,Graham,Portobello,M40,00:43:30
8,Spence,Barry,Teviotdale Harriers,M60,00:45:18
9,Cranston,Robert,Teviotdale Harriers,M40,00:46:54
10,Tough,Colin,Lauderdale,M40,00:48:41
11,Knox,Bill,Teviotdale Harriers,M60,00:50:50
12,Coltman,Alan,Teviotdale Harriers,M40,00:51:00
13,Purves,James,Gala Harriers,M50,00:51:06
14,Stapley,Tony,Portobello Running Club,M60,00:56:56
15,Lockie,Paul,Teviotdale Harriers,M40,00:59:33
