RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Battle,Hamish,Deeside Runners,M,00:29:20
2,Thom,Caiden,Metro Aberdeen,M,00:31:35
3,Russell,Ian,Unattached,M,00:31:54
4,King,Andy,Deeside Runners,M,00:32:11
5,Kirk,Lachlan,Stonehaven RC,M,00:32:24
6,Freshwater,Craig,Deeside Runners,M40,00:33:08
7,Henry,Peter,Deeside Runners,M40,00:34:10
8,Mark,Niall,Cairn CC,M,00:34:15
9,Bloomfield,Harry,Deeside Runners,M,00:34:44
10,Rowley,Jason,Unattached,M50,00:35:05
11,Toone,Nick,Unattached,M60,00:37:06
12,Harper,Kevin,Unattached,M40,00:37:09
13,Adamson,James,Unattached,M,00:37:19
14,Irvine,CJ,Unattached,F,00:37:38
15,Taylor,Lucy,Unattached,F,00:37:39
16,Pritchett,Martin,Deeside Runners,M50,00:37:46
17,Barron,Liam,Insch Trail Runners,M,00:38:45
18,Sealy,Al,Deeside Runners,M60,00:39:10
19,Ross,Jordan,Deeside Runners,M,00:39:43
20,Smith,Alan,Deeside Runners,M60,00:39:45
21,Samphier,Pippa,Cosmics,F,00:39:46
22,Anderson,Callum,Unattached,M40,00:40:06
23,Stewart,Keith,Insch Trail Runners,M40,00:42:19
24,Wilson,Ian,Deeside Runners,M50,00:42:38
25,Sheridan,Bob,Unattached,M50,00:42:40
26,Johnston,Jamie,Deeside Runners,M,00:43:43
27,Allan-Cook,Malcolm,Insch Trail Runners,M50,00:44:06
28,Lilith-Moon,Shayne,Cosmics,F50,00:44:08
29,Kirk,David,Unattached,M50,00:44:23
30,Heath,Kevin,Cosmics,M60,00:44:48
31,Whitelaw,Jason,Unattached,M,00:45:09
32,Payne,Lina,Deeside Runners,F50,00:45:12
33,Hirst,David,Deeside Runners,M60,00:46:28
34,McLeod,Roddy,Metro Aberdeen,M50,00:46:41
35,Budgell,Kieran,Cosmics,M,00:47:16
36,Hamilton,Ian,Cosmics,M60,00:49:04
37,Lornie,Graeme,Cosmics,M50,00:50:32
38,Marin Bustillo,Alfredo,Unattached,M40,00:53:37
39,Wallace,Sarah,Deeside Runners,F40,00:55:32
40,Savege,Sue,Unattached,F60,00:56:42
41,McKnight,Robert,Unattached,M40,00:56:42
42,Adams,Lewis,Insch Trail Runners,M40,00:58:02
