RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Brown,Ewan,Corstorphine AAC,M,00:40:46
2,Crickmore,Jonathan,HBT,M,00:41:08
3,Fraser,Scott,HBT,M,00:41:48
4,Gristwood,Graham,Ochils,M,00:42:13
5,Martyn,Tom,HBT,M,00:42:48
6,Braby,Liam,Carnethy,M,00:43:18
7,Waldie,James,HBT,M,00:44:11
8,Park,Luke,HBT,M,00:45:18
9,Carter,Justin,Cambuslang Harriers,M45,00:45:41
10,Gardner,Peter,HBT,M,00:46:19
11,Elder,David,Lomonds,M23,00:47:39
12,Stubbs,Harrison,Westerlands CCC,M,00:47:40
13,Gray,Adam,Penicuik Harriers,M,00:48:02
14,Smith,Gavin,HBT,M35,00:48:34
15,Marks,Jonathon,Carnethy,M,00:48:40
16,Tresidder,Es,Lochaber,M35,00:48:43
17,Warman,Julian,HBT,M50,00:49:13
18,Elliotte,Tom,Westerlands CCC,M,00:49:18
19,Busby,Christopher,Carnethy,M,00:49:27
20,Callender,James,Westerlands CCC,M,00:49:27
21,Walsh,Chris,Unattached,M35,00:49:31
22,Sims,Andy,HBT,M40,00:49:48
23,Hayward,Adam,Moorfoot,M,00:50:02
24,Riggans,Liam,Carnethy,M,00:50:52
25,Ashworth,James,Ochils,M45,00:51:00
26,Williams-Duncan,Samuel,Dark Peak,M,00:51:12
27,Morrison,Sandy,Carnethy,M,00:51:31
28,Scott,Vivian,Unattached,M,00:51:39
29,Lawson,David,Unattached,M40,00:51:42
30,Taylor,Lewis,Ochils,M,00:52:04
31,Greenald,David,HBT,M,00:52:17
32,Hooper,Mark,Carnethy,M,00:52:34
33,Elder,Callum,Perth Road Runners,M,00:53:11
34,Jones,Huw,HBT,M35,00:53:19
35,Thomson,Iain,Lomond Hill Runners,M,00:53:29
36,Dudchenko,Paul,Linlithgow AC,M50,00:53:59
37,Smith,Bruce,Carnethy,M50,00:54:08
38,Williams,Paul,Westerlands CCC,M,00:54:13
39,Scott,Finian,Unattached,M,00:54:26
40,Nicoll,Andy,Unattached,M,00:54:48
41,Weir,Jonathan,Unattached,M40,00:54:50
42,McCaffrey,Gordon,Westerlands CCC,M60,00:54:52
43,Thurlbeck,Ian,Westerlands CCC,M50,00:54:55
44,Kennedy,Brian,Carnethy,M40,00:55:13
45,Heron,Kyle,Stag Orienteers,M,00:55:28
46,Normand,Ivor,HBT,M50,00:55:31
47,Rushton,Ben,Carnethy,M,00:55:34
48,McKiddie,Christopher,Westerlands CCC,M35,00:55:37
49,Wright,Martyn,Unattached,M,00:56:25
50,Anderson,Ross,Westerlands CCC,M,00:56:38
51,Forgie,Ryan,Carnethy,M,00:56:42
52,Cooper,Sinclair,Unattached,M,00:56:47
53,Furse,Chris,Westerlands CCC,M50,00:56:50
54,Gillies,Sam,Unattached,M,00:57:03
55,Wardner,Matthew,Carnethy,M50,00:57:27
56,Thompson,James,Shettleston Harriers,M,00:57:43
57,Beard,Romy,Bellahouston Road Runners,F35,00:57:59
58,Brodie,Stuart,Ochils,M,00:58:10
59,Mason,David,Linlithgow AC,M50,00:58:13
60,Walling,Chris,Unattached,M,00:58:19
61,Moss,William,HBT,M,00:58:23
62,Mitchell,Rory,Harmeny AC,M40,00:58:56
63,Crawford,Ross,Unattached,M40,00:59:06
64,Galloway,Trevor,Linlithgow AC,M50,00:59:17
65,Codera Campos,Marc,Unattached,M,00:59:24
66,Cotter,Rickie,Unattached,F,00:59:48
67,Sword,Lawrence,Unattached,M50,01:00:07
68,Pound,Oliver,Portobello Running Club,M,01:00:41
69,Pugh,Roderick,Kilmarnock Harriers,M60,01:01:12
70,Mollard,Pascaline,Ferranti AAC,F,01:01:20
71,Simpson,Iain,Falkland Trail Runners,M45,01:01:49
72,Rodney,Laurence,Unattached,M35,01:02:15
73,Eadsforth,Holly,Westerlands CCC,F,01:02:23
74,Conolly,Richard,Carnethy,M45,01:02:43
75,Burberry,Erica,HELP,F,01:02:52
76,Smith,Nick,Unattached,M45,01:02:54
77,Mcpartland,Frank,HELP,M60,01:03:08
78,Hill,Christopher,British Military Fitness,M50,01:03:19
79,Edwards,Colin,Ochils,M45,01:03:37
80,Husbands,Jess,HBT,F,01:03:57
81,Purves,James,Gala Harriers,M60,01:03:59
82,Duncan,David,Ochils,M60,01:04:09
83,Coyle,Shaun,Westerlands CCC,M55,01:04:47
84,Doig,Lindsay,Carnethy,F,01:04:51
85,Simister,Rebecca,Unattached,F,01:05:01
86,Sutton-Hibbert,Jeremy,Unattached,M45,01:05:10
87,Bleakley,Raphael,Unattached,M,01:05:21
88,Fullwood,Andrew,Westerlands CCC,M50,01:05:59
89,McMillan,Stuart,Carnethy,M40,01:06:25
90,Heron,Rosalind,Stag Orienteers,F,01:07:39
91,Kemp,Sadie,Penicuik Harriers,F40,01:08:04
92,Taylor,Gordie,Highland Hill Runners,M50,01:08:32
93,Downie,Christopher,Penicuik Harriers,M55,01:08:58
94,May,Timothy,ESOC,M55,01:09:34
95,Bleakley,Elspeth,HBT,F,01:09:40
96,Cessford,Lee,Falkland Trail Runners,M40,01:10:22
97,Eadie,Gordon,Carnethy,M60,01:10:31
98,Park,Archibald,Hartfell HRC,M60,01:11:32
99,Oliver,David,Deeside Runners,M60,01:12:49
100,McPherson,Hugh,Tinto Hill Runners,M70,01:14:27
101,Heron,Ceana,Stag Orienteers,F,01:16:12
