RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Campbell,Graeme,Inverness Harriers,M V40,00:21:51
2,Crowe,Des,Shettleston,M V40,00:22:00
3,Muir,Neil,Perth Road Runners,M V40,00:23:03
4,Larmour,Colin,Cosmic,M V40,00:23:47
5,Higginbottom,Jaqui,Carnethy,F V40,00:24:00
6,Duncan,David,Ochill Hll Runners,M V50,00:24:20
7,O'Shea,Emma,Deeside Runners,F S,00:24:32
8,Thompson,Fabienne,Carnegie Harriers,F V40,00:24:56
9,Halley,Derek,Perth Tri Club,M V40,00:25:03
10,Valentine,Jim,Unattached,M V50,00:25:07
11,Duigan,Wendy,Strathearn Harriers,F S,00:25:21
12,Mill,John,Dundee Road Runners,M40,00:25:39
13,Campbell,Doreen,Inverness Harriers,F V40,00:26:02
14,Weir,Jonathon,Unattached,M S,00:26:06
15,Jelly,Ewan,Unattached,MS,00:27:07
16,Larmour,Pauline,Cosmic,F V40,00:27:26
17,Fisken,Bill,Unattached,M V50,00:27:40
18,McCubbin,Ian,Lomond Hill Runners,M V50,00:28:02
19,Davidson,Stewart,Fife AC,M V40,00:28:33
20,Thornton,Robert,Perth Road Runners,M V50,00:28:26
21,Laurie,Jennifer,Portobello RC,F S,00:30:41
22,Laurie,Gordon,Unattached,M S,00:30:42
23,Drummond,Jim,Central AC,M V50,00:31:46
24,Gall,Allan,Central AC,M50,00:31:46
25,Bennison,Graham,Fife AC,M V50,00:32:30
26,Sloan,Liz,Unattached,F S,00:35:27
27,Lister,Ann,Unattached,F V60,00:35:29
