RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Fraser,S,Lasswade Athletic Club,M,0:22:39
2,Bee,Graeme,Fife AC,M,0:22:52
3,Goldsworthy,R,Galloway Harriers,M,0:23:32
4,Wallace,Kevin,Fife AC,M,0:24:36
5,Donnan,Ian,Livingston,M,0:24:59
6,Goldsworthy,Silas,Galloway Harriers,M,0:25:08
7,Pryde,Scott,Fife AC,M,0:26:05
8,Hunter,A,U/A,M,0:26:56
9,Taylor,Michael,Fife AC,M,0:27:03
10,McIntosh,John,Fife AC,M,0:27:14
11,McLachlan,Angus,Fife AC,M,0:28:20
12,Elliot,Paul,Lasswade Athletic Club,M,0:28:28
13,Rodmell,Kelly,Tynedale Harriers,F,0:29:41
14,Nimmo,Camus,Carnethy Hill Running Club,M,0:31:23
15,Muir,Fiona,Fife AC,F,0:31:51
16,Miller,Joanne,Tynedale Harriers,F,0:32:37
17,Frame,Angela,Fife AC,F,0:35:43
18,Inglis,Joanne,Carnethy Hill Running Club,F,0:45:15
