RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Jardine,Euan,Gala Harriers,S,00:32:11
2,Phee,David,Giffnock North,S,00:33:42
3,Stevenson,John,Ochil Hill Runners,V40,00:33:45
4,Whitelaw,Mark,Annan & District AC,S,00:33:46
5,Robertson,Brian,Arran Runners,V40,00:34:11
6,Galbraith,Norman,Giffnock North,S,00:34:51
7,Smith,Bruce,Standard Life,V40,00:35:15
8,Sturgeon,Colin,Girvan AAC,Jun,00:35:29
9,Irving,Roger,Annan & District AC,V40,00:35:51
10,Allsop,Gordon,Arran Runners,S,00:37:02
11,Anderson,Adam,Carnethy,S,00:37:09
12,Fairgrieve,Andy,Annan & District AC,S,00:37:44
13,Murgatroyd,Ian,Solway,V40,00:38:40
14,Gilmour,Colin,Rossindale,V40,00:38:52
15,Holt,Luke,Unattached,S,00:38:57
16,Emsley,Nicky,Arran Runners,Jun,00:39:00
17,Taylor,Nat,Girvan AAC,V50,00:39:07
18,Green,Bob,Solway,V50,00:39:56
19,Robson,John,Annan & District AC,V50,00:40:15
20,McCulloch,Tom,Ayr Seaforth,V50,00:40:27
21,Stevenson,Jamie,Ochil Hill Runners,Jun,00:40:35
22,Watson,Dan,Annan & District AC,S,00:40:47
23,Begley,Tommy,Irvine AC,S,00:40:48
24,Goldsworthy,John,Galloway Harriers,V50,00:40:49
25,Webster,Phobe,Dumfries RC,F,00:41:00
26,Patterson,Ian,Whisky Chasers,S,00:41:20
27,Millen,Blair,Westerlands,S,00:41:42
28,Robinson,Michael,Unattached,S,00:44:36
29,Emsley,Paul,Arran Runners,V40,00:44:42
30,Priestly,Nigel,Annan & District AC,V40,00:45:02
31,Gordon,Nick,Unattached,V40,00:45:16
32,Singh,Shirley,Unattached,FV40,00:47:37
33,Dowell,Finley,Irvine AC,V40,00:48:16
34,Padden,Dennis,Arran Runners,V50,00:48:32
35,Miller,Catrina,Westerlands,F,00:49:03
36,Anderson,Adam,Dumfries RC,V60,00:50:15
37,Mcmanus,Ian,Irvine AC,V60,00:50:28
38,Murphy,Andrew,Girvan AAC,Jun,00:51:45
39,Turnbull,Drew,Westerlands,V60,00:52:14
40,Macdonald,Rory,HBT,V50,00:57:44
41,Macdonald,Deborah,HBT,FV40,00:57:44
