RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Parrish,David,Dumfries RC,M,00:28:45
2,smith,Alan,Deeside,M60,00:29:41
3,Haworth,James,Galloway Harriers,M,00:30:08
4,Sedman,Eliot,Hardrock CC,M,00:31:51
5,McCluskey,Terry,Dumfries RC,M,00:32:25
6,Mardal,Nick,Deeside,M,00:32:55
7,Anderson,Adam,Carnethy,M,00:33:24
8,Armstrong,David,Northumberland FR,M50,00:33:40
9,Bass,Owen,Deeside,M,00:33:56
10,Malcolmson,Craig,Dumfries RC,M,00:33:59
11,Feltbower,Steve,Forth Valley O,M,00:34:15
12,Neilson,Norman,Dumfries RC,M,00:34:19
13,Luke,Ian,U/A,M,00:34:22
14,Sills,Ian,Dunbar RC,M40,00:34:47
15,Wight,Ally,Hardrock Hoodlums,M,00:34:55
16,Webster,Andy,Solway,M,00:35:00
17,McRobert,John,Hardrock Hoodlums,M,00:35:27
18,Pflanz,Seb,Dumfries RC,M,00:35:44
19,Riddle,Duncan,Westerlands,M,00:36:00
20,Goldsworthy,John,Hardrock Hoodlums,M50,00:36:07
21,Mortlock,Simon,Dumfries RC,M40,00:36:24
22,Burns,Gary,Hardrock Hoodlums,M,00:36:38
23,Irvine,Roger,Roger Irvine,M,00:36:44
24,Sleggs,Paul,CAAC,M,00:36:55
25,Milligan,Dougie,Solway,M,00:37:14
26,McLauchlan,Richard,Hardrock Hoodlums,M,00:37:16
27,Robson,John,ADAC,M,00:37:21
28,Longmore,Rory,ADAC,M,00:37:29
29,Wilson,Oliver,ADAC,M,00:37:36
30,Singh,Shirley,Hardrock Hoodlums,F40,00:38:17
31,Apps,Kate,CFR,F,00:38:40
32,Brown,Jamie,HBT,M,00:38:44
33,Stitt,John,Hardrock Hoodlums,M40,00:39:05
34,Ayre,Kevin,South Shields H,M,00:39:10
35,Kellock,James,ADAC,M,00:39:17
36,Taylor,David,U/A,M,00:39:36
37,Thomas,Ranjit,ADAC,M,00:39:36
38,Mortlock,Jonathan,Solway O,M,00:39:56
39,McDougall,Colin,Tinto,M,00:40:05
40,Martin,Kim,U/A,F,00:40:36
41,Connor,Julia,Tinto,F,00:40:44
42,Priest,Steven,U/A,M,00:40:50
43,Duncan,David,Ochil,M,00:41:25
44,Johnston,Stephen,Milburn Harriers,M50,00:41:26
45,Mullen,Daryl,FRA,M40,00:41:30
46,Haworth,Finn,Galloway Harriers,M16,00:41:47
47,Gordon,Nick,Solway,M40,00:42:21
48,Horsell,Peter,Galloway Harriers,M60,00:42:30
49,Daniel,Simon,Up&Running Bristol,M,00:43:09
50,Vincent,Chrissie,Galloway Harriers,F40,00:46:09
51,Khan,Mohammed,Cosmics,M,00:46:54
52,McDougall,Ken,Tinto HR,M,00:47:21
53,Jeffrey,Sue,Dumfries RC,F,00:48:22
54,Taylor,Kim,Stocksfield Striders,F50,00:48:56
55,Patterson,Kenny,U/A,M,00:49:24
56,Bass,Ursulla,Deeside,M,00:49:26
57,Leach,Ruth,Galloway Harriers,F50,00:51:08
58,Beattie,Emer,Galloway Harriers,F40,00:52:23
59,robson,Jean,ADAC,F,00:56:21
60,Drysdale,Cameron,U/A,M,01:01:15
61,Cartner,Douglas,U/A,M,01:01:18
