RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Taylor,Ken,Unattached,M,02:15:10
2,Summers,Robert,Jog Scotland,M,02:15:35
3,Nash,Graham,Unattached,M,02:15:45
4,Fraser,Nicol,Edin. Tri.,M,02:19:35
5,Henderson,Robert,Portobello,M40,02:26:21
6,Macfarlane,John,Fife AC,V,02:26:45
7,McDougall,Ian,Unattached,M,02:27:41
8,Armitage,Seth,Unattached,M40,02:27:59
9,Knipe,Graham,Edin. Tri.,M,02:30:50
10,Blake,Jonny,Portobello,M,02:30:54
11,Munro,Nigel,Edin. Tri.,M,02:31:10
12,Bush,Richard,Unattached,M,02:31:14
13,Nyunt,Eugene,Unattached,M,02:31:17
14,Hartree,Mark,Unattached,M,02:31:25
15,Campbell,John,Unattached,V,02:31:41
16,Murray,Bob,Edinburgh Road Club,V,02:32:09
17,Dougall,Helen,Unattached,FV,02:32:43
18,McCall,Grant,Unattached,M,02:33:36
19,Moss,Bharliya,Sri Chinmoy,F,02:33:57
20,Ballantyne,Quentin,Unattached,M40,02:34:08
21,McAdam,Colin,Unattached,M40,02:34:53
22,Kelly,Helen,Unattached,F,02:36:55
23,MacRitchie,Neil,Unattached,M40,02:37:01
24,Pringle,John,Portobello,V,02:37:08
25,Montgomery,Ruaraidh,Unattached,M,02:37:43
26,Morrison,Kevin,Unattached,M,02:37:47
27,Hacking,Belinda,Unattached,F,02:37:57
28,Dawson,Greig,Unattached,M,02:38:08
29,Fuller,Rob,Unattached,M,02:38:13
30,Wilson,Graham,Unattached,M40,02:38:16
31,Campbell,Paul,Unattached,M40,02:38:20
32,Rowlson,Michael,Unattached,M,02:38:24
33,Andrews,Trevor,Wee County H,V,02:38:28
34,Armitage,Alistair,ESOC,V,02:39:51
35,Macfarlane,Brian,Unattached,M,02:39:57
36,McCulloch,Keith,Unattached,M40,02:40:57
37,Young,Douglas,Portobello,V,02:41:22
38,Blake,Julian,Unattached,M,02:41:55
39,Jackson,Ian,Carnethy HR,V,02:42:08
40,MacFarlane,Stuart,Unattached,M40,02:44:16
41,Okely,Martyn,Jog Scotland,SV,02:46:36
42,Rutherford,Kevin,Unattached,M40,02:47:16
43,Donaldson,Kevin,Unattached,M,02:47:19
44,Bomphray,Sandi,Portobello,FV,02:47:52
45,Tracey,Kath,Unattached,F,02:48:02
46,Salmond,Derek,Inverleith (Hockey),M,02:48:27
47,Wattles,Jeremy,Unattached,M,02:48:59
48,Mackenzie,Adam,Inverleith (Hockey),M,02:49:15
49,Brown,Jamie,Unattached,M,02:50:03
50,MacKenzie,Gordon,Portobello,V,02:50:12
51,Stewart,Neil,Unattached,M,02:51:05
52,Cox,Byron,H.B.T.,M,02:51:41
53,Castle,Andy,Unattached,M,02:52:44
54,Miller,Jason,Unattached,M,02:52:48
55,Graham,Malcolm,Lothian and Borders Police,M,02:53:13
56,Curran,Bryce,Unattached,M,02:53:35
57,Ellis,Arthur,Unattached,V,02:54:26
58,Moffat,Rob,Unattached,M,02:54:32
59,Leslie,Graham,Unattached,V,02:54:45
60,Hill,Ian,Beacon Runners,M40,02:54:49
61,Edwards,Paul,Portobello,M,02:55:10
62,Wilson,Nick,Unattached,M,02:55:14
63,Swan,Andrew,Unattached,M,02:55:21
64,Hollis,James,Unattached,M,02:55:24
65,Browne,Mike,Penicuik,SV,02:55:58
66,Hamilton,Scott,Unattached,M,02:56:44
67,Swinton,Graham,Unattached,M,02:56:47
68,Doyle,Chris,Harmeny,F,02:57:17
69,Langford,Paul,Aegon RC,M,02:58:08
70,Fulton,Amie,Unattached,F,02:58:31
71,Wilson,Alastair,Unattached,M,02:58:33
72,Hussell,Christina,Portobello,FV,02:58:43
73,Kittel,Werner,Portobello,V,02:58:46
74,Kingsley,Paul,Unattached,M,02:59:07
75,Mark,Robert,Unattached,V,03:03:04
76,Vives,Joaquim,Unattached,M,03:03:28
77,Kunath,Tilo,Unattached,M,03:03:30
78,Kaji,Keisuke,Unattached,M,03:03:33
79,Caira,David,Unattached,M40,03:03:35
80,Taylor,Jamie,Carnethy HR,V,03:05:19
81,Kane,Joanna,Sri Chinmoy,FV,03:07:15
82,Mayfield,Fiona,Portobello,F,03:09:14
83,Hendry,Lisa,Unattached,F,03:09:19
84,Thomson,Pamela,Unattached,F,03:09:59
85,Low,Sandy,Corstorphine,M,03:10:49
86,Munro,Karen,Portobello,F,03:14:17
87,Palfrey,Jo,Unattached,F,03:15:47
88,Scheuermann,Margaret,Unattached,F,03:17:43
89,Donald,Lindsay,Carnethy HR,FV,03:17:46
90,Appleton,Tim,Unattached,M40,03:19:40
91,Stirton,Janis,Portobello,FSV,03:20:40
92,Forker,John,Portobello,V,03:20:44
93,Ballantyne-Smith,Gillian,Unattached,FV,03:21:23
94,Gordon,Linda,Unattached,F,03:21:55
95,Wood,Iain,Unattached,M50,03:22:09
96,Webster,Cath,Portobello,FV,03:33:41
97,Kay,Louise,Portobello,F,03:33:45
98,Park,Andrew,Unattached,M,03:41:08
99,Passmore,Eleanor,Unattached,F,03:41:10
100,Twentyman,Hilma,Unattached,F,03:56:16
