RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Flynn,Martin,Carnethy Hill Running Club,,1:41:52
2,Whitlie,Stewart,Carnethy Hill Running Club,,1:42:44
3,Davidson,Robert,U/A,,1:44:54
4,Jarvis,James,Hunters Bog Trotters,,1:52:22
5,Skilling,James,Portobello Athletic Club,,1:52:38
6,Durn,Chris,Standard Life Athletic Club,,1:53:36
7,Cunningham,Malcolm,Edinburgh AC,,1:56:29
8,Mykura,William,Carnethy Hill Running Club,,1:56:32
9,Balfour,Scott,Carnethy Hill Running Club,,1:56:54
10,Agnew,John,City Of Edinburgh,,1:56:58
11,Law,David,Kwik-fit Corstorphine Athletic Club,,1:59:09
12,Jeffrey,M,U/A,,1:59:27
13,Warren,Rupert,Carnethy Hill Running Club,,1:59:33
14,Ackland,Graeme,Livingston,,2:00:49
15,Ewing,Jack,Standard Life Athletic Club,,2:01:06
16,Hulme,Martin,Kwik-fit Corstorphine Athletic Club,,2:01:18
17,Logan,Stuart,Livingston,,2:01:30
18,Smith,Bruce,Standard Life Athletic Club,,2:02:41
19,Jarvie,W,Portobello Athletic Club,,2:03:02
20,Graham,John,City Of Edinburgh,,2:04:29
21,Capper,Graham,Gala Harriers,,2:04:35
22,Watson,Jim,Livingston,,2:05:00
23,Oliphant,Crawford,Carnethy Hill Running Club,,2:06:39
24,Henry,Graham,U/A,,2:07:36
25,Bausili,Anna,Penicuick Harriers,,2:08:15
26,Brown,A,U/A,,2:08:46
27,Caldwell,Martin,Kwik-fit Corstorphine Athletic Club,,2:09:25
28,Bowman,Stuart,Kwik-fit Corstorphine Athletic Club,,2:09:36
29,Jardine,Robert,Bo-ness Road Runners,,2:09:52
30,Smith,Criag,Kwik-fit Corstorphine Athletic Club,,2:10:43
31,Davies,Chris,U/A,,2:12:09
32,Green,Richard,City Of Edinburgh,,2:12:32
33,Hope,Richard,City Of Edinburgh,,2:14:28
34,Campbell,Charles,Westerlands CCC,,2:14:50
35,Murray,Robin,Gala Harriers,,2:15:21
36,Oakland,Grahame,U/A,,2:15:24
37,Yearsley,Jon,U/A,,2:15:27
38,James,Mark,Carnethy Hill Running Club,,2:16:01
39,Ghiggeri,Franco,U/A,,2:16:15
40,Colver,Keith,Carnethy Hill Running Club,,2:16:52
41,Scullion,Gerard,Portobello Athletic Club,,2:17:29
42,MacRae,F,U/A,,2:18:02
43,Robertson,Douglas,Eyemouth Athletic Club,,2:18:33
44,Cameron,Gordon,Carnethy Hill Running Club,,2:19:37
45,McCrae,Ritchie,Penicuick Harriers,,2:20:19
46,Eunson,Paul,Portobello Athletic Club,,2:20:30
47,Pennington,Toby,U/A,,2:22:15
48,Stevenson,Bert,City Of Edinburgh,,2:22:43
49,Brown,Richard,Carnethy Hill Running Club,,2:23:26
50,Millard,A,U/A,,2:23:53
51,Hindle,Alistair,U/A,,2:26:59
52,Anderson,Joanne,Carnethy Hill Running Club,,2:27:02
53,Ncnab,David,Giffnock North Athletic Club,,2:27:20
54,Wood,Angela,Carnethy Hill Running Club,,2:27:23
55,Tait,Alistir,Portobello Athletic Club,,2:28:03
56,Browne,Alex,U/A,,2:28:30
57,Brownie,Allan,U/A,,2:29:32
58,Littlewood,John,Carnethy Hill Running Club,,2:29:42
59,Oprins,Adrian,Scottish Hill Runners,,2:30:23
60,McKelvie,Gillian,Portobello Athletic Club,,2:30:28
61,Dalitz,Rod,Carnethy Hill Running Club,,2:30:44
62,Kerr,Colin,Standard Life Athletic Club,,2:31:17
63,Heil,Bruce,U/A,,2:31:45
64,Jackson,Ian,Carnethy Hill Running Club,,2:32:44
65,Sharratt,Paul,Penicuick Harriers,,2:33:06
66,Lee,Thomas,Standard Life Athletic Club,,2:33:08
67,Cross,Bill,U/A,,2:39:03
68,Duff,Bill,Macclesfield Harriers,,2:39:48
69,Daniels,Ken,Macclesfield Harriers,,2:40:04
70,West,Alison,Macclesfield Harriers,,2:40:08
71,Duthie,John,U/A,,2:40:11
72,Barron,Bill,U/A,,2:41:24
73,Dempsey,Valerie,Livingston,,2:41:48
74,Stevenson,Eric,City Of Edinburgh,,2:42:14
75,Meir,Patrick,U/A,,2:42:35
76,Cross,Sally,U/A,,2:45:15
77,Mercer,Andrew,U/A,,2:46:09
78,Halley,Peter,U/A,,2:46:43
79,Brodie,Ian,Portobello Athletic Club,,2:50:07
80,Harris,David,U/A,,2:54:05
81,Jarvie,S,Portobello Athletic Club,,2:54:22
82,Thomson,Marc,Portobello Athletic Club,,2:55:00
83,Kennedy,Gavin,U/A,,2:58:23
84,Davidson,Sean,Penicuick Harriers,,3:08:46
85,McCrae,Lori,Penicuick Harriers,,3:08:48
86,Powell,Jasmine,Wolds Vets Running Club,,4:00:00
87,Powell,Alison,Carnethy Hill Running Club,,4:00:00
