Position,Name,Club,Category,Time
1,David Simpson,,M,01:43:06
2,Tom Ferrington,Corstorphine,M,01:45:55
3,Andrew Wright,Carnegie H.,M,01:46:54
4,Grant Wilkie,Corstorphine,M,01:47:58
5,Brian Marshall,H.E.L.P.,M,01:48:08
6,James Britton,Moorfoot Runners,M,01:48:49
7,Wull Hynd,Moorfoot Runners,M,01:50:22
8,Peter Buchanan,Portobello,M,01:51:36
9,Christopher O'Brien,Corstorphine,M,01:51:38
10,Graeme Ackland,Lothian,M,01:52:37
11,Olly Stephenson,Carnethy HR,M,01:53:15
12,Michael Reid,,M,01:53:42
13,David Patton,Corstorphine,M,01:55:28
14,Philip Huxley,Oxford City,M50 ,01:55:55
15,David Godfree,Interlopers OC,M,01:55:59
16,Stephen Winter,Shettleston H.,M,01:56:09
17,Mark Davies,,M,01:56:16
18,Mike Rudden,,M,01:57:37
19,Jamie Thin,H.B.T.,M,01:57:58
20,Tom Barr,H.B.T.,M,01:58:11
21,Paul Brennan,,M,02:00:04
22,Gido van de Ven,EUR Roadrunners,M,02:00:11
23,Robert Hendry,,M,02:00:33
24,Andy Turnbull,,M,02:01:22
25,Tjalling de Vries,EUR Roadrunners,M,02:01:36
26,John Mitchell,Carnethy HR,M,02:02:50
27,Konrad Rawlik,,M,02:03:01
28,Richard Hope,Edinburgh AC,M,02:03:10
29,John Scholes,,M,02:03:49
30,Mike Brooks,Penicuik,M,02:04:12
31,David White,Kilmarnock Harriers,M,02:04:32
32,Graeme Fletcher,Corstorphine,M,02:04:45
33,Jeff Thornton,Footworks,M,02:04:51
34,Finlay Finlay,,M,02:04:58
35,Willie Jarvie,Portobello,M50 ,02:05:03
36,Douglas Carstairs,,M,02:05:17
37,Martin Clarke,Gala H.,M50 ,02:05:31
38,Garry Robertson,Edinburgh AC,M,02:05:53
39,Mark Anderson,,M,02:06:03
40,Pete Burbanks,,M,02:06:20
41,Graham Henry,Portobello,M,02:06:28
42,Dermot Bailie,Edinburgh AC,M,02:06:40
43,Bryan Conway,,M,02:07:03
44,Robert Summers,Beacon Runners,M,02:07:15
45,Vivian Scott,,M,02:07:20
46,Charles Garland,,M,02:07:23
47,Duncan Steen,,M,02:08:15
48,George Salmond,Portobello,M,02:08:25
49,Gordon Cameron,Carnethy HR,M50 ,02:08:37
50,Satoshi Kitano,,M,02:08:51
51,Tom Johnston,,M,02:10:11
52,Alex Wilson,,M,02:10:39
53,George Wilson,Edinburgh Road Club,M,02:11:18
54,Rupert Nash,H.B.T.,M,02:11:58
55,Jakub Rozynski,,M,02:12:11
56,John Tollitt,Northumberland FR,M,02:13:02
57,Iain Arnott,,M,02:13:11
58,Ricky Fraser,Portobello,M,02:13:17
59,Gareth Gibb,Edinburgh AC,M,02:13:47
60,Richard Brown,,M,02:14:14
61,Gio MacDonald,Kinlochleven,M,02:14:32
62,Amelia Lloyd,,F,02:14:41
63,Stuart Naylor,,M,02:14:47
64,David Calder,Westerlands CCC,M,02:15:00
65,Juergen Titze,Troisdorfer LG,M,02:16:21
66,David Vass,,M,02:16:27
67,Robin Steeney,,M,02:17:22
68,Susan Johnston,Corstorphine,F,02:17:27
69,Caroline Dunn,Harmeny,F,02:17:29
70,Joanne Thom,Edinburgh AC,F,02:17:31
71,Victoria Lomax,Edinburgh AC,F,02:17:48
72,Graham Wright,H.B.T.,M,02:17:51
73,Alasdair Hay,,M,02:17:54
74,Jonathan Heaney,,M,02:18:00
75,Greg McDowall,Edinburgh Triathletes,M,02:18:02
76,Phil Smithard,Carnegie H.,M60 ,02:18:24
77,Morag McCracken,H.B.T.,F,02:18:36
78,Martin Little,Edinburgh AC,M,02:18:47
79,Chris Dubé,,M,02:19:45
80,Tim Gibson,,M50 ,02:20:02
81,Tim Darlow,Carnethy HR,M,02:20:24
82,Kate Blake,Kinross RR,F,02:20:46
83,Karen Dobbie,Edinburgh AC,F,02:21:01
84,Phyllis Mitchell,H.B.T.,F50,02:21:10
85,Mary Hunter,Portobello,F,02:21:13
86,Michael Dunne,,M,02:21:29
87,Alan McLeod,Fife AC,M60 ,02:21:46
88,Judith Dobson,Kinross RR,F50,02:22:00
89,Jeremy Hill,,M,02:22:09
90,Keith Fraser,Metro Aberdeen,M50 ,02:22:53
91,Arnau Travé Segura,Llacuna,M,02:23:34
92,Martin Leadbetter,,M50 ,02:23:44
93,David Drewette,Ochil HR,M,02:23:57
94,Paul Eunson,Portobello,M50 ,02:23:59
95,Ulf Seekamp,,M,02:24:03
96,Rachel Smith,Moorfoot Runners,F,02:24:13
97,Chris Peggie,Corstorphine,M,02:25:23
98,Dhavala Stott,Sri Chinmoy,F,02:25:42
99,Graeme Dunbar,,M,02:26:34
100,Ian Fyfe,,M50 ,02:26:56
101,Alexander Strachan,,M,02:27:00
102,59 Neil Richardson,,M,02:27:39
103,David Poyner,,M50 ,02:28:04
104,Martyn Rodenburgh,EUR Roadrunners,M,02:28:45
105,Angus Davidson,,M,02:30:08
106,Iain Shaw,Ferranti,M,02:30:14
107,Alan Simpson,Footworks,M50 ,02:30:32
108,Gillian McKelvie,Portobello,F50,02:31:24
109,Andy Castle,,M,02:31:30
110,Graham Swinton,,M,02:31:32
111,Mark Dunnachie,Falkirk Vic.,M,02:31:54
112,Hamilton Semple,Westerlands CCC,M50 ,02:33:29
113,Elaine Calder,Strathaven Striders,F50,02:33:39
114,James Cockburn,,M,02:33:55
115,Ken Robinson,,M,02:34:06
116,Graham Knipe,Edinburgh Triathletes,M,02:34:30
117,Pascal den Hartog,EUR Roadrunners,M,02:34:59
118,Stuart Hunter,Cosmic Hill Bashers,M,02:35:02
119,Stuart Rowa-Dewar,,M,02:35:04
120,Murray Bryce,Cosmic Hill Bashers,M50 ,02:35:44
121,Gordon Campbell,,M,02:37:15
122,Jason Trickett,,M,02:37:17
123,Deborah MacDonald,H.B.T.,F50,02:38:39
124,Dennis Hendriksen,,M,02:39:16
125,Jim MacGregor,Moray RR,M50 ,02:39:52
126,Stewart Barrie,H.B.T.,M,02:40:48
127,Miles Hamilton,,M,02:43:00
128,Kirsten Gray,,F,02:46:36
129,Johann Jarackyj,,M,02:47:45
130,Alison West,Carnegie H.,F60,02:49:59
131,Scott Reed,Edinburgh AC,M,02:50:18
132,Chris Henty,Carnethy HR,M,02:50:30
133,Andrew Young,,M,02:53:21
134,Ian May,Harmeny,M60 ,02:54:17
135,Douglas Gunstone,Fife AC,M50 ,03:02:23
136,119 Paul Smith,Edinburgh AC,M,03:03:15
137,Jonathan Carpenter,Harmeny,M,03:08:15
138,James MacIntosh,,M,03:08:27
139,Andy Munns,,M50 ,03:08:30
140,Gareth Mitchell,,M,03:08:32
141,Tristan Jareckyj,,M,03:08:41
142,Sheila Strain,East Lothian Orient.,F60,03:09:11
143,Andrew Hill,,M,03:09:41
144,Robbert Sijm,,M,03:09:48
145,Ian A Marshall,H.B.T.,M60 ,03:26:50
146,Jenny Richards,,F,03:27:08
