RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,McDougall,Stephen,St Andrews Uni,M,00:54:50
2,Matthews,Steve,Dundee Hawkhill,M40,01:02:02
3,Placentino,Diane,Dundee Hawkhill,F40,01:02:58
4,Hanlon,Dave,Dundee Hawkhill,M60,01:03:56
5,Dillon,Stewart,Fife AC,M50,01:04:17
6,Tully,Ray,Dundee Hawkhill,M40,01:04:59
7,Forte,Phil,Dundee Hawkhill,M60,01:06:47
8,Placentino,Marco,Dundee Hawkhill,M50,01:08:56
9,Ingram,Richard,Cosmics ,M40,01:11:30
10,Duncan,David,Ochills,M60,01:12:28
11,Cooper,John,Dundee Hawkhill,M,01:16:08
12,Wilson,Andy,Perth Road Runners ,M40,01:17:37
13,Valentine,Russ,Falkland Trail Runners,M50,01:20:46
14,Cromar,Steve,Dundee Hawkhill,M70,01:31:22
15,Kennedy,Alan,Dundee Hawkhill,M50,01:35:18
