RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Peachey,Simon,Carnethy,M,02:02:09
2,Anthony,Alasdair,Ochil HR,M,02:03:33
3,Keith,Alec,HBT,M40,02:04:29
4,Marshall,Brian,HELP,M,02:11:14
5,Cummins,Dave,Highland HR,M40,02:14:29
6,Sullivan,Matt,Shettleston,M,02:18:05
7,MacDonald,Dennis,Cosmics,M40,02:21:18
8,Williamson,Jason,Cosmics,M,02:21:46
9,Spence,Crawford,Westerlands,M,02:22:42
10,Upson,Chris,Westerlands,M40,02:24:43
11,Popham,Frank,Fife AC,M,02:26:36
12,Speight,Neil,Highland HR,M40,02:27:53
13,Meek,Ian,Highland HR,M40,02:29:27
14,Fallon,Steven,Carnethy,M40,02:30:10
15,Hirst,David,Deeside,M40,02:31:10
16,Hulme,Martin,Corstorphine,M50,02:31:46
17,Miles,Gavin,Deeside,M,02:34:16
18,Pottinger,Ade,Highland HR,M,02:39:57
19,Tridimas,Yiannis,Bowland FR,M60,02:42:12
20,Arthur,Graham,Ilkley Harriers,M60,02:42:56
21,Bush,Richard,Carnethy,M40,02:47:43
22,Bass,Owen,Deeside,M40,02:48:31
23,Michell,Dave,Dundee Hawkhill,M40,02:54:04
24,Bowman,Angus,Beacon Runners,M50,02:58:42
25,Wardlaw,Eilidh,HBT,F,02:58:50
26,Rumgay,Ken,Lochaber AC,M40,03:02:39
27,Morrison,Graeme,Unattached,M50,03:04:07
28,Anderson,Joanne,Carnethy,F,03:07:35
29,Diver,Michael,Clydesdale Harriers,M40,03:10:46
30,Bannerman,Roxy,Highland HR,F,03:11:38
31,Borrowman,Dagmar,Cosmics,F,03:15:32
32,Dahl,Fiona,Cosmics,F,03:23:46
33,Laidlaw,Anita,Fife AC,F,03:26:09
34,Stewart,Elaine,Cosmics,F50,03:29:13
35,Milmoe,Mike,Forres Harriers,M50,03:33:35
36,Campbell,Neil,Carnegie Harriers,M40,03:39:28
37,Tait,Richard,Swaledale,M50,03:43:27
38,Henry,Peter,Deeside,M,03:45:34
39,Bowman,Jean,Beacon Runners,F50,03:47:20
