RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Lennox,Gordon,Inverness Harriers,M,00:28:20
2,Campbell,Ross,Highland Hill Runners,M,00:28:49
3,Osborne,Adam,Leeds City,M,00:29:12
4,Coupar,Alasdair,East Sutherland,M,00:30:28
5,Wilby,Andrew,Highland Hill Runners,M40,00:30:37
6,Whiteside,Gavin,Highland Hill Runners,M,00:31:05
7,Pearks,David,Highland Hill Runners,M40,00:32:54
8,Munro-White,Tam,Unattached,M,00:33:08
9,Macdonald,Dougie,Highland Hill Runners,M40,00:33:33
10,Mackie,Chris,Highland Hill Runners,M,00:34:36
11,Gollan,Sheila,East Sutherland,F,00:34:36
12,Brackx,Brecht,Unattached,M,00:35:48
13,Taylor,Gordie,Highland Hill Runners,M50,00:35:59
14,Tarbat,Colin,Unattached,M,00:36:11
15,Wilby,Raymond,Highland Hill Runners,M60,00:36:57
16,Cameron,Hilary,Forres Harriers,F40,00:37:19
17,Gollan,Ruairidh,East Sutherland,M,00:37:32
18,Schlaghecke,Falk,Highland Hill Runners,M40,00:38:08
19,Wood,Sue,Highland Hill Runners,F,00:38:10
20,Cowie,Hector,Unattached,M,00:38:58
21,Ross,Paul,Unattached,M40,00:39:22
22,Munro,Scott,Lochtayside,M40,00:39:23
23,McIntyre,Iain,Highland Hill Runners,M50,00:39:44
24,Brett,Alex,Highland Hill Runners,M60,00:39:50
25,Duncan,Gillian,Gala Harriers,F40,00:39:57
26,Innes,Scott,Unattached,M,00:40:10
27,Leas,John,Unattached,M40,00:40:31
28,Wallace,Craig,Highland Hill Runners,M,00:40:46
29,Hutchison,Lcpl,Unattached,M,00:40:52
30,McRitchie,Susan,Forres Harriers,F40,00:42:21
31,Simpson,Darren,Unattached,M,00:43:29
32,Innes,Sheryl,Highland Hill Runners,F,00:43:30
33,Ramsay,Shona,Highland Hill Runners,F,00:44:36
34,Mackintosh,Stuart,Unattached,M,00:46:22
35,Gibbs,Becky,Kendal AC,F,00:46:34
