RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,02:11:22
2,Crickmore,Jonathan,HBT,M,02:22:00
3,Alexander,Sam,Westerlands CCC,M,02:23:22
4,Yells,John,Lochaber AC,M,02:24:41
5,Beaven,Alexander,Highland HR,M,02:25:09
6,Barrington,Andrew,Lochaber AC,M,02:25:42
7,Battle,Hamish,Metro Aberdeen,M,02:25:58
8,Masson,Alistair,Edinburgh Uni H & H,M,02:29:13
9,Cope,David,Howgill Harriers,M,02:30:03
10,Crutchfield,Stuart,Lochaber AC,M,02:31:13
11,Morgan,Tim,Edinburgh Uni H & H,M,02:33:40
12,Purkis,Mark,HBT,M,02:34:39
13,Braby,Liam,Carnethy,M,02:34:42
14,Schulte,Erik,Unattached,M,02:35:39
15,Cabrera Valdes,Francisco Javier,Highland HR,M,02:36:01
16,Waldie,James,HBT,M,02:36:38
17,MacRae,Andrew,Inverness Harriers,M40,02:37:51
18,Feltbower,Steve,Ochil Hill Runners,M,02:38:10
19,Gorman,Manny,Westerlands CCC,M50,02:38:40
20,Kerr,David,Highland HR,M40,02:39:16
21,Callender,James,Westerlands CCC,M,02:39:50
22,Mackie,Peter,Shettleston Harriers,M40,02:40:22
23,Muir,Jonny,Carnethy,M,02:41:19
24,Rozga,Grant,Jura AC,M,02:41:26
25,Stewart,Iain,Westerlands CCC,M,02:41:45
26,Ross,Alan,Lochaber AC,M40,02:42:14
27,Gallie,David,Highland HR,M50,02:42:48
28,Smith,Alan,Deeside Runners,M50,02:44:51
29,Mcinally,Ralph,Unattached,M,02:45:21
30,Litherland,Ross,Pennine Fell Runners,M40,02:46:14
31,Shekleton,Nigel,Carnethy,M,02:46:15
32,Keppler,Daniel,Unattached,M,02:46:23
33,Provan,Stephanie,Deeside Runners,F,02:46:32
34,Davidson,Gregor,Lochaber AC,M,02:46:59
35,Sharp,Brian,Ochil Hill Runners,M,02:47:10
36,Green,Robert,Unattached,M,02:48:13
37,Hyett,Graeme,Inverclyde AC,M,02:48:37
38,Crewe,Ruth,Westerlands CCC,F,02:51:10
39,Pender,Iain,Shettleston Harriers,M,02:51:12
40,Wilson,Andrew,Carnethy,M,02:51:46
41,Vasepuru,Tom,Ochil Hill Runners,M,02:52:17
42,Oates,Calum,Unattached,M,02:52:41
43,Maclennan,Iain,Highland HR,M40,02:54:20
44,Gosswein,Csaba,Unattached,M,02:54:38
45,Cruickshanks,Ross,Shettleston Harriers,M,02:55:05
46,Walmsley,Dan,Highland HR,M,02:55:25
47,Pearks,David,Highland HR,M40,02:55:33
48,Wilson,Stewart,Highland HR,M50,02:55:54
49,Comber,Ayron,Insch Trail Runners,M40,02:56:47
50,McDougall,Stephen,St Andrews Uni,M,02:56:52
51,Bonsor,Helen,Carnethy,F,02:56:52
52,Inglis,Andrew,Cosmics,M,02:57:15
53,Sealy,Alan,Deeside Runners,M50,02:57:16
54,Romain,Rudy,Unattached,M,02:57:31
55,Curry,Matthew,Carnethy,M,02:57:32
56,MacDonald,Matt,Lochaber AC,M,02:57:52
57,Short,Kenny,Teviotdale Harriers,M50,02:58:36
58,Pedley,Sam,Highland HR,M,02:58:58
59,Pringle,Stuart,Deeside Runners,M,03:00:00
60,Brattle,Jonny,St Andrews Uni,M,03:01:13
61,Mason,Sam,St Andrews Uni,M,03:01:14
62,Priestley,Andrea,Ochil Hill Runners,F50,03:01:48
63,Lunt,Mark,Carnethy,M,03:03:25
64,McMaster,Alex,St Andrews Uni,M,03:03:29
65,Seefeldt,Scott,Keith and District AC,M,03:03:37
66,Briffett,Graham,Highland HR,M40,03:03:59
67,Burnett,Neil,Carnethy,M40,03:04:08
68,Young,Martin,Deeside Runners,M,03:04:43
69,Roper,Marc,Westerlands CCC,M50,03:04:49
70,Johnston,Fergus,Carnethy,M,03:05:41
71,Ashworth,James,Ochil Hill Runners,M40,03:05:53
72,Watson,Dan,Lochtayside,M40,03:07:13
73,Murray,Keith,Teviotdale Harriers,M50,03:08:59
74,Kirby,Graham,Fife AC,M50,03:09:04
75,Wilson,Robert,Penicuik Harriers,M40,03:09:23
76,Melville,Peter,Unattached,M,03:10:39
77,Bonisteel,Isaac,Unattached,M,03:12:05
78,Caldwell,Mark,Ayr Seaforth AAC,M40,03:14:37
79,Tidswell,Oliver,Unattached,M,03:16:29
80,Maclean,Robert,Lochaber AC,M50,03:16:38
81,Wooller,Tristan,Unattached,M,03:16:47
82,Nicholl,Ross,Blane Runners,M40,03:16:51
83,Pryde,Gordon,Lomond HR,M50,03:17:20
84,Davis,Duncan,Carnethy,M40,03:17:23
85,Hetherington,Michelle,Carnethy,F50,03:17:40
86,Metcalf,Philip,Borrowdale,M40,03:18:29
87,Mason,David,Linlithgow AC,M50,03:18:42
88,McGregor,Colin,Unattached,M40,03:18:44
89,Preiss,Alastair,Ochil Hill Runners,M40,03:18:54
90,Stobbs,Peter,Trawden AC,M50,03:19:02
91,McKiddie,Christopher,Westerlands CCC,M,03:19:04
92,Stansfield,Ben,Central AC,M50,03:19:05
93,Heggie,Alastair,Carnethy,M,03:19:06
94,Irvine,Gill,Highland HR,F50,03:19:23
95,Reid,Don,Westerlands CCC,M60,03:20:14
96,Fowler,Nigel,Fife AC,M40,03:21:12
97,Challands,Diana,Carnethy,F40,03:23:23
98,Bartlett,Pat,Interlopers,M50,03:23:39
99,Roberts,Clive,Fife AC,M60,03:25:14
100,Crawford,Ross,Unattached,M,03:25:29
101,Morton,Nigel,Unattached,M40,03:25:35
102,Barker,Tom,Unattached,M,03:25:45
103,Magill,Catherine,HBT,F,03:26:19
104,Weir,Jonathan,Unattached,M40,03:28:33
105,Blakie,Andrew,Unattached,M40,03:31:23
106,Gorjanc,Gregor,Penicuik Harriers,M,03:31:26
107,Mackinnon,Euan,Carnethy,M40,03:31:35
108,Thomas,Jamie,Dunbar RC,M40,03:31:52
109,Cairns,Gillian,Penicuik Harriers,F40,03:32:56
110,Mcfarlane,Steven,Unattached,M,03:33:06
111,McDonald,Lettie,Ochil Hill Runners,F,03:33:07
112,Lindsay,Campbell,Jura AC,M,03:34:06
113,Kammer,Philip,Deveron Harriers,M60,03:34:41
114,Hartree,Mark,Carnethy,M50,03:35:33
115,Leith,Clifford,Metro Aberdeen,M50,03:35:39
116,O'Neill,Owen,Westerlands CCC,M,03:35:59
117,Joanne,Catherine,Anster Haddies,F,03:36:21
118,Litherland,Catherine,Pennine Fell Runners,F40,03:36:29
119,Pugh,Roderick,Kilmarnock H,M60,03:36:45
120,Kelsall,Fiona,Ochil Hill Runners,F40,03:37:35
121,Gough,Nick,Strathearn Harriers,M,03:38:04
122,Buchan,Fiona,Unattached,F,03:38:17
123,Blair,Gordon,Unattached,M,03:38:42
124,Macdonald,Gio,Carnethy,M40,03:39:05
125,Wilkinson,Chris,Cairngorm Runners,M,03:39:41
126,Zeiner,Fiona,Harmeny,F40,03:41:24
127,Mackay,Isla,Lochaber AC,F,03:41:25
128,Kennovin,Gordon,Unattached,M50,03:42:04
129,White,David,Helm Hill Runners,M40,03:42:05
130,Aubrey,Kathleen,Helm Hill Runners,F50,03:42:12
131,Angus,Gerald,Keith and District AC,M50,03:42:36
132,Wright,Philip,St Andrews Uni,M,03:42:44
133,Walker,Grant,Unattached,M,03:43:20
134,Bull,Matthew,Westerlands CCC,M,03:44:32
135,Lang,Kenny,Lochaber AC,M50,03:44:52
136,Coyle,Shaun,Unattached,M50,03:45:23
137,Hamilton,Ian,Cosmics,M50,03:45:36
138,Flint,Doug,Strathearn Harriers,M50,03:45:59
139,Shaw,Trevor,Lochtayside,M50,03:48:08
140,Provan,Louise,Fife AC,F40,03:49:32
141,Baumann,Patrick,Unattached,M,03:49:55
