RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Oliver,Huw,Lochaber AC,M,00:26:11
2,Thomas,Lachlan,Ross County,M20,00:26:22
3,Hudson,Ben,Stewartry Athletics,M17,00:26:25
4,Foley,Jack,Moorfoot Runners,M17,00:27:01
5,McInally,Ralph,Strathearn Harriers,M,00:27:59
6,Grant-Pantrey,Chris,Shettlestone Harriers,M40,00:28:57
7,MacPherson,Chris,Green Runners,M,00:28:58
8,Anthony,Al,DDJC,M40,00:29:03
9,Shan Lam,Yuen,Harmeny AC,M15,00:29:27
10,Lennox,Jethro,Shettlestone Harriers,M40,00:29:32
11,Taylor,Ewan,PH Racing Club,M40,00:30:04
12,Stewart,Iain,Gala Harriers,M40,00:30:12
13,Watson,Ed,DDJC,M40,00:30:23
14,Pretswell,Rory,Moorfoot Runners,M17,00:31:08
15,Meikle,Thomas,Unattached,M,00:31:01
16,Denny,Austin,Harmeny AC,M17,00:31:36
17,Hume,Fraser,Ross County,M15,00:31:37
18,Meek,Anna,Inverness Harriers,F17,00:31:57
19,Crowsley,Sarah,DDJC,F,00:32:14
20,Arnott,Thomas,Central AC,M15,00:32:29
21,Skinner,Florence,Garscube Harriers,F15,00:32:32
22,McInally,Hannah,Strathearn Harriers,F,00:32:35
23,Harris,Thea,Moorfoot Runners,F17,00:32:43
24,Hunter,Ella,Central AC,F15,00:33:01
25,Grant-Pantrey,Euan,Shettlestone Harriers,M15,00:34:34
26,Topaliaw,Stanley,Westerlands CCC,M40,00:34:38
27,Wilson,Stewart,Highland Hillrunners,M50,00:35:09
28,Rogers,David,Lochaber AC,M17,00:35:12
29,Moran,Isabella,Moorfoot Runners,F17,00:35:13
30,Riddell,Lewis,Moorfoot Runners,M17,00:35:15
31,Riches,Kate,Harmeny AC,F15,00:35:17
32,Arnott,Luke,Westerlands CCC,M50,00:35:41
33,Davies,Beckie,DDJC,F,00:35:55
34,Simpson,Sky,Inverness Harriers,F17,00:36:25
35,Smith,Alan,Deeside Runners,M60,00:36:31
36,Moran,Emma,Moorfoot Runners,F15,00:36:44
37,Gorman,Maisy,Lochaber AC,F17,00:36:58
38,Lever,Oliver,Unattached,M40,00:37:08
39,Singh,Jenny,DDJC,F40,00:37:13
40,Golding,Tessa,Harmeny AC,F15,00:37:56
41,Morrison,Sean,Unattached,M50,00:38:14
42,Stewart,Annabelle,Gala Harriers,F15,00:38:24
43,Bell,Michael,Cairngorm Runners,M,00:39:21
44,Meikle,Clive,Unattached,M50,00:39:38
45,Jones,Vivienne,Moorfoot Runners,F15,00:39:44
46,Watson,Helen,DDJC,F40,00:39:46
47,Arnott,Davina,Unattached,F40,00:39:55
48,Laird,James,Highland Hillrunners,M50,00:40:43
49,Wilson,Joan,Lomond Hill Runners,F60,00:41:54
50,Rodgers,Carys,Lochaber AC,F15,00:42:54
51,Beck,Sharon,Highland Hillrunners,F50,00:45:23
52,Meeham,Jim,Highland Hillrunners,M60,00:46:39
53,Kippen,Vicky,Unattached,F40,00:47:29
54,Wilson,Colin,Lomond Hill Runners,M60,00:47:45
55,Ferguson,Mark,Unattached,M,00:47:59
56,My Ta,Chi,Unattached,F40,00:50:55
57,Paul,Brenda,DDJC,F40,00:58:13
