RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Charles,Joe,Clwydian Range Runners,M,00:36:21
2,Bartlett,Graeme,Forres,M,00:37:28
3,Angus,Gerald,Keith & District,M,00:41:00
4,Charles,George,UNAT,M,00:41:07
5,Bain,Andy,MAROC,M,00:41:13
6,Larmour,Colin,Cosmics,M,00:41:17
7,Oldham,Veronique,Cosmics,F,00:41:58
8,Bass,Owen,Deeside,M,00:42:01
9,Masson,Richard,Cosmics,M,00:43:28
10,O'Sullivan,Sean,Cosmics,M,00:44:10
11,Jermieson,Ashley,Cosmics,M40,00:44:16
12,Hunter,Stuart,Cosmics,M,00:44:36
13,Mackenzie,Ruth,Deeside,F,00:45:16
14,Milligan,Dougie,Solway,M60,00:45:42
15,Brettle,Matt,Cosmics,M,00:45:50
16,Henry,Peter,Deeside,M,00:46:36
17,Bruce,Kevin,Cosmics,M,00:46:52
18,Higginbottom,Jacqui,Carnethy,F,00:47:16
19,Hamilton,Anita,Cosmics,F,00:47:41
20,Williams,Rupert,UNAT,M,00:48:25
21,Jones,Mike,UNAT,M,00:48:55
22,Taylor,Colin,Cosmics,M,00:49:01
23,Delaney,Liz,Cosmics,F,00:50:37
24,Bryce,Murray,Cosmics,M,00:50:41
25,Cran,Ian,Garioch,M,00:51:07
26,Der Pol,Marjon Van,Cosmics,F,00:51:43
27,Reid,Colin,Cosmics,M,00:51:52
28,Stewart,Elaine,Cosmics,F,00:52:27
29,Bass,Ursula,Deeside,F,00:54:01
30,Angus,Mel,Fat Bobs,M,00:54:35
31,Clark,Jason,Peterhead Jog Scotland,M,00:54:39
32,Petrie,Mona,Cosmics,F,00:54:59
33,Anderson,Barbara,Keith & District,F,00:55:51
34,Smith,Anne,Cosmics,F,00:56:23
35,Croly,Chris,Cosmics,M,00:56:26
36,Musgrave,Frank,TPT,M40,00:57:54
37,Simpson,Sandra,Fat Bobs,F,00:58:11
38,MacDonald,Simon,UNAT,M,00:58:22
39,Clunas,Gillian,Cosmics,F,00:59:47
40,O'Sullivan,Sarah,Cosmics,F,01:04:44
