RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Sullivan,Matt,Shettleston Harriers,M,00:37:28
2,Anderson,Adam,Hartfell HRC,M50,00:40:16
3,Longmore,Rory,Hartfell HRC,M50,00:41:35
4,Spence,Alan,Unattached,M,00:41:50
5,Cuthbertson,Mark,Hartfell HRC,M40,00:42:25
6,Whitelaw,Mark,Hartfell HRC,M40,00:43:00
7,Plummer,Kevin,Hartfell HRC,M50,00:44:01
7,Irving,Roger,Hartfell HRC,M50,00:44:01
9,Thomas,Ranjit,Dumfries Running Club,M50,00:46:39
10,Wilson,Oliver,Hartfell HRC,M40,00:46:41
11,Allen,Rosie,Hartfell HRC,F40,00:46:46
12,Banford,Alison,Unattached,F40,00:47:14
13,Manson,Alan,Dumfries Running Club,M40,00:51:32
14,Foley,Darren,Hartfell HRC,M40,00:51:33
15,Priestley,Janet,Hartfell HRC,F50,00:51:46
16,Huntley,Chris,Tinto Hill Runners,M60,00:52:05
17,Jeffrey,Sue,Dumfries Running Club,F,00:52:17
18,Singh,Shirley,Unattached,F50,00:52:39
18,Goldsworthy,John,Hardrock Hoodlums,M60,00:52:39
20,Addis,Mark,Hartfell HRC,M50,00:52:50
21,Stannard,John,Hartfell HRC,M60,00:53:12
22,Burns,David,Unattached,M50,00:53:41
23,Park,Archie,Unattached,M50,00:58:26
24,Fletcher,Becky,Jog Moffat,F,00:58:37
25,Spence,Linsey,Unattached,F,00:58:38
26,Lucas,Amy,Hartfell HRC,F,00:59:23
27,Graham,Carol,Dumfries Running Club,F50,01:00:37
28,Kerr,Billy,Hartfell HRC,M50,01:01:36
29,Birch,Frank,Unattached,M70,01:03:22
30,Patterson,Kenny,Unattached,M70,01:03:35
31,Kerr,Yvonne,Hartfell HRC,F40,01:07:07
31,Carruthers,Michelle,Hartfell HRC,F40,01:07:07
33,Plummer,Louise,Hartfell HRC,F50,01:07:12
