RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Menzies,Colin,HELP,S,0:42:36
2,Pilkington,Mark,U/A,S,0:43:53
3,Sills,Ian,Dunbar RC,S,0:44:28
4,Pryde,Gordon,Lomond Hill Runners,V,0:46:34
5,Blair-Fish,John,Carnethy Hill Running Club,SV,0:46:46
6,Foster,Mark,U/A,V,0:47:02
7,Wallace,Sandy,HELP,SV,0:47:10
8,Warren,Rupert,Carnethy Hill Running Club,,0:47:20
9,Bearhop,Derek,Carnethy Hill Running Club,V,0:47:36
10,Henry,Graham,Portobello,,0:47:50
11,Knox,Jim,Teviotdale Harriers,SV,0:48:04
12,Knox,Bill,Teviotdale Harriers,SV,0:48:32
13,Haynes,Robin,Carnethy Hill Running Club,,0:49:01
14,Cameron,Gordon,Carnethy Hill Running Club,V,0:49:04
15,Wardlaw,Eilidh,City of Edinburgh,F,0:49:09
16,Morris,Robin,Carnethy Hill Running Club,SV,0:49:31
17,Clavert,Bob,U/A,SV,0:49:38
18,Kernaghan,Fred,U/A,V,0:51:01
19,Beyts,Augus,Forfar Road Runners,V,0:52:40
20,Wood,Angela,Carnethy Hill Running Club,V F,0:53:19
21,Anderson,Derek,U/A,V,0:54:04
22,Holder,Robin,U/A,V,0:55:12
23,Anderson,Joanne,Carnethy Hill Running Club,F,0:57:09
24,Middeler,Lessel,U/A,SV,0:57:31
25,Russell,Robert,U/A,SV+,0:62:39
26,Halliday,Peter,HELP,V,0:65:12
27,Burnet,John,U/A,V,0:66:18
28,Miller,Gordon,U/A,,0:66:33
29,Simpson,Claire,HELP,F,0:67:53
30,Gray,David,U/A,,0:70:58
