RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Hinchcliffe,Alex,Carnethy,M,00:43:05
2,Nash,Graham,Carnethy,M50,00:44:04
3,Buchanan,Peter,Portobello RC,M50,00:44:20
4,Mayoh,David,Unattached,M40,00:44:35
5,Watson,Rab,Musselburgh,M50,00:44:38
6,Simpson,Ronald,Carnethy,M,00:44:43
7,Williamson,Nick,Dunbar RC,M40,00:45:07
8,Mykura,Jill,Carnethy,F40,00:45:17
9,Thin,Jamie,HBT,M50,00:45:22
10,O'Donnell,Craig,Dunbar RC,M,00:45:36
11,Duncan,Eric,Highland Hill Runners,M40,00:45:47
12,Peebles,Murray,Dunbar RC,M,00:45:52
13,Eastwood,Graham,Unattached,M,00:46:01
14,Nash,Andrew,Carnethy,M,00:46:11
15,Griffin,Tim,ELTC,M40,00:46:18
16,Slifer,Paul,Musselburgh,M40,00:47:22
17,Taylor,Richard,Dunbar RC,M40,00:47:30
18,Mayers,James,Musselburgh,M50,00:48:00
19,Ross,Kent,Unattached,M40,00:48:11
20,Milne,Gregor,Unattached,M,00:49:01
21,Patterson,Robert,Unattached,M40,00:49:02
22,McInnes,Graham,HELP,M40,00:49:12
23,Zeiner,Karl,Harmeny,M40,00:49:14
24,Morrison,Iain,Bellahouston Harriers,M50,00:49:36
25,Stable,Charles,Musselburgh,M40,00:49:42
26,Gries,Jenny,Unattached,F,00:49:46
27,Forgie,Ryan,Carnethy,M,00:49:51
28,Weir,Jonathan,Unattached,M40,00:49:57
29,Irving,Iain,Unattached,M,00:50:14
30,Hogg,Alan,Carnethy,M60,00:50:16
31,Coyle,John,Carnethy,M50,00:50:30
32,Kinninmonth,Alex,Carnethy,M,00:50:32
33,Andrew,Alastair,HELP,M,00:50:33
34,Watt,Noal,Unattached,M40,00:50:35
35,James,Mark,Carnethy,M50,00:50:45
36,Preiss,Alastair,Ochils,M40,00:50:55
37,Morton Lloyd,Alun,Carnethy,M50,00:51:00
38,Rowland,Ian,Dunbar RC,M50,00:51:06
39,Coleman,Christopher,Unattached,M,00:51:34
40,Gardiner,Penny,Dunbar RC,F50,00:51:36
41,Burns,Brian,Unattached,M40,00:52:01
42,Henly,Kathy,Carnethy,F50,00:52:09
43,Shannon,Andrew,Unattached,M,00:52:20
44,Coull,Andrew,Carnethy,M40,00:52:28
45,Munro,Frazer,Kinross Road Runners,M50,00:52:31
46,Pugh,Iain,Dunbar RC,M40,00:52:48
47,McBean,Peter,HELP,M40,00:52:58
48,Reid,Don,Westerlands,M60,00:53:28
49,Cameron,Gordon,Carnethy,M60,00:53:30
50,Telford,Roger,HELP,M50,00:53:59
51,Martin,Stuart,Unattached,M,00:54:39
52,Cunningham,Malcolm,Musselburgh,M50,00:54:45
53,Lightbown,Ian,Unattached,M50,00:54:57
54,Astley-Jones,Adrian,Unattached,M40,00:55:05
55,Wallace,Sandy,HELP,M60,00:55:11
56,Hartree,Mark,Carnethy,M50,00:55:15
57,Best,Sally,Carnethy,F,00:55:15
58,Mccrun,Corin,Portobello RC,M40,00:55:21
59,Lockie,Paul,Teviotdale Harriers,M50,00:55:29
60,Summers,Robert,Beacon Runners,M40,00:55:38
61,Harrington,David,Carnethy,M40,00:55:41
62,Archer,Sarah,Dunbar RC,F,00:55:53
63,Smeaizer,Colin,Velo Club Moulin,M50,00:56:12
64,Legge,Murray,Unattached,M,00:56:56
65,Keast,Mark,Musselburgh,M40,00:57:37
66,Sinclair,Douglas,Unattached,M,00:57:50
67,Patterson,Keith,Chirnside Chasers,M,00:58:10
68,Mallows,Mary,Dunbar RC,F40,00:58:45
69,Macdonald,Martin,HELP,M50,00:58:50
70,Fenin,Patrick,Edinburgh AC,M40,00:58:56
71,Osborn,David,Lomond Hill Runners,M50,00:59:02
72,Chandler,Richard,Carnethy,M50,00:59:07
73,Brown,Iain,Unattached,M,00:59:09
74,MacEwen,Alex,Edinburgh AC,M60,00:59:55
75,MacDonald,Callum,HELP,M,01:00:22
76,Smith,Julie,Unattached,F,01:01:08
77,Godfrey,Kevin,Lothian,M50,01:01:10
78,Downie,Chris,Penicuik Harriers,M50,01:01:44
79,Richardson,Greg,Chirnside Chasers,M,01:02:50
80,Jones,Neil,Dunbar RC,M50,01:02:53
81,Sweeney,Barbara,Dundee Road Runners,F50,01:03:23
82,May,Timothy,ESOC,M50,01:04:05
83,Haitinon,Ron,Teviotdale Harriers,M60,01:04:39
84,Molter,Patrick,Lomond Hill Runners,M50,01:07:52
85,Whitehead,Jonathan,Carnethy,M60,01:09:24
86,Grant,Andy,Unattached,M60,01:09:38
87,Bryson,Sarah,Portobello RC,F50,01:10:49
88,Russel,Robert,Unattached,M70,01:23:09
