RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Beaven,Ally,Highland HR,M,03:16:22
2,Ward,Dave,Pennine Fell Runners,M40,03:29:54
3,Stewart,Iain,Westerlands,M,03:40:42
4,Cabrera Valdes,Francisco Javier,Highland HR,M,03:49:45
5,MacLennan,Iain,Highland HR,M40,03:54:15
6,Comber,Ayron,Insch Trail Runners,M40,03:55:07
7,Wingrove,Stuz,Unattached,F40,03:57:30
8,Pearks,David,Highland HR,M40,03:57:46
9,Inglis,Andrew,Unattached,M,04:18:58
10,Malcolm,John,Lothian,M,04:21:02
11,Willis,Jake,Lochaber AC,M40,04:23:58
12,Moffat,John,Highland HR,M50,04:28:39
13,Appleby,Jonathan,Highland HR,M50,04:33:51
14,Lye,Mary,Carnethy,F40,04:36:39
15,Jones,Matthew,Carnethy,M40,04:36:39
16,Magill,Catherine,HBT,F,04:41:01
17,MacNab,Chris,Unattached,M,04:48:08
18,MacDonald,Laurie,Helensburgh AAC,F,05:06:52
19,Murray,Angus,Skye & Lochalsh RC,M,05:07:57
20,Lang,Kenny,Lochaber AC,M50,05:09:51
21,MacDougall,Colin,Unattached,M40,05:16:27
22,Fowler,Nigel,Fife AC,M40,05:30:34
23,Carvalho,Patricia,Unattached,F,05:36:35
24,Elder,Alan,Moorfoot Runners,M50,05:44:30
25,Coleridge,Greig,Unattached,M40,05:44:30
26,Munro,Alan,Unattached,M50,05:49:52
