RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Taylor,Luke,Highland Hill Runners,M,02:45:10
2,Owens,Tom,Lochaber AC,M40,02:48:39
3,Sparks,Robert,HBT,M,03:03:07
4,Cameron,Hamish,HBT,M,03:05:52
5,Vokes,Philip,Highland Hill Runners,M,03:15:13
6,Turnbull,Jonathan,Strathearn Harriers,M40,03:18:16
7,Ward,Guy,Dark Peak FR,M,03:22:00
8,Luetchford,Alex,HBT,M,03:22:13
9,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M40,03:22:52
10,Belton-Schure,Aidan,HBT,M,03:26:40
11,Reid,Jim,Strathearn Harriers,M40,03:27:04
12,Robertson,Shona,Shettleston Harriers,F50,03:28:30
13,Newton,Matt,Kinross Road Runners,M50,03:29:29
14,Ockenden,John,HBT,M,03:33:58
15,Deamer,Matt,Cuillin Dubh RC,M,03:34:55
16,Parry-Jones,Emma,Highland Hill Runners,F,03:35:56
17,Downs,Juliet,Highland Hill Runners,F,03:38:08
18,Dore,Owen,Unattached,M,03:44:51
19,Dowse,Dave,Strathearn Harriers,M40,03:49:08
20,Gordon,Claire,HBT,F40,03:49:24
21,Robson,Scott,Carnethy HRC,M,03:50:04
22,Maclennan,Iain,Highland Hill Runners,M50,03:54:52
23,Stephen,Kevin,Unattached,M50,03:59:29
24,Williams,Colin,Moorfoot Runners,M40,04:02:04
25,Mcdougall,Alasdair,Highland Hill Runners,M50,04:02:42
26,Ross,Louisa,Unattached,F40,04:03:54
27,Jacques,Lucy,HBT,F,04:07:27
28,Shaw,Rachel,Cuillin Dubh RC,F,04:09:39
29,McKenna,Tom,HBT,M,04:14:08
30,Coghill,John,Unattached,M40,04:14:35
31,Macpherson,Donald,Cuillin Dubh RC,M,04:16:12
32,Wastnedge,Lizzie,HBT,F,04:16:41
33,Haynes,Matthew,HBT,M,04:17:58
34,Husbands,Jessica,HBT,F,04:22:46
35,Jolly,John,Unattached,M50,04:23:02
36,Davies,Damon,Unattached,M,04:27:39
37,More,Dave,Insch TRC,M50,04:29:26
38,Hetherington,Michelle,Carnethy HRC,F60,04:29:56
39,Roberts,Angela,Cuillin Dubh RC,F40,04:31:43
40,Walkingshaw,Nina,Howgill Harriers,F40,04:32:46
41,Owen,Russell,Eryri Harriers,M60,04:34:30
42,Towers,Eilidh,Cuillin Dubh RC,F,04:34:40
43,Sutherland,Catherine,Cuillin Dubh RC,F40,04:38:27
44,Doff,Rowan,Unattached,M,04:39:11
45,MacSween,Alasdair,Skye and Lochalsh RC,M60,04:41:31
46,McIntyre,Cheryl,Cuillin Dubh RC,F,04:43:06
47,Kirkby,Philip,Cuillin Dubh RC,M,04:49:37
48,Radcliffe,Andrew,Insch TRC,M50,04:49:43
49,Clarke,Shannon,HBT,F,04:53:35
50,Evans,Angus,Unattached,M50,05:01:08
51,White,Vicki,HBT,F40,05:03:27
52,Nichols,Catrin,HBT,F,05:04:17
53,Gray,Ross,Highland Hill Runners,M,05:17:23
54,Samide,Kira,Westerlands CCC,F,05:17:23
55,Elder,Alan,Moorfoot Runners,M60,05:33:42
56,MacRae,Karen,Unattached,F,05:33:42
57,Brown,Jasmine,HBT,F,05:49:47
58,Doel,Emilia Maria,HBT,F,05:49:47
59,Delgado Ortiz,Silvia,Winter Hill Runners,F40,05:51:46
