RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Chepelin,Sasha,Carnethy,M,02:57:25
2,Phillips,George,Westerlands CCC,M,03:05:45
3,Reid,Michael,Carnethy,M40,03:06:35
4,Manson,Iain,Metro Aberdeen RC,M,03:08:04
5,Sedman,Eliot,Carnethy,M40,03:09:16
6,Gilmore,Andrew,Highland Hill Runners,M,03:13:09
7,Day,Tom,Keswick AC,M,03:18:27
8,Mckenna,Jack,Carnethy,M,03:18:42
9,Hodgson,Sarah,Carnethy,F,03:19:03
10,Barrable,Julian,Corstorphine AAC,M,03:19:28
11,Hammond,Simon,Moorfoot Runners,M40,03:19:43
12,Doig,Colin,HBT,M40,03:20:49
13,Tweedie,Craig,Unattached,M40,03:22:15
14,Lamont,Andrew,Carnethy,M40,03:22:20
15,Ockenden,John,HBT,M,03:24:27
16,Chebbout,Ryad,Shettleston Harriers,M,03:24:58
17,Gilmore,Iain,Carnethy,M,03:26:23
18,Flanagan,Dessie,Carnethy,M40,03:26:24
19,Walsh,Sam,Carnethy,M,03:26:35
20,Hall,Phil,Carnethy,M,03:34:27
21,O'Neill,Owen,Westerlands CCC,M40,03:35:54
22,Donnelly,Colin,Cambuslang Harriers,M60,03:37:03
23,Adams,David,Unattached,M40,03:39:26
24,Hill,Christopher,Cosmics,M40,03:39:50
25,Masson,Alistair,Carnethy,M,03:40:19
26,Malcolm,Chloe,Carnethy,F,03:43:56
27,Williams,Colin,Moorfoot Runners,M40,03:44:05
28,Stringer,Joe,Northumberland FR,M,03:45:03
29,Oates,Janie,Helm Hill Runners,F,03:45:31
30,Stewart,Gregor,Westerlands CCC,M,03:46:27
31,Blackett,Joe,Dark Peak FR,M50,03:47:12
32,Sillito,Roger,Northumberland FR,M40,03:47:47
33,Stone,Ellie,Westerlands CCC,F,03:48:17
34,Lefevre,Lucas,Carnethy,M40,03:49:00
35,Anderson,Micky,Westerlands CCC,M60,03:50:07
36,Henderson,Walter,Cumbernauld AAC,M50,03:50:37
37,O'Brien,Christopher,Corstorphine AAC,M40,03:50:47
