RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Thomson,Ritchie,Solway Orienteers,M,00:31:59
2,Anderson,Adam,Hartfell HRC,M50,00:33:43
3,Hellam,Lorna,Hartfell HRC,F,00:34:47
4,Wheeler,Mark,Hamilton Harriers,M40,00:35:26
5,Tompsett,Gary,Strathaven Striders,M50,00:35:51
6,Dickie,Adam,Dumfries RC,M40,00:36:57
7,Crisford,Ben,Hartfell HRC,M,00:38:09
8,Banford,Alison,Hartfell HRC,F40,00:38:18
9,Hunter,Graham,Hartfell HRC,M,00:38:35
10,Kerr,Gordon,Dumfries Harriers,M40,00:38:42
11,Maclean,Donald,Strathaven Striders,M50,00:38:51
12,Stewart,Alister,Tinto,M50,00:39:15
13,Turner,Simon,Tinto,M40,00:39:45
14,Malcolmson,Craig,Hartfell HRC,M50,00:41:10
15,Musgrave-Wood,Amanda,Hartfell HRC,F50,00:41:12
16,Wheeler,Kai,Calderglen,M,00:42:38
17,Irving,Roger,Hartfell HRC,M60,00:43:31
18,Duncan,David,Ochil Hill Runners,M60,00:44:10
19,Allan,Rosie,Hartfell HRC,F40,00:44:40
20,Dingwall,Alex,Hartfell HRC,M50,00:44:55
21,Kerr,Katherine,Hartfell HRC,F,00:45:50
22,Priestley,Janet,Hartfell HRC,F60,00:46:33
23,Brydson,Gillian,Unattached,F50,00:48:07
23,Eden,Emma,Unattached,F40,00:48:07
25,Creighton,Alan,Unattached,M60,00:48:13
26,Latham,Mark,Northumberland FR,M60,00:48:19
27,Lee,Jennifer,Hartfell HRC,F40,00:51:11
28,Lyall,Martin,Hartfell HRC,M40,00:52:01
29,Simpson,Mark,Hartfell HRC,M60,00:54:29
30,Davies,Carolyn,Hartfell HRC,F50,00:59:16
31,Wilson,Abbie,Hartfell HRC,F,01:08:24
