RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wallace,D,Balerno,,18:56:22
2,Bell,S,Helensburgh AAC,,20:21:55
3,McPake,Thomas,Glenboig,,21:03:00
4,MacLeod,Charlie,Peebleshire Athletic Club,,21:52:23
5,Gebbie,John,Kilmarnock Harriers,,22:03:00
5,Pugh,R,Kilmarnock Harriers,,22:03:00
7,Ritchie,Don,Lossiemouth,,22:11:26
8,Stott,Adrian,Edinburgh AC,,22:30:16
9,Kay,A,Dundee Road Runners,,23:02:20
10,Taylor,J,Glenrothes Athletic Club,,23:24:00
11,Walker,Adrian,Shandon,,23:33:50
12,Donnelly,Ian,Lanark,,24:52:50
13,Clark,Isobel,Monifieth,,25:13:00
14,Short,G,Kilmarnock Harriers,,26:36:00
15,Carr,Irene,Bonhill,,27:16:00
15,Raeside,Martin,Helensburgh AAC,,27:16:00
15,Robertson,Jim,Millburn Harriers,,27:16:00
18,Donald,Bill,Lumphanan,,27:39:00
18,Mowat,Raymond,Deeside Runners,M40,27:39:00
20,Blake,Jim,Dundee Road Runners,,28:41:00
21,Melaragni,D,Blackford,,29:02:00
22,Doyle,Tim,Edinburgh AC,,29:25:00
23,Thompson,Catherine,Dundee Road Runners,,29:28:00
24,Campbell,Charles,Anniesland,,29:43:00
25,Greig,G,Kirkcaldy,,30:32:00
26,Smith,Brian,Dundee Road Runners,,30:33:00
27,Milne,Stan,Dundee Road Runners,,32:51:00
28,Gray,Walter,Crieff,,32:51:20
28,Wake,Adrian,Crieff,,32:51:20
