RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Whitehead,Dan,Cosmic,M,00:34:17
2,Davis,Adrian,Carnethy,M40,00:35:58
3,Crowe,Des,Dundee Hawkhill,M40,00:36:02
4,Greig,Kyle,Forres Harriers,M,00:36:42
5,Love,Craig,Dundee Hawkhill,M,00:37:34
6,Anderson,Iain,Dundee Hawkhill,M40,00:37:49
7,Scott,Tom,Fife AC,M50,00:38:01
8,MacDonald,Alistair,Dundee Hawkhill,M40,00:38:45
9,Smith,Brian,Dundee Road Runners,M,00:38:49
10,Stewart,David,Dundee Road Runners,M40,00:39:06
11,Edgley,Philip,Kings Triathletes,M,00:39:14
12,Crowe,Jamie,Dundee Hawkhill,M16,00:39:18
13,Milne,Gary,Dundee Road Runners,M,00:39:33
14,Paterson,Roy,Kinross RR,M40,00:39:41
15,Leonard,Paul,Dundee Hawkhill,M,00:41:12
16,Magill,Andrew,Dundee Hawkhill,M,00:41:32
17,Mitchell,Dave,Dundee Hawkhill,M40,00:41:37
18,Fairbairn,Rory,Forfar RR,M,00:41:54
19,Kerr,Stuart,Dundee Hawkhill,M40,00:42:00
20,Wilson,Alan,Fife AC,M,00:44:08
21,Milne,Ron,Forfar RR,M40,00:44:12
22,Robertson,Doug,Fife AC,M40,00:44:12
23,McGill,Ron,Brawtoon Runners,M40,00:44:43
24,Duncan,David,Ochil Hillrunners,M50,00:45:32
25,Forte,Phil,Dundee Hawkhill,M40,00:45:42
26,Graves,Sam,Fife AC,M40,00:46:03
27,McKevitt,Helen,Unattached,F,00:46:50
28,Fields,Daniel,Dundee Hawkhill,M,00:46:59
29,Stewart,Allan,Dundee Hawkhill,M40,00:47:05
30,Norrie,David,Perth RR,M40,00:47:32
31,Oparka,Richard,Unattached,M,00:47:35
32,Love,Charlie,Dundee Hawkhill,M60,00:48:07
33,Philip,Angela,Forfar RR,F40,00:49:03
34,Nicoll,Liz,Forfar RR,F40,00:49:54
35,Archibald,Steve,Dundee Road Runners,M40,00:51:21
36,Montieth,Deborah,Unattached,F,00:51:33
37,Matheson,Ian,Forfar RR,M40,00:52:51
38,Francis,David,Fife AC,M40,00:53:29
39,Davie,Moira,Aberdeen University,F,00:54:01
40,Cromar,Steve,Dundee Hawkhill,M60,00:55:42
41,Blackburn,Paul,Unattached,M40,00:55:49
42,Brodie,Cate,Unattached,F40,00:58:00
43,Taylor,Robyn,Unattached,F,01:00:32
44,Omand,Elaine,Unattached,F,01:05:50
45,Brown,Barbara,Dundee Road Runners,F40,01:10:39
