RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Crowe,Jamie,Central AC,M,00:41:58
2,Sheridan,Marcus,Dundee RR,M,00:48:02
3,Webster,David,Dundee RR,M,00:49:50
4,Stewart,Munro,Dundee Hawkhill,M,00:51:22
5,McCormack,Callum,Dundee Hawkhill,M,00:51:32
6,Hart,Adam,Dundee RR,M,00:52:07
7,Aitken,David,Dundee RR,M50,00:54:02
8,Duff,Andrew,Forfar RR,M,00:54:42
9,Phillip,Kristofer,Unattached,M,00:56:10
10,Greig,Kevin,Dundee RR,M40,00:57:12
11,Littleson,Mairi,Dundee RR,F,00:58:27
12,Canavan,Fiona,Dundee RR,F,01:00:42
13,Menzies,Louise,Dundee RR,F40,01:00:48
14,Callaghan,Fiona,Dundee RR,F,01:02:11
15,Baird,David,Dundee RR,M40,01:03:39
16,Kirkland,Johnny,Dundee Hawkhill,M60,01:04:43
17,Corduneanu,Emanuel,Dundee RR,M,01:05:08
18,Small,Arron,Dundee RR,M,01:05:11
19,O'Donnell,Jane,Dundee RR,F40,01:05:39
20,Matthews,Catherine,Dundee Hawkhill,F50,01:07:38
21,Campbell,Ryan,Unattached,M40,01:08:03
22,Davie,Barry,Carnegie Harriers,M40,01:08:24
23,Rena,Graham,Dundee RR,M50,01:08:28
24,Miller,David,Dundee RR,M50,01:08:34
25,Rollo,Martin,Dundee RR,M50,01:09:20
26,Clark,Sarah,Forfar RR,F40,01:09:26
27,Gray,Stuart,Unattached,M40,01:09:33
28,Reed,Paul,Dundee RR,M50,01:09:36
29,Munro,Frazer,Kinross,M50,01:09:47
30,Cali,Sara,Dundee RR,F,01:10:05
31,Forbes,Malcolm,Dundee RR,M60,01:10:40
32,Lafferty,Steven,Unattached,M,01:11:21
33,Manning,Rhonda,Dundee Hawkhill,F50,01:11:30
34,Summers,Robert,Unattached,M50,01:11:57
35,Sandford,Fay,Forfar RR,F,01:12:59
36,Reynolds,Lesley,Carnegie Harriers,F50,01:13:14
37,Mackay,David,Forfar RR,M50,01:13:21
38,Milne,Ronald,Forfar RR,M60,01:13:47
39,McKay,Josh,Dundee RR,M,01:13:58
40,McGarrity,Paul,Dundee Hawkhill,M40,01:15:55
41,Wilson,Joan,Lomond Hill Runners,F60,01:16:45
42,Gilligan,Amy,Dundee RR,F,01:17:15
43,Gillespie,Phillip,Dundee RR,M50,01:19:23
44,Fraser,Ronald,Dundee RR,M60,01:20:22
45,Gelly,Keith,Dundee RR,M50,01:02:23
46,Keillor,Beatrix,Dundee Hawkhill,F,01:22:53
47,Tavendale,Amy,Dundee RR,F40,01:23:21
48,Luke,Iain,Dundee RR,M70,01:51:09
